x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-6.0489740118622e-15,-1.2200737060037e-14,0,3.7e-11,1,0.000181,1.679435531943e-23,1,4.3037883693406e-07
1,0,0,1,1.2196783377206e-14,7.039681399503e-11,-6.0406731163543e-15,-1.2192829698293e-14,0,3.7e-11,1,0.000181,1.6963107470211e-23,0.081385688501487,5.4194661967947e-13
2,0,0,2,2.4384529792713e-14,1.0374122677232e-10,-6.0311903521563e-15,-1.2183792760417e-14,0,3.7e-11,1,0.000181,1.7133486733324e-23,-0.83729546766057,-nan
3,0,0,3,3.6563239312131e-14,1.3703326183422e-10,-6.0217118548852e-15,-1.217475590116e-14,0,3.7e-11,1,0.000181,1.7305508081781e-23,-1.7560428430846,-nan
4,0,0,4,4.8732912030767e-14,1.7027294284703e-10,-6.0122376541718e-15,-1.2165719150174e-14,0,3.7e-11,1,0.000181,1.7479186619153e-23,-2.6748558123718,-nan
5,0,0,5,6.089354807352e-14,2.0346029364044e-10,-6.0027677795348e-15,-1.2156682537008e-14,0,3.7e-11,1,0.000181,1.7654537580633e-23,-3.593733750127,-nan
6,0,0,6,7.3045147594784e-14,2.3659533820686e-10,-5.9933022603814e-15,-1.2147646091108e-14,0,3.7e-11,1,0.000181,1.7831576334117e-23,-4.5126760309604,-nan
7,0,0,7,8.5187710778335e-14,2.6967810070083e-10,-5.9838411260074e-15,-1.2138609841815e-14,0,3.7e-11,1,0.000181,1.8010318381283e-23,-5.4316820294886,-nan
8,0,0,8,9.7321237837239e-14,3.027086054384e-10,-5.9743844055972e-15,-1.212957381837e-14,0,3.7e-11,1,0.000181,1.8190779358686e-23,-6.3507511203358,-nan
9,0,0,9,1.0944572901374e-13,3.356868768965e-10,-5.9649321282241e-15,-1.212053804991e-14,0,3.7e-11,1,0.000181,1.837297503886e-23,-7.2698826781355,-nan
10,0,0,10,1.2156118457917e-13,3.6861293971237e-10,-5.9554843228499e-15,-1.211150256547e-14,0,3.7e-11,1,0.000181,1.8556921331424e-23,-8.1890760775313,-nan
11,0,0,11,1.3366760483382e-13,4.0148681868289e-10,-5.9460410183261e-15,-1.2102467393983e-14,0,3.7e-11,1,0.000181,1.87426342842e-23,-9.1083306931784,-nan
12,0,0,12,1.4576499010688e-13,4.3430853876401e-10,-5.9366022433931e-15,-1.2093432564279e-14,0,3.7e-11,1,0.000181,1.8930130084341e-23,-10.027645899745,-nan
13,0,0,13,1.5785334075629e-13,4.6707812507011e-10,-5.9271680266811e-15,-1.2084398105086e-14,0,3.7e-11,1,0.000181,1.911942505946e-23,-10.947021071913,-nan
14,0,0,14,1.6993265716868e-13,4.9979560287342e-10,-5.9177383967095e-15,-1.2075364045031e-14,0,3.7e-11,1,0.000181,1.9310535678778e-23,-11.86645558438,-nan
15,0,0,15,1.8200293975924e-13,5.3246099760339e-10,-5.9083133818878e-15,-1.2066330412638e-14,0,3.7e-11,1,0.000181,1.9503478554271e-23,-12.785948811861,-nan
16,0,0,16,1.9406418897163e-13,5.6507433484607e-10,-5.8988930105149e-15,-1.2057297236332e-14,0,3.7e-11,1,0.000181,1.9698270441835e-23,-13.705500129087,-nan
17,0,0,17,2.0611640527788e-13,5.9763564034353e-10,-5.8894773107805e-15,-1.2048264544433e-14,0,3.7e-11,1,0.000181,1.9894928242447e-23,-14.62510891081,-nan
18,0,0,18,2.1815958917826e-13,6.3014493999324e-10,-5.8800663107637e-15,-1.2039232365162e-14,0,3.7e-11,1,0.000181,2.009346900335e-23,-15.544774531803,-nan
19,0,0,19,2.3019374120125e-13,6.6260225984748e-10,-5.8706600384348e-15,-1.203020072664e-14,0,3.7e-11,1,0.000181,2.0293909919233e-23,-16.464496366859,-nan
20,0,0,20,2.4221886190335e-13,6.9500762611268e-10,-5.8612585216542e-15,-1.2021169656883e-14,0,3.7e-11,1,0.000181,2.049626833343e-23,-17.384273790794,-nan
21,0,0,21,2.5423495186904e-13,7.273610651489e-10,-5.8518617881728e-15,-1.2012139183811e-14,0,3.7e-11,1,0.000181,2.0700561739122e-23,-18.304106178451,-nan
22,0,0,22,2.6624201171066e-13,7.5966260346915e-10,-5.8424698656328e-15,-1.200310933524e-14,0,3.7e-11,1,0.000181,2.0906807780551e-23,-19.223992904695,-nan
