x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-6.0483390581712e-15,-1.2200233454187e-14,0,3.7e-11,1,0.000181,1.679435531943e-23,1,4.3037883693406e-07
1,0,0,1,1.2196844583675e-14,7.0396582317465e-11,-6.0412240047654e-15,-1.2193455715403e-14,0,3.7e-11,1,0.000181,1.6963107470211e-23,0.081370287559477,5.4139146951591e-13
2,0,0,2,2.4384652205652e-14,1.0374076341767e-10,-6.0317409750478e-15,-1.2184418773658e-14,0,3.7e-11,1,0.000181,1.7133486733324e-23,-0.83732626953166,-nan
3,0,0,3,3.6563422931539e-14,1.3703256680343e-10,-6.0198931892542e-15,-1.2173122707902e-14,0,3.7e-11,1,0.000181,1.7305508081781e-23,-1.756089045859,-nan
4,0,0,4,4.8733156856643e-14,1.7027201614155e-10,-6.0104197978058e-15,-1.2164085980567e-14,0,3.7e-11,1,0.000181,1.7479186619153e-23,-2.6749174160105,-nan
5,0,0,5,6.0893854105864e-14,2.0345913526217e-10,-6.0033175952787e-15,-1.2157308527526e-14,0,3.7e-11,1,0.000181,1.7654537580633e-23,-3.5938107545785,-nan
6,0,0,6,7.3045514833594e-14,2.3659394815818e-10,-5.9938518035696e-15,-1.2148272070367e-14,0,3.7e-11,1,0.000181,1.7831576334117e-23,-4.51276843616,-nan
7,0,0,7,8.5188139223611e-14,2.6967647898461e-10,-5.9843903948982e-15,-1.2139235807984e-14,0,3.7e-11,1,0.000181,1.8010318381283e-23,-5.4317898353586,-nan
8,0,0,8,9.7321727488978e-14,3.0270675205797e-10,-5.9749333984557e-15,-1.2130199769624e-14,0,3.7e-11,1,0.000181,1.8190779358686e-23,-6.3508743267859,-nan
9,0,0,9,1.0944627987194e-13,3.3568479185569e-10,-5.9654808433221e-15,-1.212116398443e-14,0,3.7e-11,1,0.000181,1.837297503886e-23,-7.2700212850622,-nan
10,0,0,10,1.2156179664382e-13,3.6861062301546e-10,-5.9560327584666e-15,-1.2112128481444e-14,0,3.7e-11,1,0.000181,1.8556921331424e-23,-8.1892300848182,-nan
11,0,0,11,1.3366827810493e-13,4.0148427033464e-10,-5.9465891727472e-15,-1.2103093289604e-14,0,3.7e-11,1,0.000181,1.87426342842e-23,-9.1085001006962,-nan
12,0,0,12,1.4576572458444e-13,4.3430575876966e-10,-5.9371501149113e-15,-1.2094058437747e-14,0,3.7e-11,1,0.000181,1.8930130084341e-23,-10.027830707351,-nan
13,0,0,13,1.578541364403e-13,4.6707511343538e-10,-5.9277156135957e-15,-1.2085023954608e-14,0,3.7e-11,1,0.000181,1.911942505946e-23,-10.947221279453,-nan
14,0,0,14,1.6993351405913e-13,4.9979235960449e-10,-5.9182856973269e-15,-1.207598986882e-14,0,3.7e-11,1,0.000181,1.9310535678778e-23,-11.866671191686,-nan
15,0,0,15,1.8200385785613e-13,5.3245752270692e-10,-5.908860394521e-15,-1.2066956208914e-14,0,3.7e-11,1,0.000181,1.9503478554271e-23,-12.786179818751,-nan
16,0,0,16,1.9406516827494e-13,5.6507062832919e-10,-5.8994397334841e-15,-1.2057923003318e-14,0,3.7e-11,1,0.000181,1.9698270441835e-23,-13.705746535368,-nan
17,0,0,17,2.061174457876e-13,5.9763170221386e-10,-5.8900237424123e-15,-1.2048890280363e-14,0,3.7e-11,1,0.000181,1.9894928242447e-23,-14.625370716275,-nan
18,0,0,18,2.181606908944e-13,6.3014077025886e-10,-5.8806124493918e-15,-1.2039858068273e-14,0,3.7e-11,1,0.000181,2.009346900335e-23,-15.545051736232,-nan
19,0,0,19,2.3019490412378e-13,6.6259785851692e-10,-5.8712058823993e-15,-1.2030826395176e-14,0,3.7e-11,1,0.000181,2.0293909919233e-23,-16.464788970019,-nan
20,0,0,20,2.4222008603226e-13,6.9500299319499e-10,-5.8618040693021e-15,-1.2021795289095e-14,0,3.7e-11,1,0.000181,2.049626833343e-23,-17.38458179244,-nan
21,0,0,21,2.5423623720433e-13,7.2735620065356e-10,-5.8524070378582e-15,-1.2012764777955e-14,0,3.7e-11,1,0.000181,2.0700561739122e-23,-18.304429578324,-nan
22,0,0,22,2.6624335825231e-13,7.5965750740613e-10,-5.8430148157163e-15,-1.200373488958e-14,0,3.7e-11,1,0.000181,2.0906807780551e-23,-19.224331702524,-nan
23,0,0,23,2.7824144981631e-13,7.9190694011858e-10,-5.8336274304162e-15,-1.1994705651691e-14,0,3.7e-11,1,0.000181,2.1115024254239e-23,-20.144287539921,-nan
