x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-9.2165624582088e-14,-1.7738253014428e-15,0,3.7e-11,1,0.000181,1.679435531943e-20,1,4.3037883693406e-07
1,0,0,1,1.7738253014428e-15,5.4620234575739e-10,-9.2165624582088e-14,-1.7738253014428e-15,0,3.7e-11,1,0.000181,1.6963921026377e-20,14.497356918119,14.771267388556
2,0,0,2,3.5476506028855e-15,1.0554046915148e-09,-9.2165624582088e-14,-1.7738253014428e-15,0,3.7e-11,1,0.000181,1.7133486733324e-20,27.994713836239,29.542534346733
3,0,0,3,5.3214419567555e-15,1.5646073439859e-09,-9.2165680097275e-14,-1.77379135387e-15,0,3.7e-11,1,0.000181,1.7306336676239e-20,41.49208411299,586.58140598764
4,0,0,4,7.0952333106255e-15,2.0738099964571e-09,-9.2165680097275e-14,-1.77379135387e-15,0,3.7e-11,1,0.000181,1.7479186619153e-20,54.989454389742,1143.6202776285
5,0,0,5,8.8689908330404e-15,2.5830134597947e-09,-9.2165826864113e-14,-1.7737575224148e-15,0,3.7e-11,1,0.000181,1.7655381476635e-20,68.486851633537,5544.2621550948
6,0,0,6,1.0642748355455e-14,3.0922169231323e-09,-9.2165826864113e-14,-1.7737575224148e-15,0,3.7e-11,1,0.000181,1.7831576334117e-20,81.984248877333,9944.904032561
7,0,0,7,1.2416472679286e-14,3.6014217043385e-09,-9.2166065398322e-14,-1.7737243238309e-15,0,3.7e-11,1,0.000181,1.8011177846401e-20,95.481686696429,28199.419514984
8,0,0,8,1.4190197003117e-14,4.1106264855447e-09,-9.2166065398322e-14,-1.7737243238309e-15,0,3.7e-11,1,0.000181,1.8190779358686e-20,108.97912451553,46453.934997408
9,0,0,9,1.5963889277729e-14,4.6198330944683e-09,-9.2166396215169e-14,-1.7736922746124e-15,0,3.7e-11,1,0.000181,1.8373850345055e-20,122.476616518,100226.67376842
10,0,0,10,1.7737581552342e-14,5.1290397033919e-09,-9.2166396215169e-14,-1.7736922746124e-15,0,3.7e-11,1,0.000181,1.8556921331424e-20,135.97410852047,153999.41253944
11,0,0,11,1.9511243443334e-14,5.6382486527259e-09,-9.2166819829462e-14,-1.7736618909917e-15,0,3.7e-11,1,0.000181,1.8743525707882e-20,149.47166831418,282310.82612526
12,0,0,12,2.1284905334325e-14,6.14745760206e-09,-9.2166819829462e-14,-1.7736618909917e-15,0,3.7e-11,1,0.000181,1.8930130084341e-20,162.96922810789,410622.23971108
13,0,0,13,2.3058539023263e-14,6.6566694073393e-09,-9.2167336755551e-14,-1.7736336889372e-15,0,3.7e-11,1,0.000181,1.9120332881559e-20,176.46686930045,676183.62106372
14,0,0,14,2.48321727122e-14,7.1658812126186e-09,-9.2167336755551e-14,-1.7736336889372e-15,0,3.7e-11,1,0.000181,1.9310535678778e-20,189.96451049302,941745.00241636
15,0,0,15,2.6605780896351e-14,7.675096392217e-09,-9.2167947507323e-14,-1.7736081841513e-15,0,3.7e-11,1,0.000181,1.9504403060306e-20,203.46224669179,1437846.3962215
16,0,0,16,2.8379389080502e-14,8.1843115718155e-09,-9.2167947507323e-14,-1.7736081841513e-15,0,3.7e-11,1,0.000181,1.9698270441835e-20,216.95998289056,1933947.7900266
17,0,0,17,3.0152974972571e-14,8.6935306469437e-09,-9.2168652598198e-14,-1.773585892069e-15,0,3.7e-11,1,0.000181,1.9895869722593e-20,230.45782770259,2791842.4368559
18,0,0,18,3.192656086464e-14,9.2027497220718e-09,-9.2168652598198e-14,-1.773585892069e-15,0,3.7e-11,1,0.000181,2.009346900335e-20,243.95567251461,3649737.0836853
19,0,0,19,3.3700128192497e-14,9.7119732167742e-09,-9.2169452541132e-14,-1.7735673278568e-15,0,3.7e-11,1,0.000181,2.029486866839e-20,257.45363954661,5046479.4823641
20,0,0,20,3.5473695520354e-14,1.0221196711477e-08,-9.2169452541132e-14,-1.7735673278568e-15,0,3.7e-11,1,0.000181,2.049626833343e-20,270.9516065786,6443221.881043
21,0,0,21,3.7247248526766e-14,1.0730425152629e-08,-9.2170347848613e-14,-1.7735530064118e-15,0,3.7e-11,1,0.000181,2.070153805699e-20,284.44970943693,8609925.5592905
22,0,0,22,3.9020801533177e-14,1.1239653593782e-08,-9.2170347848613e-14,-1.7735530064118e-15,0,3.7e-11,1,0.000181,2.0906807780551e-20,297.94781229525,10776629.237538
23,0,0,23,4.0794344975538e-14,1.1748887511089e-08,-9.2171339032658e-14,-1.7735434423607e-15,0,3.7e-11,1,0.000181,2.1116018445388e-20,311.44606458588,14007116.611905
24,0,0,24,4.2567888417899e-14,1.2258121428397e-08,-9.2171339032658e-14,-1.7735434423607e-15,0,3.7e-11,1,0.000181,2.1325229110225e-20,324.9443168765,17237603.986273
25,0,0,25,4.4341427567959e-14,1.276736135439e-08,-9.2172426604817e-14,-1.7735391500602e-15,0,3.7e-11,1,0.000181,2.1538452827241e-20,338.44273220497,21897425.292438
26,0,0,26,4.6114966718019e-14,1.3276601280384e-08,-9.2172426604817e-14,-1.7735391500602e-15,0,3.7e-11,1,0.000181,2.1751676544256e-20,351.94114753344,26557246.598602
27,0,0,27,4.7888507361616e-14,1.3785847750418e-08,-9.2173611076167e-14,-1.7735406435968e-15,0,3.7e-11,1,0.000181,2.1968986672412e-20,365.43973950485,33093048.356868
28,0,0,28,4.9662048005213e-14,1.4295094220452e-08,-9.2173611076167e-14,-1.7735406435968e-15,0,3.7e-11,1,0.000181,2.2186296800568e-20,378.93833147627,39628850.115134
29,0,0,29,5.1435596441999e-14,1.4804347772702e-08,-9.2174892957315e-14,-1.7735484367867e-15,0,3.7e-11,1,0.000181,2.2407767967106e-20,392.43711369525,48578076.309058
30,0,0,30,5.3209144878786e-14,1.5313601324953e-08,-9.2174892957315e-14,-1.7735484367867e-15,0,3.7e-11,1,0.000181,2.2629239133644e-20,405.93589591423,57527302.502981
31,0,0,31,5.4982707921963e-14,1.5822862500413e-08,-9.2176272758396e-14,-1.7735630431772e-15,0,3.7e-11,1,0.000181,2.2854947254602e-20,419.43488198489,69528213.81057
32,0,0,32,5.6756270965141e-14,1.6332123675874e-08,-9.2176272758396e-14,-1.7735630431772e-15,0,3.7e-11,1,0.000181,2.3080655375559e-20,432.93386805556,81529125.118158
33,0,0,33,5.8529855941188e-14,1.6841393018355e-08,-9.2177750989077e-14,-1.7735849760474e-15,0,3.7e-11,1,0.000181,2.3310677676593e-20,446.43307158147,97331123.290074
34,0,0,34,6.0303440917235e-14,1.7350662360836e-08,-9.2177750989077e-14,-1.7735849760474e-15,0,3.7e-11,1,0.000181,2.3540699977626e-20,459.93227510738,113133121.46199
35,0,0,35,6.2077055665645e-14,1.7859940416961e-08,-9.2179328158554e-14,-1.7736147484093e-15,0,3.7e-11,1,0.000181,2.3775115015145e-20,473.43170969154,133607367.38919
36,0,0,36,6.3850670414054e-14,1.8369218473085e-08,-9.2179328158554e-14,-1.7736147484093e-15,0,3.7e-11,1,0.000181,2.4009530052663e-20,486.93114427571,154081613.31639
37,0,0,37,6.5624323287064e-14,1.8878505792287e-08,-9.2181004775555e-14,-1.7736528730097e-15,0,3.7e-11,1,0.000181,2.4248417735276e-20,500.43082352052,180231928.54079
38,0,0,38,6.7397976160074e-14,1.9387793111489e-08,-9.2181004775555e-14,-1.7736528730097e-15,0,3.7e-11,1,0.000181,2.4487305417888e-20,513.93050276534,206382243.7652
39,0,0,39,6.9171676022405e-14,1.9897090246011e-08,-9.2182781348338e-14,-1.7736998623318e-15,0,3.7e-11,1,0.000181,2.4730747028167e-20,527.43044027258,239356286.21234
