time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.604616013766e-16,3.7629766729145e-11,-4.6679950148694e-17,-7.2670728606112e-17,4.6679949785847e-17,7.2670742556106e-17,1.302308006883e-12,1.8814883364572e-07,1,0.000181
186.68799962237,1.706296527003e-15,3.7631285195674e-11,-1.3188044662634e-16,-7.1708532165751e-17,1.3188044658061e-16,7.1708546826181e-17,8.531482635015e-12,1.8815642597837e-07,1,0.000181
1181.8815689988,1.0596170498965e-14,3.7640697141542e-11,-3.4700391459252e-16,-7.2676552234268e-17,3.4700391458933e-16,7.2676566987143e-17,5.2980852494827e-11,1.8820348570771e-07,1,0.000181
7343.8578398454,6.468200276556e-14,3.7698989808434e-11,-8.7296900580925e-16,-6.2185486308057e-17,8.729690058092e-16,6.2185483254517e-17,3.234100138278e-10,1.8849494904217e-07,1,0.000181
45497.190750011,3.8480906857822e-13,3.8060174733805e-11,-2.1757655944963e-15,-5.0811193588782e-17,2.1757655944967e-15,5.0810678363005e-17,1.9240453428911e-09,1.9030087366902e-07,1,0.000181
281732.57176583,2.1393536803168e-12,4.0294747690876e-11,-5.4166457610929e-15,-8.3228262587978e-17,5.4166457618044e-15,8.3227787985095e-17,1.0696768401584e-08,2.0147373845438e-07,1,0.000181
1744439.784661,9.5013712776906e-12,5.4072290400025e-11,-1.3385733212433e-14,-1.9177121959388e-16,1.3385733159422e-14,1.9177117271731e-16,4.7506856388453e-08,2.7036145200012e-07,1,0.000181
10801137.310052,1.8444146419971e-11,1.3818974077665e-10,-2.2208945258815e-14,-4.7304291489521e-16,2.2208945039241e-14,4.7304291164884e-16,9.2220732099856e-08,6.9094870388324e-07,1,0.00018099999999999
66877821.244672,1.7779397044795e-11,6.3588251737292e-10,-2.1541870144614e-14,-1.1752487469116e-15,2.1541869949278e-14,1.1752487467247e-15,8.8896985223973e-08,3.1794125868646e-06,1,0.00018099999999999
414089867.61007,1.4356103679699e-11,3.2233820137958e-09,-1.8120233109938e-14,-2.8615321643332e-15,1.8120233008168e-14,2.8615321648541e-15,7.1780518398494e-08,1.6116910068979e-05,1,0.00018099999999999
2563935341.3868,8.3338907818031e-12,1.2373629475964e-08,-1.2199043608223e-14,-6.0471948985575e-15,1.2199043595225e-14,6.0471949126905e-15,4.1669453909016e-08,6.1868147379818e-05,1,0.00018099999999999
15875211863.902,4.8723555533715e-12,2.7192884391665e-08,-8.9242637209927e-15,-9.1651181499585e-15,8.9242637209461e-15,9.1651181499286e-15,2.4361777766858e-08,0.00013596442195832,1,0.00018099999999999
98295127536.995,4.5073582684958e-12,3.0137103684723e-08,-8.5740964797532e-15,-9.7030078802671e-15,8.5740964796828e-15,9.7030078803754e-15,2.2536791342479e-08,0.00015068551842361,1,0.00018099999999999
608617521341.22,4.5075355722618e-12,3.0135550100312e-08,-8.5742676487041e-15,-9.7027260812008e-15,8.574267648722e-15,9.7027260811761e-15,2.2537677861309e-08,0.00015067775050156,1,0.00018099999999999
3768399274225.2,4.5075355513406e-12,3.0135550258895e-08,-8.5742676311212e-15,-9.7027261033003e-15,8.5742676311305e-15,9.7027261032861e-15,2.2537677756703e-08,0.00015067775129448,1,0.00018099999999999
23332935040392,4.5075355495368e-12,3.0135550273605e-08,-8.5742676295645e-15,-9.7027261053214e-15,8.5742676295649e-15,9.7027261053215e-15,2.2537677747684e-08,0.00015067775136802,1,0.00018099999999999
1.4447138373111e+14,4.5075355495334e-12,3.0135550273622e-08,-8.5742676295611e-15,-9.7027261053262e-15,8.5742676295619e-15,9.7027261053264e-15,2.2537677747667e-08,0.00015067775136811,1,0.00018099999999999
8.1766708833477e+14,4.5075355495312e-12,3.013555027362e-08,-8.5742676295596e-15,-9.702726105327e-15,8.574267629561e-15,9.7027261053271e-15,2.2537677747656e-08,0.0001506777513681,1,0.00018099999999999
1.8176670883348e+15,4.5075355495294e-12,3.0135550273616e-08,-8.5742676295586e-15,-9.702726105327e-15,8.5742676295604e-15,9.7027261053271e-15,2.2537677747647e-08,0.00015067775136808,1,0.00018099999999999
2.8176670883348e+15,4.5075355495277e-12,3.0135550273612e-08,-8.5742676295576e-15,-9.7027261053271e-15,8.5742676295599e-15,9.7027261053271e-15,2.2537677747638e-08,0.00015067775136806,1,0.00018099999999999
3.8176670883348e+15,4.507535549526e-12,3.0135550273608e-08,-8.5742676295567e-15,-9.7027261053272e-15,8.5742676295594e-15,9.7027261053271e-15,2.253767774763e-08,0.00015067775136804,1,0.00018099999999999
4.8176670883348e+15,4.5075355495244e-12,3.0135550273605e-08,-8.5742676295558e-15,-9.7027261053273e-15,8.5742676295588e-15,9.7027261053271e-15,2.2537677747622e-08,0.00015067775136802,1,0.00018099999999999
