x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,8.63064e-09,-3.1217235546961e-12,-3.0063516042712e-12
1,0,0,1,3.0029649608036e-12,9.2004948777792e-09,-3.1147691535433e-12,-2.9995792112197e-12
2,0,0,2,5.9969072303857e-12,9.7686565696357e-09,-3.1055096129941e-12,-2.990561901416e-12
3,0,0,3,8.9818411934511e-12,1.0335127797547e-08,-3.0962649974795e-12,-2.9815590070909e-12
4,0,0,4,1.1957781316329e-11,1.0899911298213e-08,-3.0870353871561e-12,-2.9725706094733e-12
5,0,0,5,1.4924742145919e-11,1.146300982286e-08,-3.0778208611327e-12,-2.9635967887421e-12
6,0,0,6,1.7882738308651e-11,1.2024426137053e-08,-3.0686214974776e-12,-2.9546376240331e-12
7,0,0,7,2.0831784509438e-11,1.2584163020506e-08,-3.0594373732236e-12,-2.9456931934449e-12
8,0,0,8,2.3771895530649e-11,1.3142223266894e-08,-3.0502685643753e-12,-2.9367635740451e-12
9,0,0,9,2.6703086231078e-11,1.3698609683663e-08,-3.0411151459141e-12,-2.9278488418763e-12
10,0,0,10,2.9625371544927e-11,1.4253325091846e-08,-3.0319771918053e-12,-2.9189490719623e-12
11,0,0,11,3.2538766480785e-11,1.4806372325879e-08,-3.0228547750035e-12,-2.9100643383145e-12
12,0,0,12,3.5443286120625e-11,1.5357754233413e-08,-3.0137479674591e-12,-2.9011947139377e-12
13,0,0,13,3.8338945618799e-11,1.5907473675137e-08,-3.0046568401243e-12,-2.8923402708361e-12
14,0,0,14,4.1225760201041e-11,1.645553352459e-08,-2.9955814629594e-12,-2.8835010800198e-12
15,0,0,15,4.4103745163476e-11,1.7001936667984e-08,-2.9865219049383e-12,-2.8746772115107e-12
16,0,0,16,4.6972915871638e-11,1.7546686004026e-08,-2.9774782340554e-12,-2.8658687343484e-12
17,0,0,17,4.9833287759491e-11,1.8089784443736e-08,-2.9684505173309e-12,-2.8570757165965e-12
18,0,0,18,5.2684876328452e-11,1.863123491027e-08,-2.9594388208172e-12,-2.8482982253486e-12
19,0,0,19,5.5527697146433e-11,1.9171040338747e-08,-2.9504432096053e-12,-2.8395363267344e-12
20,0,0,20,5.8361765846873e-11,1.9709203676071e-08,-2.9414637478298e-12,-2.8307900859255e-12
21,0,0,21,6.118709812779e-11,2.0245727880759e-08,-2.9325004986761e-12,-2.8220595671418e-12
22,0,0,22,6.4003709750829e-11,2.0780615922766e-08,-2.9235535243858e-12,-2.8133448336571e-12
23,0,0,23,6.6811616540321e-11,2.1313870783315e-08,-2.9146228862627e-12,-2.8046459478055e-12
24,0,0,24,6.9610834382346e-11,2.1845495454726e-08,-2.9057086446787e-12,-2.795962970987e-12
25,0,0,25,7.2401379223806e-11,2.2375492940244e-08,-2.8968108590801e-12,-2.7872959636739e-12
26,0,0,26,7.5183267071495e-11,2.2903866253875e-08,-2.8879295879937e-12,-2.7786449854163e-12
27,0,0,27,7.7956513991188e-11,2.3430618420216e-08,-2.8790648890317e-12,-2.7700100948484e-12
28,0,0,28,8.0721136106722e-11,2.3955752474288e-08,-2.870216818899e-12,-2.7613913496944e-12
29,0,0,29,8.3477149599094e-11,2.447927146137e-08,-2.8613854333982e-12,-2.7527888067742e-12
30,0,0,30,8.622457070556e-11,2.5001178436841e-08,-2.852570787436e-12,-2.7442025220095e-12
31,0,0,31,8.8963415718737e-11,2.5521476466007e-08,-2.8437729350286e-12,-2.7356325504297e-12
32,0,0,32,9.1693700985718e-11,2.6040168623947e-08,-2.8349919293081e-12,-2.7270789461776e-12
33,0,0,33,9.4415442907189e-11,2.6557257995351e-08,-2.826227822528e-12,-2.7185417625155e-12
34,0,0,34,9.7128657936551e-11,2.7072747674355e-08,-2.8174806660692e-12,-2.7100210518311e-12
35,0,0,35,9.9833362579047e-11,2.7586640764389e-08,-2.8087505104458e-12,-2.7015168656428e-12
36,0,0,36,1.025295733909e-10,2.8098940378012e-08,-2.800037405311e-12,-2.6930292546062e-12
37,0,0,37,1.0521730697845e-10,2.8609649636764e-08,-2.7913413994627e-12,-2.6845582685197e-12
38,0,0,38,1.0789657999732e-10,2.9118771671002e-08,-2.7826625408494e-12,-2.6761039563298e-12
39,0,0,39,1.1056740915151e-10,2.962630961975e-08,-2.7740008765761e-12,-2.6676663661378e-12
40,0,0,40,1.1322981119264e-10,3.0132266630546e-08,-2.76535645291e-12,-2.6592455452045e-12
41,0,0,41,1.1588380291905e-10,3.0636645859287e-08,-2.7567293152859e-12,-2.650841539957e-12
42,0,0,42,1.1852940117498e-10,3.1139450470078e-08,-2.7481195083126e-12,-2.6424543959936e-12
43,0,0,43,1.2116662284977e-10,3.1640683635083e-08,-2.7395270757777e-12,-2.63408415809e-12
44,0,0,44,1.2379548487701e-10,3.2140348534376e-08,-2.7309520606541e-12,-2.6257308702045e-12
45,0,0,45,1.2641600423376e-10,3.2638448355791e-08,-2.7223945051054e-12,-2.6173945754844e-12
46,0,0,46,1.290281979397e-10,3.3134986294774e-08,-2.7138544504915e-12,-2.609075316271e-12
47,0,0,47,1.3163208305637e-10,3.362996555424e-08,-2.7053319373743e-12,-2.6007731341057e-12
48,0,0,48,1.3422767668635e-10,3.4123389344426e-08,-2.6968270055229e-12,-2.5924880697353e-12
49,0,0,49,1.3681499597246e-10,3.4615260882746e-08,-2.6883396939203e-12,-2.5842201631176e-12
50,0,0,50,1.39394058097e-10,3.5105583393648e-08,-2.6798700407675e-12,-2.5759694534274e-12
51,0,0,51,1.4196488028095e-10,3.5594360108476e-08,-2.6714180834906e-12,-2.5677359790616e-12
52,0,0,52,1.4452747978323e-10,3.6081594265321e-08,-2.662983858745e-12,-2.559519777645e-12
53,0,0,53,1.4708187389987e-10,3.6567289108889e-08,-2.6545674024219e-12,-2.5513208860359e-12
54,0,0,54,1.496280799633e-10,3.7051447890356e-08,-2.6461687496532e-12,-2.5431393403314e-12
55,0,0,55,1.5216611534157e-10,3.7534073867232e-08,-2.6377879348172e-12,-2.534975175873e-12
56,0,0,56,1.5469599743761e-10,3.8015170303226e-08,-2.6294249915447e-12,-2.5268284272522e-12
57,0,0,57,1.5721774368847e-10,3.8494740468107e-08,-2.6210799527228e-12,-2.5186991283156e-12
58,0,0,58,1.5973137156458e-10,3.897278763757e-08,-2.6127528505025e-12,-2.5105873121709e-12
59,0,0,59,1.6223689856902e-10,3.9449315093101e-08,-2.6044437163024e-12,-2.502493011192e-12
