time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0
25.958682112,2.608766421779e-16,3.7634883790291e-11,-5.3823629317145e-17,-3.5462457424864e-17,5.3856347695264e-17,3.5456417473959e-17,1.3043832108895e-11,1.8817441895145e-06
186.68799962237,1.7120190277512e-15,3.763633121688e-11,-1.3946184588659e-16,-6.0489836414809e-17,1.3946185727118e-16,6.0483818797534e-17,8.5600951387562e-11,1.881816560844e-06
1181.8815689988,1.0667954304385e-14,3.7645290645434e-11,-3.4974039119536e-16,-1.1515658644963e-16,3.4974039222906e-16,1.1515482607707e-16,5.3339771521926e-10,1.8822645322717e-06
7343.8578398454,6.5157744112366e-14,3.7700769019725e-11,-8.6472482942285e-16,-6.5994078443176e-17,8.647248294899e-16,6.6004868879825e-17,3.2578872056183e-09,1.8850384509863e-06
45497.190750011,3.7013845693578e-13,3.8044308590545e-11,-2.0396052371903e-15,-5.0481817747351e-17,2.039605237193e-15,5.04971168572e-17,1.8506922846789e-08,1.9022154295272e-06
281732.57176583,1.4384756970082e-12,4.017079384213e-11,-3.8137377682501e-15,-8.0556828646261e-17,3.8137377682483e-15,8.0558416964918e-17,7.1923784850412e-08,2.0085396921065e-06
1744439.784661,2.005011890627e-12,5.3321496418937e-11,-4.2957617162616e-15,-1.832512701241e-16,4.2957617162597e-15,1.8325138136868e-16,1.0025059453135e-07,2.6660748209468e-06
10801137.310052,2.0019827010859e-12,1.3430159674285e-10,-4.2933456100052e-15,-4.4900621408251e-16,4.2933456100037e-15,4.4900622134481e-16,1.000991350543e-07,6.7150798371425e-06
66877821.244672,1.9939975053648e-12,6.2060819640471e-10,-4.2850425502774e-15,-1.0991264945649e-15,4.2850425502765e-15,1.099126495002e-15,9.9699875268238e-08,3.1030409820235e-05
414089867.61007,1.9534299841532e-12,3.1420921309871e-09,-4.247533664009e-15,-2.4969129197982e-15,4.2475336640087e-15,2.4969129198191e-15,9.7671499207661e-08,0.00015710460654935
2563935341.3868,1.8624990483311e-12,9.1597035284822e-09,-4.1829886131799e-15,-4.0219724586245e-15,4.1829886131797e-15,4.0219724586246e-15,9.3124952416554e-08,0.00045798517642411
15875211863.902,1.8475976611856e-12,1.0197684417299e-08,-4.1757633407631e-15,-4.1595043303203e-15,4.1757633407628e-15,4.1595043303194e-15,9.2379883059281e-08,0.00050988422086496
