time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0
25.958682112,2.3460047025435e-13,8.7126255778482e-09,-1.6488457721897e-20,1.7991497421515e-19,8.933591005251e-22,-3.7440155193665e-20,1.1730023512717e-08,0.00043563127889241
186.68799962237,1.6863787460162e-12,8.7141893890179e-09,4.522420975439e-21,3.4418955112783e-21,4.7677026452809e-21,-8.3961653852638e-22,8.431893730081e-08,0.00043570946945089
1181.8815689988,1.0650798373516e-11,8.723870291369e-09,-1.4454011852084e-21,5.6886944495836e-23,-1.4891189730515e-21,-6.1811594051172e-23,5.325399186758e-07,0.00043619351456845
7343.8578398454,6.5223342483573e-11,8.7837431381623e-09,1.2097516458588e-23,-6.442238252867e-22,1.0701649174905e-23,-6.471930992833e-22,3.2611671241786e-06,0.00043918715690812
45497.190750011,3.6976349798033e-10,9.1519175142443e-09,6.2038545941477e-25,1.2746151790283e-23,8.2718061255303e-25,1.1985727961885e-23,1.8488174899017e-05,0.00045759587571221
281732.57176583,1.3973935777164e-09,1.1352691925666e-08,0,5.4315987742682e-25,0,5.069492189317e-25,6.9869678885818e-05,0.00056763459628329
1744439.784661,1.7267246717503e-09,2.3611601638706e-08,1.0753347963189e-23,1.4484263398049e-25,1.7370792863614e-23,0,8.6336233587515e-05,0.0011805800819353
10801137.310052,1.2455752014924e-09,7.740926394687e-08,8.2718061255303e-25,-5.7937053592194e-25,8.2718061255303e-25,-5.7937053592194e-25,6.2278760074622e-05,0.0038704631973435
66877821.244672,8.3802670802778e-10,1.7250457475874e-07,0,0,-4.1359030627651e-25,0,4.1901335401389e-05,0.0086252287379372
414089867.61007,8.0505742860249e-10,1.8444056418381e-07,0,0,0,0,4.0252871430124e-05,0.0092220282091906
662768097.93991,8.050487368389e-10,1.8444383999658e-07,0,0,0,0,4.0252436841945e-05,0.0092221919998291
663140482.12947,8.050487401722e-10,1.8444383874007e-07,0,0,0,0,4.025243700861e-05,0.0092221919370034
663959969.7771,8.0504874739632e-10,1.8444383601762e-07,0,0,0,0,4.0252437369816e-05,0.0092221918008812
664851617.08941,8.0504875502752e-10,1.8444383314154e-07,0,0,0,0,4.0252437751376e-05,0.009222191657077
665610188.00941,8.050487613893e-10,1.8444383074378e-07,0,0,0,0,4.0252438069465e-05,0.0092221915371892
667352356.5851,8.0504877507201e-10,1.8444382558682e-07,0,0,0,0,4.02524387536e-05,0.0092221912793411
668011035.97562,8.0504878018015e-10,1.8444382366156e-07,0,0,0,0,4.0252439009007e-05,0.0092221911830779
668954526.9962,8.0504878733829e-10,1.8444382096376e-07,0,0,0,0,4.0252439366914e-05,0.0092221910481879
670298619.87448,8.0504879673205e-10,1.8444381742349e-07,0,0,0,0,4.0252439836602e-05,0.0092221908711745
670904362.13735,8.0504880089629e-10,1.8444381585406e-07,0,0,0,0,4.0252440044814e-05,0.0092221907927029
671754999.57185,8.0504880652171e-10,1.8444381373355e-07,0,0,0,0,4.0252440326086e-05,0.0092221906866775
672873803.99925,8.0504881380976e-10,1.8444381098682e-07,0,0,0,0,4.0252440690488e-05,0.0092221905493411
674315547.26561,8.0504882261156e-10,1.8444380766973e-07,0,0,0,0,4.0252441130578e-05,0.0092221903834865
675290697.79139,8.0504882830942e-10,1.8444380552222e-07,0,0,0,0,4.0252441415471e-05,0.0092221902761109
675756793.47764,8.050488309683e-10,1.8444380451984e-07,0,0,0,0,4.0252441548415e-05,0.0092221902259921
676374341.24107,8.0504883446572e-10,1.8444380320195e-07,0,0,0,0,4.0252441723286e-05,0.0092221901600974
677926967.18178,8.0504884288638e-10,1.8444380002828e-07,0,0,0,0,4.0252442144319e-05,0.0092221900014139
680275667.59068,8.0504885481849e-10,1.8444379553103e-07,0,0,0,0,4.0252442740924e-05,0.0092221897765513
681324850.80653,8.0504885998733e-10,1.8444379358298e-07,0,0,0,0,4.0252442999367e-05,0.0092221896791489
682502228.93032,8.0504886543475e-10,1.8444379152986e-07,0,0,0,0,4.0252443271737e-05,0.0092221895764928
684112020.06074,8.0504887239373e-10,1.8444378890705e-07,0,0,0,0,4.0252443619686e-05,0.0092221894453524
685491891.21569,8.0504887812859e-10,1.8444378674579e-07,0,0,0,0,4.025244390643e-05,0.0092221893372897
686627706.65158,8.0504888264522e-10,1.8444378504344e-07,0,0,0,0,4.0252444132261e-05,0.0092221892521719
687596506.87796,8.0504888639784e-10,1.8444378362909e-07,0,0,0,0,4.0252444319892e-05,0.0092221891814544
688967120.42408,8.0504889148121e-10,1.8444378171334e-07,0,0,0,0,4.0252444574061e-05,0.0092221890856671
690083853.15442,8.0504889543871e-10,1.8444378022179e-07,0,0,0,0,4.0252444771935e-05,0.0092221890110893
692312690.51343,8.0504890283268e-10,1.8444377743496e-07,0,0,0,0,4.0252445141634e-05,0.0092221888717479
694149405.1164,8.0504890851828e-10,1.8444377529199e-07,0,0,0,0,4.0252445425914e-05,0.0092221887645995
695515806.05724,8.0504891254434e-10,1.8444377377467e-07,0,0,0,0,4.0252445627217e-05,0.0092221886887337
696542858.69879,8.0504891545928e-10,1.8444377267609e-07,0,0,0,0,4.0252445772964e-05,0.0092221886338044
697912351.59716,8.0504891917025e-10,1.8444377127753e-07,0,0,0,0,4.0252445958512e-05,0.0092221885638767
699166918.4097,8.0504892240809e-10,1.8444377005736e-07,0,0,0,0,4.0252446120404e-05,0.009222188502868
700516535.43733,8.0504892568899e-10,1.8444376882067e-07,0,0,0,0,4.0252446284449e-05,0.0092221884410336
701809616.2397,8.0504892859732e-10,1.8444376772434e-07,0,0,0,0,4.0252446429866e-05,0.0092221883862171
702887687.62312,8.0504893094609e-10,1.8444376683952e-07,0,0,0,0,4.0252446547305e-05,0.0092221883419762
704260325.87653,8.0504893384552e-10,1.8444376574658e-07,0,0,0,0,4.0252446692276e-05,0.0092221882873288
706075271.60426,8.0504893747601e-10,1.8444376437834e-07,0,0,0,0,4.02524468738e-05,0.009222188218917
