x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,3.7e-11,-1.8970936855565e-13,-2.2477834869801e-13
1,0,0,1,2.213894744568e-13,1.06471869333e-09,-1.8233898476413e-13,-2.1800060076542e-13
2,0,0,2,4.3374195891103e-13,2.038769899813e-09,-1.7271012009414e-13,-2.0896361743526e-13
3,0,0,3,6.3705747705826e-13,2.9604022718565e-09,-1.6330673717573e-13,-1.9992666299372e-13
4,0,0,4,8.313360655542e-13,3.8308546907156e-09,-1.5412673451319e-13,-1.908897496095e-13
5,0,0,5,1.0165777719626e-12,4.65135138118e-09,-1.4516712973829e-13,-1.8185288745145e-13
6,0,0,6,1.1927826538659e-12,5.423097086496e-09,-1.3642407218982e-13,-1.7281608757297e-13
7,0,0,7,1.3599507757302e-12,6.147272310267e-09,-1.2789285422689e-13,-1.6377935104762e-13
8,0,0,8,1.518082205157e-12,6.8250286604616e-09,-1.1956793508263e-13,-1.5474268558775e-13
9,0,0,9,1.6671770154965e-12,7.4574843086327e-09,-1.1144295881992e-13,-1.4570609467018e-13
10,0,0,10,1.8072352827098e-12,8.045719573123e-09,-1.0351078000715e-13,-1.3666958040098e-13
11,0,0,11,1.9382570842074e-12,8.5907726531356e-09,-9.5763492251834e-14,-1.2763314418181e-13
12,0,0,12,2.0602424978502e-12,9.0936355236987e-09,-8.8192456154742e-14,-1.1859678478899e-13
13,0,0,13,2.1731915994422e-12,9.5552500190712e-09,-8.0788339098037e-14,-1.095605010284e-13
14,0,0,14,2.277104463434e-12,9.9765041066705e-09,-7.3541146246809e-14,-1.0052429077888e-13
15,0,0,15,2.3719811614133e-12,1.0358228377257e-08,-6.6440262981272e-14,-9.148815086075e-14
16,0,0,16,2.4578217612967e-12,1.0701192761798e-08,-5.9474496425234e-14,-8.2452077318452e-14
17,0,0,17,2.5346263271162e-12,1.100610349305e-08,-5.2632121325236e-14,-7.3416066946204e-14
18,0,0,18,2.6023949177648e-12,1.1273600174187e-08,-4.6737402909522e-14,-6.5509603497716e-14
19,0,0,19,2.6611275851107e-12,1.1504252689069e-08,-4.0092813515564e-14,-5.6473692661795e-14
20,0,0,20,2.7108243759332e-12,1.1698560326297e-08,-3.353534796281e-14,-4.7437827041306e-14
21,0,0,21,2.751485330518e-12,1.1856949154302e-08,-2.7051632852328e-14,-3.840200003264e-14
22,0,0,22,2.7831104822937e-12,1.1979769845014e-08,-2.0627938359308e-14,-2.9366204699912e-14
23,0,0,23,2.8056998575492e-12,1.2067296155429e-08,-1.425028585402e-14,-2.0330433841052e-14
24,0,0,24,2.8192534753695e-12,1.2119726312223e-08,-7.1140209377189e-15,-1.0165212108026e-14
25,0,0,25,2.8237713477966e-12,1.2137189402815e-08,-7.9018362027573e-16,-1.129469431892e-15
26,0,0,26,2.8192534783488e-12,1.2119726396193e-08,5.5318825376551e-15,7.9062726676213e-15
27,0,0,27,2.8056998635219e-12,1.2067296322209e-08,1.4250271178706e-14,2.0330430847721e-14
28,0,0,28,2.7831104912597e-12,1.1979770092097e-08,2.0627924296717e-14,2.936620170666e-14
29,0,0,29,2.7514853424772e-12,1.1856949478029e-08,2.3833137995753e-14,3.3884095858234e-14
30,0,0,30,2.7108243908855e-12,1.1698560721991e-08,3.0285110092015e-14,4.2919906143908e-14
31,0,0,31,2.661127603056e-12,1.1504253151197e-08,4.0092802318574e-14,5.6473689668967e-14
32,0,0,32,2.6023949387029e-12,1.127360069656e-08,4.3403386260126e-14,6.0991639037201e-14
33,0,0,33,2.5346263510468e-12,1.1006104068739e-08,5.263211256597e-14,7.3416063953776e-14
34,0,0,34,2.4578217870288e-12,1.0701193381836e-08,5.7752795533134e-14,8.0193067857821e-14
35,0,0,35,2.371981188061e-12,1.0358229036075e-08,6.6440257093582e-14,9.1488149945365e-14
36,0,0,36,2.2771044909969e-12,9.9765047940965e-09,7.3541142272113e-14,1.0052428986374e-13
37,0,0,37,2.1731916279201e-12,9.5552507243575e-09,8.0788337113735e-14,1.0956050011353e-13
38,0,0,38,2.0602425272429e-12,9.0936362357562e-09,8.8192456196417e-14,1.185967838744e-13
39,0,0,39,1.9382571143244e-12,8.59077335891e-09,9.5763494460195e-14,1.2763314546341e-13
40,0,0,40,1.8072353111285e-12,8.0457202600136e-09,1.0351078482235e-13,1.3666958223829e-13
41,0,0,41,1.6671770420778e-12,7.4574849648401e-09,1.1144296559519e-13,1.4570609650774e-13
42,0,0,42,1.5180822299007e-12,6.8250292752586e-09,1.1956794376546e-13,1.5474268742554e-13
43,0,0,43,1.3599507986359e-12,6.1472728732437e-09,1.278928647536e-13,1.6377935288565e-13
44,0,0,44,1.1927826749336e-12,5.4230975876037e-09,1.3642408448662e-13,1.7281608941121e-13
45,0,0,45,1.0165777898606e-12,4.6513518112441e-09,1.4516714307726e-13,1.8185289103077e-13
46,0,0,46,8.3133607987285e-13,3.8308550443261e-09,1.5412674912087e-13,1.9088975318898e-13
47,0,0,47,6.3705748779738e-13,2.9604025426197e-09,1.6330675275614e-13,1.9992666657332e-13
48,0,0,48,4.3374196607051e-13,2.0387700829598e-09,1.7271013635601e-13,2.0896362101496e-13
49,0,0,49,2.2138947803656e-13,1.0647187856934e-09,1.823390014194e-13,2.1800060434517e-13
50,0,0,50,0,3.7e-11,1.8970938531806e-13,2.2477835227778e-13
