time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0
25.958682112,1.9863172840086e-13,3.7778926022793e-11,-4.9860523458702e-14,-2.5452730922394e-16,4.9882792824612e-14,2.54528006512e-16,9.9315864200432e-12,1.8889463011397e-09
186.68799962237,9.954651810016e-13,3.9293540614353e-11,-1.3727843263096e-13,-1.2443922725841e-15,1.3728377427107e-13,1.2443929702834e-15,4.977325905008e-11,1.9646770307176e-09
1181.8815689988,1.8707285106053e-12,4.8582879476532e-11,-2.236711078843e-13,-4.0394472011082e-15,2.2367114093679e-13,4.0394472722101e-15,9.3536425530263e-11,2.4291439738266e-09
7343.8578398454,1.8799554545763e-12,1.0477043767058e-10,-2.2458744077427e-13,-1.1293770047325e-14,2.2458743963182e-13,1.1293885009925e-14,9.3997772728816e-11,5.2385218835289e-09
45497.190750011,1.8800546734081e-12,4.3191608024078e-10,-2.2458662997299e-13,-2.9621958007882e-14,2.2458654917822e-13,2.9628140055629e-14,9.4002733670403e-11,2.1595804012039e-08
281732.57176583,1.8802867795632e-12,2.1366486687677e-09,-2.245832129698e-13,-7.5386282923373e-14,2.2458320681623e-13,7.5388608896213e-14,9.4014338978162e-11,1.0683243343839e-07
1744439.784661,1.8803778411542e-12,7.8778502970511e-09,-2.2457123721268e-13,-1.8100658678195e-13,2.245712404801e-13,1.8100660347668e-13,9.4018892057711e-11,3.9389251485255e-07
10801137.310052,1.8803392889791e-12,1.0954355298958e-08,-2.2456479404132e-13,-2.3595914300056e-13,2.2456479404147e-13,2.3595914299808e-13,9.4016964448956e-11,5.4771776494789e-07
66877821.244672,1.8803394989284e-12,1.0945066844921e-08,-2.2456481349364e-13,-2.3579321628782e-13,2.2456481349365e-13,2.3579321628783e-13,9.4016974946418e-11,5.4725334224606e-07
