time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0
25.958682112,2.600056769425e-16,3.7541954564641e-11,8.7822503580802e-20,1.7268503435902e-21,8.5737906973583e-20,-4.4206956218971e-22,1.3000283847125e-14,1.8770977282321e-09
186.68799962237,1.7125159097053e-15,3.7543479700315e-11,7.4214292150425e-21,2.6609347649354e-22,7.1508381314756e-21,-6.3531873493163e-23,8.5625795485267e-14,1.8771739850157e-09
1181.8815689988,1.0706070294208e-14,3.7552922931063e-11,2.9827177925205e-23,-5.5943516403184e-21,2.8324719756008e-23,3.1855427480934e-22,5.3530351471042e-13,1.8776461465532e-09
7343.8578398454,6.6391416962894e-14,3.7611392653232e-11,-2.4959685258938e-24,1.8483775773418e-19,-2.2558645098935e-24,-1.2395615546777e-20,3.3195708481447e-12,1.8805696326616e-09
45497.190750011,4.1116645508671e-13,3.7973412202703e-11,-1.9603837205241e-23,3.2352333954225e-18,-1.0132356658599e-23,2.8651149155314e-18,2.0558322754335e-11,1.8986706101351e-09
281732.57176583,2.5453662836076e-12,4.0214509060397e-11,-3.9696591466876e-23,1.1656204491995e-18,-4.2775900544075e-23,1.1511444846422e-18,1.2726831418038e-10,2.0107254530198e-09
1744439.784661,1.5733891550405e-11,5.4069868479609e-11,-9.0472879497987e-25,8.1071035729723e-21,-1.835306984102e-24,7.9975255231806e-21,7.8669457752026e-10,2.7034934239805e-09
8820372.2722257,7.8363879142092e-11,1.200449339913e-10,1.9128551665289e-24,4.2058881260563e-24,-5.6868667113021e-25,8.8450650374964e-24,3.9181939571046e-09,6.0022466995651e-09
17724780.653658,1.5216268821955e-10,1.983233053379e-10,-7.8582158192538e-24,-2.6372187799052e-24,-5.0664812518873e-24,-2.8806255673405e-24,7.6081344109773e-09,9.9161652668951e-09
26646812.232222,2.1768753530302e-10,2.6861224083014e-10,-2.5849394142282e-24,7.5624913056405e-24,9.7193721974981e-24,6.292494027818e-24,1.0884376765151e-08,1.3430612041507e-08
37475880.427379,2.8357386991364e-10,3.4059789738115e-10,7.6514206661155e-24,1.0231095075745e-24,-9.7193721974981e-24,-3.8264609994636e-25,1.4178693495682e-08,1.7029894869058e-08
48147563.235154,3.3360267488732e-10,3.9691044992816e-10,9.9261673506363e-24,2.8820291894425e-24,1.7577588016752e-23,4.6545980395999e-24,1.6680133744366e-08,1.9845522496408e-08
56155834.502735,3.6230097944321e-10,4.3046157613797e-10,0,8.0955682649906e-24,-1.8611563782443e-24,9.8276005088445e-24,1.811504897216e-08,2.1523078806899e-08
65917718.053334,3.8861211140869e-10,4.6280749467673e-10,1.4475660719678e-24,6.3683270512447e-25,4.1359030627651e-24,-6.4794564917945e-24,1.9430605570434e-08,2.3140374733837e-08
75569490.982352,4.0704163737134e-10,4.8729851830005e-10,-1.4475660719678e-24,-6.0067539977886e-25,2.0679515313826e-25,-7.6342070375683e-25,2.0352081868567e-08,2.4364925915002e-08
86434311.280752,4.2092450416138e-10,5.0808217609249e-10,1.0339757656913e-24,3.9481082482972e-25,1.4475660719678e-24,1.7023128852158e-25,2.1046225208069e-08,2.5404108804625e-08
97482432.72826,4.2961173044424e-10,5.2384110158244e-10,-1.8611563782443e-24,4.585165532958e-25,2.4815418376591e-24,-2.4074926292233e-25,2.1480586522212e-08,2.6192055079122e-08
106906567.69677,4.3394209162328e-10,5.3423006129662e-10,2.0679515313826e-25,1.9388699967937e-26,-4.1359030627651e-25,-1.1693107857111e-25,2.1697104581164e-08,2.6711503064831e-08
123117335.63007,4.370047459875e-10,5.4774202645873e-10,-1.6543612251061e-24,3.1837892263952e-25,-1.4475660719678e-24,-1.9837859040553e-26,2.1850237299375e-08,2.7387101322936e-08
139112842.89108,4.3666931502534e-10,5.5772561303878e-10,-6.2038545941477e-25,-3.7804221945205e-26,0,-1.4073650941977e-26,2.1833465751267e-08,2.7886280651939e-08
155438579.65158,4.3442974885508e-10,5.6600819538542e-10,0,2.2457953630815e-28,0,2.2457953630815e-28,2.1721487442754e-08,2.8300409769271e-08
163258803.4344,4.3295340084403e-10,5.6956532586098e-10,0,-1.7142904604855e-26,0,-1.8789821204448e-26,2.1647670042201e-08,2.8478266293049e-08
170528543.42862,4.3142809643502e-10,5.7271433568909e-10,0,7.1116853164247e-27,0,7.1116853164247e-27,2.1571404821751e-08,2.8635716784454e-08
