x,y,z,id,xi,xv,jvx,jix
0,0,0,0,1.948680226822e-12,5.8380534372509e-09,1.1558360135326e-25,1.9984812846252e-24
1,0,0,1,1.9486802268202e-12,5.8380534372502e-09,1.4612641829117e-25,1.3570931924698e-24
2,0,0,2,1.9486802268191e-12,5.8380534372492e-09,1.7666923522908e-25,7.0439599037719e-25
3,0,0,3,1.9486802268186e-12,5.8380534372481e-09,2.5931450459047e-25,5.8161136820135e-26
4,0,0,4,1.9486802268188e-12,5.8380534372467e-09,2.6350665593489e-25,-6.0746076234363e-25
5,0,0,5,1.9486802268197e-12,5.8380534372452e-09,2.6650104975233e-25,-1.1034460124487e-24
6,0,0,6,1.9486802268212e-12,5.8380534372438e-09,2.736875949142e-25,1.7125223619262e-25
7,0,0,7,1.9486802268197e-12,5.8380534372427e-09,1.6349390243233e-25,1.7189847104618e-24
8,0,0,8,1.9486802268185e-12,5.8380534372421e-09,1.0300714732e-25,1.0372069399591e-24
9,0,0,9,1.9486802268178e-12,5.8380534372417e-09,8.6238541942328e-26,3.4735123378692e-25
10,0,0,10,1.9486802268179e-12,5.8380534372412e-09,1.4193426694675e-25,-4.7821379163222e-25
11,0,0,11,1.9486802268186e-12,5.8380534372407e-09,5.8091240058374e-26,-9.6773669320169e-25
12,0,0,12,1.94868022682e-12,5.8380534372404e-09,2.3955150539536e-26,-1.6462832894366e-24
13,0,0,13,1.9486802268205e-12,5.8380534372398e-09,3.0243377556164e-25,1.7658367373446e-24
14,0,0,14,1.9486802268192e-12,5.8380534372383e-09,2.3655711157791e-25,9.4996523472887e-25
15,0,0,15,1.9486802268185e-12,5.8380534372372e-09,2.066131734035e-25,2.6818746422618e-25
16,0,0,16,1.9486802268185e-12,5.838053437236e-09,2.5093020190164e-25,-4.0228119633927e-25
17,0,0,17,1.9486802268191e-12,5.8380534372347e-09,2.2398065754466e-25,-1.0630563341014e-24
18,0,0,18,1.9486802268205e-12,5.8380534372336e-09,1.8325690162745e-25,-1.5687351070097e-24
19,0,0,19,1.9486802268209e-12,5.8380534372323e-09,3.2099901722978e-25,1.8837745981188e-24
20,0,0,20,1.9486802268194e-12,5.8380534372306e-09,3.1261471454094e-25,1.2246150474906e-24
21,0,0,21,1.9486802268186e-12,5.8380534372291e-09,1.9343784060675e-25,5.6222432259464e-25
22,0,0,22,1.9486802268185e-12,5.8380534372275e-09,3.1321359330443e-25,-1.0824433797081e-25
23,0,0,23,1.948680226819e-12,5.8380534372264e-09,1.2995669167698e-25,-7.7871299853625e-25
24,0,0,24,1.9486802268202e-12,5.8380534372257e-09,1.7906475028303e-25,-1.5832753912148e-24
25,0,0,25,1.9486802268215e-12,5.8380534372251e-09,6.4080027693258e-26,9.6935228033558e-27
26,0,0,26,1.9486802268198e-12,5.8380534372252e-09,-3.2938331991862e-26,1.4378725491644e-24
27,0,0,27,1.9486802268188e-12,5.8380534372256e-09,-7.8453118016979e-26,7.8679093420571e-25
28,0,0,28,1.9486802268184e-12,5.8380534372265e-09,-1.7666923522908e-25,1.1470668650638e-25
29,0,0,29,1.9486802268187e-12,5.8380534372279e-09,-3.1261471454094e-25,-5.6060873546074e-25
30,0,0,30,1.9486802268197e-12,5.8380534372295e-09,-2.6590217098885e-25,-1.2456176802312e-24
31,0,0,31,1.9486802268213e-12,5.8380534372311e-09,-3.0303265432513e-25,-1.8950837080561e-24
32,0,0,32,1.9486802268209e-12,5.8380534372332e-09,-4.5694449654164e-25,1.7949173057547e-24
33,0,0,33,1.9486802268196e-12,5.8380534372357e-09,-4.539501027242e-25,1.1325265808587e-24
34,0,0,34,1.9486802268189e-12,5.8380534372382e-09,-4.6353216294002e-25,4.5559557175772e-25
35,0,0,35,1.9486802268188e-12,5.8380534372409e-09,-4.9407497987792e-25,-2.197198502094e-25
36,0,0,36,1.9486802268195e-12,5.8380534372434e-09,-4.3897813363699e-25,-8.8211057510538e-25
37,0,0,37,1.9486802268208e-12,5.8380534372458e-09,-4.1023195298955e-25,-1.5428857128675e-24
38,0,0,38,1.9486802268212e-12,5.8380534372473e-09,-1.6169726614187e-25,1.9548604320101e-24
39,0,0,39,1.9486802268196e-12,5.8380534372484e-09,-1.8924568926233e-25,1.3021632299175e-24
40,0,0,40,1.9486802268187e-12,5.8380534372493e-09,-1.6409278119582e-25,6.2361663368256e-25
41,0,0,41,1.9486802268185e-12,5.8380534372499e-09,-6.2283391402793e-26,-3.8774091213423e-26
42,0,0,42,1.948680226819e-12,5.8380534372503e-09,-3.5932725809304e-26,-7.0439599037719e-25
43,0,0,43,1.9486802268201e-12,5.8380534372507e-09,-7.9650875543956e-26,-1.3667867152732e-24
44,0,0,44,1.9486802268214e-12,5.8380534372513e-09,-1.856524166814e-26,8.562611809631e-26
45,0,0,45,1.9486802268197e-12,5.8380534372513e-09,1.4373090323721e-26,1.3797114123443e-24
46,0,0,46,1.9486802268188e-12,5.8380534372513e-09,-3.4734968282327e-26,5.6222432259464e-25
47,0,0,47,1.9486802268184e-12,5.8380534372513e-09,-9.5820602158143e-27,-1.0016640230134e-25
48,0,0,48,1.9486802268188e-12,5.8380534372514e-09,2.8746180647443e-26,-7.7548182426846e-25
49,0,0,49,1.9486802268198e-12,5.8380534372511e-09,6.8871057801165e-26,-1.4394881362983e-24
50,0,0,50,1.9486802268215e-12,5.8380534372509e-09,2.3356271776047e-26,-1.9225486893322e-24
