time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv
0,0,0,0,0,0,0,0,0
25.958682112,2.3446508105578e-13,3.7880742984616e-11,-5.0951915952809e-14,-2.2650908807519e-16,5.0951915952809e-14,2.2650908807519e-16,2.8135809726694e-09,4.5456891581539e-07
186.68799962237,1.6842384580717e-12,3.940583678721e-11,-1.3842301969095e-13,-1.1753760074936e-15,1.3842301969095e-13,1.1753760074936e-15,2.021086149686e-08,4.7287004144652e-07
1181.8815689988,1.0634695725411e-11,4.8848439390888e-11,-3.4992307061654e-13,-4.0302621038609e-15,3.4992307061654e-13,4.0302621038609e-15,1.2761634870493e-07,5.8618127269066e-07
7343.8578398454,6.5653429479397e-11,1.0730825813768e-10,-8.7391215827795e-13,-1.1294187804839e-14,8.7391215827795e-13,1.1294187804839e-14,7.8784115375276e-07,1.2876990976522e-06
45497.190750011,4.0006235633374e-10,4.6908419932317e-10,-2.1764540824974e-12,-2.9628570276924e-14,2.1764540824974e-12,2.9628570276924e-14,4.8007482760048e-06,5.6290103918781e-06
281732.57176583,2.3544646625819e-09,2.6858805507752e-09,-5.3829378600826e-12,-7.538725689223e-14,5.3829378600826e-12,7.538725689223e-14,2.8253575950983e-05,3.2230566609302e-05
1744439.784661,9.9384826658802e-09,1.3103212496576e-08,-1.0963853166394e-11,-1.8867376573063e-13,1.0963853166395e-11,1.8867376573063e-13,0.00011926179199056,0.00015723854995891
10801137.310052,8.9033746317338e-09,2.972520350793e-08,-7.4839941514821e-12,-4.5033751867149e-13,7.4839941514933e-12,4.5033751867146e-13,0.00010684049558081,0.00035670244209517
66877821.244672,3.3055865631821e-09,8.7251478881573e-08,-3.5283484476091e-12,-8.9845869535372e-13,3.5283484476101e-12,8.984586953536e-13,3.9667038758185e-05,0.0010470177465789
414089867.61007,8.4963960827092e-10,3.1046899004824e-07,-1.9540014025269e-12,-1.3721474945331e-12,1.9540014025269e-12,1.3721474945331e-12,1.0195675299251e-05,0.0037256278805789
2563935341.3868,1.8586298480135e-10,1.2811101187396e-06,-1.4987836076899e-12,-1.7560697985128e-12,1.4987836076899e-12,1.7560697985128e-12,2.2303558176162e-06,0.015373321424876
15875211863.902,4.6234567199769e-11,5.8837550384703e-06,-1.2881206183114e-12,-2.1638977797159e-12,1.2881206183114e-12,2.1638977797158e-12,5.5481480639722e-07,0.070605060461644
98295127536.995,1.6692283361866e-11,2.1359233957864e-05,-1.0635197037126e-12,-3.128392263786e-12,1.0635197037126e-12,3.128392263786e-12,2.0030740034239e-07,0.25631080749436
608617521341.22,1.2682328300916e-11,2.9863168379684e-05,-9.8951093219635e-13,-3.6881697884345e-12,9.8951093219635e-13,3.6881697884345e-12,1.5218793961099e-07,0.3583580205562
3768399274225.2,1.2691476378775e-11,2.9837270190029e-05,-9.8970779022403e-13,-3.686436773436e-12,9.8970779022404e-13,3.686436773436e-12,1.522977165453e-07,0.35804724228035
