x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,3.7e-11,-3.602514707617e-13,-3.4991654964321e-13
1,0,0,1,3.4655066991086e-13,3.7356884943383e-11,-3.5352735475546e-13,-3.4319398796265e-13
2,0,0,2,6.8421149791232e-13,3.7704875900812e-11,-3.446869908695e-13,-3.3435932145999e-13
3,0,0,3,1.0131295830793e-12,3.8044115831836e-11,-3.3598955418819e-13,-3.2567171899999e-13
4,0,0,4,1.3334519065251e-12,3.8374747587087e-11,-3.2743491540061e-13,-3.1713104054058e-13
5,0,0,5,1.6453252725855e-12,3.8696913853959e-11,-3.1902289093669e-13,-3.0873708728563e-13
6,0,0,6,1.9488962501946e-12,3.9010757102469e-11,-3.107532431611e-13,-3.004896019017e-13
7,0,0,7,2.2443111145184e-12,3.9316419531342e-11,-3.0262568062421e-13,-2.9238826879848e-13
8,0,0,8,2.5317157889073e-12,3.9614043014385e-11,-2.9463985836956e-13,-2.8443271447243e-13
9,0,0,9,2.8112557872324e-12,3.9903769047206e-11,-2.8679537829761e-13,-2.7662250791318e-13
10,0,0,10,3.0830761566662e-12,4.0185738694323e-11,-2.7909178958481e-13,-2.6895716107201e-13
11,0,0,11,3.3473214209712e-12,4.0460092536737e-11,-2.7152858915781e-13,-2.6143612939176e-13
12,0,0,12,3.6041355243554e-12,4.0726970620005e-11,-2.6410522222173e-13,-2.5405881239734e-13
13,0,0,13,3.8536617759564e-12,4.0986512402881e-11,-2.550217264762e-13,-2.4503826074255e-13
14,0,0,14,4.0960427950118e-12,4.1238856706566e-11,-2.496755145781e-13,-2.3973264493597e-13
15,0,0,15,4.3314204567758e-12,4.1484141664626e-11,-2.4093733925273e-13,-2.3106676684574e-13
16,0,0,16,4.5599358392364e-12,4.1722504673633e-11,-2.3579721727487e-13,-2.2597276269634e-13
17,0,0,17,4.7817291706915e-12,4.1954082344566e-11,-2.2906292925025e-13,-2.1930310365026e-13
18,0,0,18,4.9969397782364e-12,4.2179010455027e-11,-2.2246409599064e-13,-2.1277242262332e-13
19,0,0,19,5.2057060372165e-12,4.2397423902329e-11,-2.1599981980661e-13,-2.0637974912951e-13
20,0,0,20,5.408165321697e-12,4.2609456657487e-11,-2.0966915735105e-13,-2.0012406354453e-13
21,0,0,21,5.6044539559989e-12,4.281524172016e-11,-2.0347112058944e-13,-1.9400429819075e-13
22,0,0,22,5.7947071673496e-12,4.3014911074593e-11,-1.9740467781233e-13,-1.8801933846981e-13
23,0,0,23,5.9790590396955e-12,4.3208595646603e-11,-1.9146875468872e-13,-1.8216802404108e-13
24,0,0,24,6.1576424687205e-12,4.3396425261632e-11,-1.8566223535891e-13,-1.7644915004404e-13
25,0,0,25,6.3305891181126e-12,4.3578528603923e-11,-1.7998396356431e-13,-1.7086146836277e-13
26,0,0,26,6.4980293771213e-12,4.3755033176848e-11,-1.7443274381315e-13,-1.6540368893024e-13
27,0,0,27,6.660092319442e-12,4.3926065264419e-11,-1.6900734257929e-13,-1.6007448107041e-13
28,0,0,28,6.8169056634655e-12,4.4091749894025e-11,-1.6370648953268e-13,-1.5487247487567e-13
29,0,0,29,6.9685957339253e-12,4.4252210800408e-11,-1.5852887879845e-13,-1.4979626261717e-13
30,0,0,30,7.1152874249745e-12,4.4407570390923e-11,-1.5347317024297e-13,-1.4484440018541e-13
31,0,0,31,7.2571041647206e-12,4.4557949712093e-11,-1.4853799078362e-13,-1.4001540855841e-13
32,0,0,32,7.3941678812446e-12,4.4703468417496e-11,-1.4372193572029e-13,-1.3530777529476e-13
33,0,0,33,7.5265989701263e-12,4.4844244736984e-11,-1.3902357008561e-13,-1.3071995604851e-13
34,0,0,34,7.6545162634984e-12,4.4980395447273e-11,-1.3444143001295e-13,-1.2625037610453e-13
35,0,0,35,7.7780370006511e-12,4.5112035843911e-11,-1.2997402413147e-13,-1.2189743194217e-13
36,0,0,36,7.8972768002209e-12,4.5239279714665e-11,-1.2561983498975e-13,-1.1765949282773e-13
37,0,0,37,8.0123496339808e-12,4.5362239314332e-11,-1.2033395808644e-13,-1.1252126914554e-13
38,0,0,38,8.1233678022436e-12,4.5481025341004e-11,-1.1724491534269e-13,-1.0952198039342e-13
39,0,0,39,8.2304419110355e-12,4.5595746913928e-11,-1.1322103293322e-13,-1.0561902445302e-13
40,0,0,40,8.3336808523658e-12,4.5706511554415e-11,-1.0930406882062e-13,-1.0182431385462e-13
41,0,0,41,8.4331917861062e-12,4.5813425168174e-11,-1.0549240060987e-13,-9.8136109562969e-14
42,0,0,42,8.5290801220867e-12,4.5916592027597e-11,-1.0178438861979e-13,-9.4552655151163e-14
