time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,0.0007114490452209,0.00072965209989612,-0.0015268077807841,-1.7452481831134e-05,2.8695538317608e-18,1.441689752955e-16,1.7786226130523,1.8241302497403,1,0.000181
186.68799962237,0.00078043741838111,0.00085853635097274,-0.00071475160395059,-6.5492244047692e-05,1.0783884855618e-18,1.3572344281111e-16,1.9510935459528,2.1463408774319,1,0.000181
1181.8815689988,0.00075750722268494,0.00098708444502543,-0.00038064633629814,-0.00011796033602676,4.2903363914339e-19,1.021896177781e-16,1.8937680567124,2.4677111125636,1,0.000181
6039.5048783451,0.0007144363572641,0.0012590128914793,-0.00026954379819826,-0.00015463017495791,1.9032683432183e-19,5.6886105085816e-17,1.7860908931602,3.1475322286982,1,0.000181
16410.693913127,0.0006740619444012,0.0015760497758277,-0.00023894953886189,-0.00017083891248723,9.6915921041998e-16,3.6318003222305e-17,1.685154861003,3.9401244395692,1,0.000181
32284.226847193,0.00064158440005882,0.0018997391155215,-0.00022640911420876,-0.00017905703292898,6.9997549976742e-12,2.6320853692033e-17,1.6039610001471,4.7493477888038,1,0.000181
49921.485662822,0.00061987671915551,0.0021730353085927,-0.00022059405303856,-0.00018329447444607,3.2517243569211e-10,2.0849428698634e-17,1.5496917978888,5.4325882714817,1,0.000181
70380.705888952,0.00060342783285841,0.0024332081810098,-0.00021694084716677,-0.00018611901673315,2.7371956870018e-09,1.1112275052266e-17,1.508569582146,6.0830204525246,1,0.000181
94085.181737157,0.00059081920102937,0.0026894058557749,-0.00021437031453755,-0.00018818889687617,1.0215513893331e-08,-2.646678013798e-17,1.4770480025734,6.7235146394372,1,0.000181
119482.83443166,0.0005818824772736,0.0029287958126268,-0.00021255392192601,-0.00018969526701893,2.3582246018322e-08,-1.277407136196e-16,1.454706193184,7.3219895315669,1,0.000181
147928.20544951,0.0005752551662287,0.0031669059612152,-0.00021112898091296,-0.00019090357255231,4.3317694706437e-08,-3.3269886190629e-16,1.4381379155717,7.9172649030379,1,0.000181
178405.38868292,0.00057047203408377,0.0033961664665165,-0.00021001531930023,-0.00019186477299254,6.8209975058752e-08,-6.3151905682196e-16,1.4261800852094,8.4904161662914,1,0.000181
208882.57191632,0.00056701210540403,0.0036049217319511,-0.00020916649182098,-0.00019260760343576,9.582218439938e-08,-9.4281878757191e-16,1.4175302635101,9.0123043298779,1,0.000181
243626.56080241,0.00056386095315395,0.0038231945366681,-0.00020840946044983,-0.00019327771943947,1.2964000101706e-07,-1.2349980786353e-15,1.4096523828849,9.5579863416703,1,0.000181
280199.1806825,0.00056087589471008,0.0040347003893933,-0.00020777725752886,-0.00019384294523226,1.6678613298531e-07,-1.4479522779045e-15,1.4021897367752,10.086750973483,1,0.000181
316771.80056258,0.000557871510017,0.0042309094603686,-0.00020726326195734,-0.00019430630774534,2.0420012758543e-07,-1.5928506043685e-15,1.3946787750425,10.577273650922,1,0.000181
353344.42044267,0.00055464905018018,0.0044143736533283,-0.00020683521878064,-0.00019469483463983,2.4061863983491e-07,-1.7007207381486e-15,1.3866226254504,11.035934133321,1,0.000181
397231.56429878,0.0005503600489674,0.004620391523816,-0.00020640565911746,-0.00019508718674257,2.815974142804e-07,-1.802348657132e-15,1.3759001224185,11.55097880954,1,0.000181
441118.70815488,0.0005455573420614,0.0048133456616137,-0.00020604516875073,-0.00019541836461236,3.185347108782e-07,-1.8829475473234e-15,1.3638933551535,12.033364154034,1,0.000181
485005.85201099,0.00054024949229814,0.0049951694624082,-0.00020573731834099,-0.00019570257723092,3.5085825609598e-07,-1.9472424049286e-15,1.3506237307453,12.487923656021,1,0.000181
528892.9958671,0.00053448132197226,0.0051673754192564,-0.0002054706465692,-0.0001959498195697,3.7844076333245e-07,-1.9983881681549e-15,1.3362033049306,12.918438548141,1,0.000181
572780.1397232,0.00052831465209552,0.0053311723316536,-0.00020523688615798,-0.00019616735295742,4.0144759167869e-07,-2.0388284453167e-15,1.3207866302388,13.327930829134,1,0.000181
625444.71235053,0.00052048408719445,0.0055180022672456,-0.00020499129020173,-0.00019639671508068,4.2349500376488e-07,-2.0759485583451e-15,1.3012102179861,13.795005668114,1,0.000181
678109.28497786,0.00051229215399506,0.0056955121925304,-0.00020477646947313,-0.0001965980247331,4.4016529124185e-07,-2.103111141025e-15,1.2807303849877,14.238780481326,1,0.000181
730773.85760518,0.00050384497771037,0.0058648210311601,-0.00020458661349237,-0.00019677647758373,4.522226460361e-07,-2.122385002107e-15,1.2596124442759,14.6620525779,1,0.000181
783438.43023251,0.00049523623818969,0.0060268489725908,-0.00020441732968777,-0.00019693602150124,4.6039678578255e-07,-2.1353832143904e-15,1.2380905954742,15.067122431477,1,0.000181
836103.00285984,0.00048654627733644,0.0061823627921075,-0.00020426522868303,-0.00019707971657639,4.6534777436726e-07,-2.1433712613077e-15,1.2163656933411,15.455906980269,1,0.000181
888767.57548716,0.00047784256073702,0.0063320087492961,-0.00020412764866273,-0.00019720997582209,4.6765354428957e-07,-2.1473481708673e-15,1.1946064018425,15.83002187324,1,0.000181
946698.60537722,0.00046831877059881,0.006490496449685,-0.00020399056066139,-0.00019734003724133,4.6772411595243e-07,-2.1480326680651e-15,1.170796926497,16.226241124213,1,0.000181
