x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,3.7e-11,-2.5324079307512e-12,-1.1787123235537e-12
1,0,0,1,1.175323498406e-12,1.4008545093637e-08,-2.5252914309966e-12,-1.1719347110719e-12
2,0,0,2,2.3416107005435e-12,2.7927669492989e-08,-2.5158037735369e-12,-1.1628989027845e-12
3,0,0,3,3.4988634001992e-12,4.1794383111793e-08,-2.506318352593e-12,-1.1538653304132e-12
4,0,0,4,4.6470845616229e-12,5.560870233043e-08,-2.4968363309397e-12,-1.1448351567332e-12
5,0,0,5,5.7862782990738e-12,6.9370649882927e-08,-2.487358850942e-12,-1.1358095241095e-12
6,0,0,6,6.916449856485e-12,8.3080254744598e-08,-2.4778870346735e-12,-1.126789554616e-12
7,0,0,7,8.0376055872484e-12,9.6737552020365e-08,-2.4684219840393e-12,-1.1177763501581e-12
8,0,0,8,9.1497529341247e-12,1.1034258283376e-07,-2.4589647809026e-12,-1.108770992599e-12
9,0,0,9,1.0252900409283e-11,1.2389539421665e-07,-2.4495164872145e-12,-1.0997745438903e-12
10,0,0,10,1.1347057574472e-11,1.3739603899968e-07,-2.4400781451481e-12,-1.0907880462049e-12
11,0,0,11,1.2432235021326e-11,1.5084457570347e-07,-2.4306507772348e-12,-1.0818125220748e-12
12,0,0,12,1.3508444351812e-11,1.6424106843059e-07,-2.4212353865054e-12,-1.0728489745308e-12
13,0,0,13,1.4575698158819e-11,1.7758558675831e-07,-2.4118329566324e-12,-1.0638983872456e-12
14,0,0,14,1.563401000689e-11,1.9087820563216e-07,-2.4024444520771e-12,-1.0549617246808e-12
15,0,0,15,1.6683394413102e-11,2.0411900526029e-07,-2.393070818238e-12,-1.0460399322349e-12
16,0,0,16,1.77238668281e-11,2.1730807100867e-07,-2.3837129816027e-12,-1.0371339363959e-12
17,0,0,17,1.8755443617283e-11,2.3044549329717e-07,-2.3743718499021e-12,-1.0282446448949e-12
18,0,0,18,1.9778142042143e-11,2.4353136749644e-07,-2.3650483122671e-12,-1.019372946863e-12
19,0,0,19,2.0791980241763e-11,2.5656579382572e-07,-2.3557432393873e-12,-1.01051971299e-12
20,0,0,20,2.1796977214482e-11,2.6954887725148e-07,-2.3464574836725e-12,-1.0016857956857e-12
21,0,0,21,2.2793152799709e-11,2.8248072738702e-07,-2.3371918794151e-12,-9.9287202924298e-13
22,0,0,22,2.3780527659916e-11,2.9536145839293e-07,-2.327947242956e-12,-9.8407923000269e-13
23,0,0,23,2.4759123262784e-11,3.0819118887849e-07,-2.3187243728504e-12,-9.7530819652056e-13
24,0,0,24,2.5728961863529e-11,3.2097004180396e-07,-2.3095240500375e-12,-9.6655970973573e-13
25,0,0,25,2.6690066487388e-11,3.336981443839e-07,-2.3003470380097e-12,-9.5783453314092e-13
26,0,0,26,2.7642460912279e-11,3.463756279913e-07,-2.2911940829846e-12,-9.4913341295387e-13
27,0,0,27,2.8586169651637e-11,3.5900262806279e-07,-2.2820659140779e-12,-9.4045707829047e-13
28,0,0,28,2.9521217937418e-11,3.7157928400474e-07,-2.2729632434774e-12,-9.3180624133882e-13
