x,y,z,id,xi,xv,jvx,jix
0,0,0,0,0,3.7e-11,-1.8902743298999e-13,-4.3175534634388e-12
1,0,0,1,4.314164585763e-12,1.0619477637718e-09,-1.820222322115e-13,-4.310775711819e-12
2,0,0,2,8.6192922562063e-12,2.0361127692518e-09,-1.7294198227932e-13,-4.3017388868652e-12
3,0,0,3,1.2915383376028e-11,2.9611358829519e-09,-1.6415856995949e-13,-4.2927025366398e-12
4,0,0,4,1.7202438593443e-11,3.8386545343476e-09,-1.5567119569635e-13,-4.2836669358122e-12
5,0,0,5,2.1480458817058e-11,4.6703001154214e-09,-1.4747859162003e-13,-4.2746323363523e-12
6,0,0,6,2.5749445193876e-11,5.457695419194e-09,-1.3957902926805e-13,-4.2655989686452e-12
7,0,0,7,3.0009399088399e-11,6.2024521269436e-09,-1.3197032904692e-13,-4.2565670425988e-12
8,0,0,8,3.4260322062833e-11,6.9061683535591e-09,-1.2464987138406e-13,-4.2475367487291e-12
9,0,0,9,3.8502215858365e-11,7.5704262601737e-09,-1.1761460951245e-13,-4.2385082592268e-12
10,0,0,10,4.2735082377493e-11,8.1967897428552e-09,-1.1086108381788e-13,-4.2294817290093e-12
11,0,0,11,4.6958923667403e-11,8.7868022057374e-09,-1.0438543767339e-13,-4.2204572967496e-12
12,0,0,12,5.1173741904348e-11,9.3419844265048e-09,-9.8183434674168e-14,-4.2114350858776e-12
13,0,0,13,5.537953937902e-11,9.8638325216626e-09,-9.2250477180923e-14,-4.2024152055542e-12
14,0,0,14,5.9576318482877e-11,1.035381601846e-08,-8.6581626069187e-14,-4.1933977516302e-12
15,0,0,15,6.3764081695413e-11,1.0813376039772e-08,-8.1171621576268e-14,-4.1843828075651e-12
16,0,0,16,6.7942831572322e-11,1.1243923607619e-08,-7.6014905139495e-14,-4.1753704453109e-12
17,0,0,17,7.2112570734539e-11,1.1646838070373e-08,-7.1105642094945e-14,-4.1663607261849e-12
18,0,0,18,7.627330185811e-11,1.2023465658021e-08,-6.6437745129289e-14,-4.1573537016865e-12
19,0,0,19,8.0425027664893e-11,1.2375118169192e-08,-6.20048983541e-14,-4.1483494143012e-12
20,0,0,20,8.4567750914007e-11,1.2703071792968e-08,-5.7800581870311e-14,-4.139347898254e-12
21,0,0,21,8.8701474394032e-11,1.3008566067543e-08,-5.3818096645892e-14,-4.1303491802307e-12
22,0,0,22,9.2826200915906e-11,1.3292802977401e-08,-5.0050589708901e-14,-4.1213532800878e-12
23,0,0,23,9.6941933306517e-11,1.3556946184669e-08,-4.649107725898e-14,-4.1123602114965e-12
24,0,0,24,1.0104867440289e-10,1.3802120385179e-08,-4.3132468601767e-14,-4.1033699825602e-12
25,0,0,25,1.0514642704701e-10,1.4029410854196e-08,-3.9967608879784e-14,-4.0943825964197e-12
26,0,0,26,1.0923519408118e-10,1.4239863219504e-08,-3.6989308832148e-14,-4.0853980517633e-12
27,0,0,27,1.1331497834376e-10,1.4434482197124e-08,-3.4189990452032e-14,-4.0764163431021e-12
28,0,0,28,1.1738578266573e-10,1.4614232448684e-08,-3.1562707077798e-14,-4.0674374620699e-12
29,0,0,29,1.2144760986784e-10,1.4780040331848e-08,-2.9100742470613e-14,-4.0584613975038e-12
30,0,0,30,1.2550046275822e-10,1.4932796473026e-08,-2.6797032946138e-14,-4.0494881354224e-12
31,0,0,31,1.2954434412884e-10,1.5073347190598e-08,-2.3874330616856e-14,-4.0371544658006e-12
32,0,0,32,1.335792567532e-10,1.5202496318408e-08,-2.287765365035e-14,-4.0326707829211e-12
33,0,0,33,1.376052033857e-10,1.5321009313834e-08,-2.0986405144488e-14,-4.0237054773684e-12
34,0,0,34,1.4162218676113e-10,1.5429616241468e-08,-1.9225590911811e-14,-4.014742901357e-12
35,0,0,35,1.4563020959281e-10,1.5529009908459e-08,-1.7588510848775e-14,-4.0057830331791e-12
36,0,0,36,1.4962927457178e-10,1.5619846773111e-08,-1.6068623790222e-14,-3.9968258504024e-12
37,0,0,37,1.5361938436564e-10,1.5702746133948e-08,-1.4659041969141e-14,-3.9878713290337e-12
38,0,0,38,1.5760054161877e-10,1.5778292523052e-08,-1.3353907380025e-14,-3.978919446658e-12
39,0,0,39,1.6157274895286e-10,1.584703802397e-08,-1.2147172635297e-14,-3.9699701800937e-12
40,0,0,40,1.6553600896827e-10,1.5909507331807e-08,-1.1034631226883e-14,-3.9610235094859e-12
41,0,0,41,1.6949032424215e-10,1.5966192948196e-08,-1.0009079056249e-14,-3.9520794088139e-12
42,0,0,42,1.7343569732651e-10,1.6017550932904e-08,-9.0647384358685e-15,-3.9431378544587e-12
43,0,0,43,1.7737213075073e-10,1.6064008389133e-08,-7.593358450743e-15,-3.9274962686764e-12
44,0,0,44,1.8129962701941e-10,1.6105960645766e-08,-7.593358450743e-15,-3.9274962686764e-12
45,0,0,45,1.8521818861541e-10,1.6143776636632e-08,-6.8446943467534e-15,-3.9185615960035e-12
46,0,0,46,1.8912781800296e-10,1.6177803948542e-08,-6.1589434555514e-15,-3.9096293875436e-12
47,0,0,47,1.9302851763294e-10,1.6208365716213e-08,-5.5316799486122e-15,-3.9006996299831e-12
48,0,0,48,1.9692028991175e-10,1.6235761833457e-08,-4.9586972211081e-15,-3.8917722788072e-12
49,0,0,49,2.0080313725326e-10,1.6260270156085e-08,-4.4360063956436e-15,-3.8828473415155e-12
50,0,0,50,2.0467706204288e-10,1.6282147713258e-08,-3.9598378483203e-15,-3.8739247896186e-12
51,0,0,51,2.0854206664795e-10,1.6301631873003e-08,-3.5266329138027e-15,-3.8650046050657e-12
52,0,0,52,2.1239815341843e-10,1.6318941490395e-08,-3.1330407480174e-15,-3.8560867704849e-12
