x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-4.4249847678237e-13,-6.6528160673311e-13,0,3.7e-11,1,0.000181,2.25925e-15,1,-nan
1,0,0,1,6.6443439314074e-13,2.4770631608159e-09,-4.4080445886805e-13,-6.635871834169e-13,0,3.7e-11,1,0.000181,2.25924855408e-15,-32.266083475147,-nan
2,0,0,2,1.3266096082225e-12,4.9046506476338e-09,-4.3854681695355e-13,-6.6132805504148e-13,0,3.7e-11,1,0.000181,2.25924421632e-15,-65.53200552498,-nan
3,0,0,3,1.9865258278033e-12,7.3197694416792e-09,-4.362904836089e-13,-6.5906915420311e-13,0,3.7e-11,1,0.000181,2.25923698672e-15,-98.797604727398,-nan
4,0,0,4,2.6441833537565e-12,9.7224271831734e-09,-4.3403557753987e-13,-6.5681059965159e-13,0,3.7e-11,1,0.000181,2.25922686528e-15,-132.06271966584,-nan
5,0,0,5,3.2995826057656e-12,1.2112632162916e-08,-4.317822159313e-13,-6.5455250863425e-13,0,3.7e-11,1,0.000181,2.259213852e-15,-165.32718893203,-nan
6,0,0,6,3.9527241198264e-12,1.4490393313906e-08,-4.2953051445433e-13,-6.522949969032e-13,0,3.7e-11,1,0.000181,2.25919794688e-15,-198.59085112877,-nan
7,0,0,7,4.6036085467562e-12,1.6855720203006e-08,-4.272805872738e-13,-6.5003817872264e-13,0,3.7e-11,1,0.000181,2.25917914992e-15,-231.85354487266,-nan
8,0,0,8,5.2522366507108e-12,1.9208623022643e-08,-4.2503254705571e-13,-6.4778216687633e-13,0,3.7e-11,1,0.000181,2.25915746112e-15,-265.11510879684,-nan
9,0,0,9,5.8986093077085e-12,2.1549112582558e-08,-4.227865049748e-13,-6.4552707267514e-13,0,3.7e-11,1,0.000181,2.25913288048e-15,-298.37538155376,-nan
10,0,0,10,6.542727504162e-12,2.3877200301588e-08,-4.205425707223e-13,-6.4327300596472e-13,0,3.7e-11,1,0.000181,2.259105408e-15,-331.63420181791,-nan
11,0,0,11,7.1845923354184e-12,2.6192898199503e-08,-4.1830085251369e-13,-6.4102007513326e-13,0,3.7e-11,1,0.000181,2.25907504368e-15,-364.89140828855,-nan
12,0,0,12,7.8242050043062e-12,2.8496218888874e-08,-4.1606145709666e-13,-6.3876838711938e-13,0,3.7e-11,1,0.000181,2.25904178752e-15,-398.1468396924,-nan
13,0,0,13,8.4615668196909e-12,3.0787175566996e-08,-4.1382448975906e-13,-6.3651804742012e-13,0,3.7e-11,1,0.000181,2.25900563952e-15,-431.40033478642,-nan
14,0,0,14,9.0966791950385e-12,3.3065782007846e-08,-4.1159005433706e-13,-6.3426916009896e-13,0,3.7e-11,1,0.000181,2.25896659968e-15,-464.65173236051,-nan
