x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-3.7412234069026e-11,-1.2475471304802e-12,0,3.7e-11,1,0.000181,1.2197909109621e-13,1,4.3037883693406e-07
1,0,0,1,1.2475471304802e-12,2.0673442579572e-07,-3.7412234069026e-11,-1.2475471304802e-12,0,3.7e-11,1,0.000181,1.2246773966001e-13,5401.1324381881,70308933614119
2,0,0,2,2.3737063351085e-12,4.127273911244e-07,-3.7284726724491e-11,-1.1261592046283e-12,0,3.7e-11,1,0.000181,1.2295785391886e-13,10800.35112116,2.9978694391719e+15
3,0,0,3,3.3806045245964e-12,6.1802753347234e-07,-3.7159325764976e-11,-1.0068981894878e-12,0,3.7e-11,1,0.000181,1.234494358097e-13,16198.652984007,2.6925118048908e+16
4,0,0,4,4.2717915495499e-12,8.2265435146607e-07,-3.7037454056865e-11,-8.9118702495355e-13,0,3.7e-11,1,0.000181,1.2394248725956e-13,21596.034950845,1.2779780382637e+17
5,0,0,5,5.051974639908e-12,1.0266337376872e-06,-3.6920268906025e-11,-7.8018309035813e-13,0,3.7e-11,1,0.000181,1.2443701018553e-13,26992.493934818,4.2767563044475e+17
6,0,0,6,5.7267698172222e-12,1.22999660526e-06,-3.6808679030682e-11,-6.7479517731419e-13,0,3.7e-11,1,0.000181,1.2493300649463e-13,32388.026838113,1.1473681874485e+18
7,0,0,7,6.3024733767247e-12,1.4327776253221e-06,-3.6703364631228e-11,-5.7570355950244e-13,0,3.7e-11,1,0.000181,1.2543047808379e-13,37782.630551974,2.6426488133391e+18
8,0,0,8,6.7858554498043e-12,1.6350140864858e-06,-3.6604799470633e-11,-4.8338207307966e-13,0,3.7e-11,1,0.000181,1.2592942683973e-13,43176.301956715,5.4435666310458e+18
9,0,0,9,7.1839767176369e-12,1.8367448822073e-06,-3.6513274025599e-11,-3.981212678326e-13,0,3.7e-11,1,0.000181,1.2642985463896e-13,48569.037921739,1.0296513509343e+19
10,0,0,10,7.5040285544222e-12,2.0380096276004e-06,-3.642891891615e-11,-3.200518367853e-13,0,3.7e-11,1,0.000181,1.2693176334763e-13,53960.835305548,1.8208784218411e+19
11,0,0,11,7.7531962294588e-12,2.2388479036471e-06,-3.6351727964456e-11,-2.4916767503658e-13,0,3.7e-11,1,0.000181,1.2743515482152e-13,59351.690955752,3.0495421454764e+19
12,0,0,12,7.9385442825093e-12,2.4392986239129e-06,-3.6281580368096e-11,-1.8534805305046e-13,0,3.7e-11,1,0.000181,1.2794003090593e-13,64741.601709082,4.8828174676299e+19
13,0,0,13,8.0669227951692e-12,2.6393995167087e-06,-3.6218261596038e-11,-1.2837851265994e-13,0,3.7e-11,1,0.000181,1.2844639343562e-13,70130.564391384,7.5286428914941e+19
14,0,0,14,8.1448929991546e-12,2.8391867140873e-06,-3.6161482725526e-11,-7.7970203985414e-14,0,3.7e-11,1,0.000181,1.2895424423477e-13,75518.575817626,1.124099803407e+20
15,0,0,15,8.1786704766711e-12,3.0386944380328e-06,-3.6110898034138e-11,-3.3777477516459e-14,0,3.7e-11,1,0.000181,1.2946358511685e-13,80905.632791886,1.6325355138894e+20
16,0,0,16,8.1740841043223e-12,3.2379547736311e-06,-3.6066120743295e-11,4.5863723487702e-15,0,3.7e-11,1,0.000181,1.2997441788459e-13,86291.732107347,2.3144295103247e+20
17,0,0,17,8.1365488567665e-12,3.4369975188133e-06,-3.6026736877982e-11,3.7535247555805e-14,0,3.7e-11,1,0.000181,1.3048674432992e-13,91676.870546281,3.2123279614197e+20
18,0,0,18,8.0710506067286e-12,3.6358501003773e-06,-3.5992317263082e-11,6.549825003785e-14,0,3.7e-11,1,0.000181,1.3100056623385e-13,97061.04488003,4.3756571842086e+20
19,0,0,19,7.9821411222506e-12,3.8345375463474e-06,-3.5962427720591e-11,8.8909484478056e-14,0,3.7e-11,1,0.000181,1.3151588536643e-13,102444.25186899,5.8613298854158e+20
20,0,0,20,7.8739415596126e-12,4.0330825052716e-06,-3.5936637565271e-11,1.08199562638e-13,0,3.7e-11,1,0.000181,1.3203270348669e-13,107826.48826259,7.7343649514862e+20
21,0,0,21,7.7501528718488e-12,4.2315053037259e-06,-3.5914526520231e-11,1.2378868776376e-13,0,3.7e-11,1,0.000181,1.3255102234254e-13,113207.75079924,1.0068520215548e+21
22,0,0,22,7.6140716901271e-12,4.4298240340561e-06,-3.5895690189776e-11,1.3608118172171e-13,0,3.7e-11,1,0.000181,1.3307084367072e-13,118588.03620637,1.2946937674073e+21
23,0,0,23,7.4686103816264e-12,4.6280546651937e-06,-3.5879744235897e-11,1.4546130850075e-13,0,3.7e-11,1,0.000181,1.335921691967e-13,123967.3412003,1.6462800664692e+21
24,0,0,24,7.3163201372482e-12,4.8262111702108e-06,-3.5866327408098e-11,1.5229024437812e-13,0,3.7e-11,1,0.000181,1.3411500063465e-13,129345.66248632,2.0720002550502e+21
25,0,0,25,7.1594160909507e-12,5.0243056651004e-06,-3.5855103575016e-11,1.5690404629755e-13,0,3.7e-11,1,0.000181,1.3463933968733e-13,134722.99675858,2.5833826486075e+21
26,0,0,26,6.9998036160823e-12,5.2223485540585e-06,-3.584576290142e-11,1.5961247486838e-13,0,3.7e-11,1,0.000181,1.3516518804605e-13,140099.34070009,3.1931635866842e+21
27,0,0,27,6.8391050800994e-12,5.4203486772993e-06,-3.5838022306592e-11,1.6069853598288e-13,0,3.7e-11,1,0.000181,1.3569254739057e-13,145474.69098269,3.9153575087152e+21
28,0,0,28,6.6786864655005e-12,5.6183134581311e-06,-3.583162533055e-11,1.6041861459894e-13,0,3.7e-11,1,0.000181,1.3622141938904e-13,150849.04426702,4.7653280253417e+21
29,0,0,29,6.5196833804186e-12,5.8162490466599e-06,-3.5826341523711e-11,1.5900308508193e-13,0,3.7e-11,1,0.000181,1.3675180569794e-13,156222.39720248,5.7598599517822e+21
30,0,0,30,6.3630260863318e-12,6.0141604580633e-06,-3.5821965464009e-11,1.5665729408677e-13,0,3.7e-11,1,0.000181,1.3728370796197e-13,161594.74642722,6.9172322715216e+21
31,0,0,31,6.2094632625081e-12,6.2120517038845e-06,-3.5818315493643e-11,1.5356282382373e-13,0,3.7e-11,1,0.000181,1.3781712781403e-13,166966.0885681,8.2572920001432e+21
32,0,0,32,6.0595843071888e-12,6.4099259152426e-06,-3.5815232255819e-11,1.498789553193e-13,0,3.7e-11,1,0.000181,1.3835206687512e-13,172336.42024066,9.801528920545e+21
