x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.2974941030418e-11,-1.6617896782327e-18,0,3.7e-11,1,0.000181,7.317322616528e-20,1,4.3037883693406e-07
1,0,0,1,1.6617896782327e-18,7.1721757074131e-08,-1.2974941030418e-11,-1.6617896782327e-18,0,3.7e-11,1,0.000181,7.5600759239399e-20,1938.425618729,273484745223.52
2,0,0,2,3.2484707985456e-18,1.4340652164547e-07,-1.2974942387413e-11,-1.586681120313e-18,0,3.7e-11,1,0.000181,7.810627564736e-20,3875.8514513005,11655889309171
3,0,0,3,4.7588025204518e-18,2.1509130163789e-07,-1.2974945178629e-11,-1.5103317219062e-18,0,3.7e-11,1,0.000181,8.0692193533236e-20,5813.2777120586,1.0470327898597e+14
4,0,0,4,6.1922377942093e-18,2.8677610497908e-07,-1.2974949404755e-11,-1.4334352737575e-18,0,3.7e-11,1,0.000181,8.3361003134727e-20,7750.7046153466,4.9712021051412e+14
5,0,0,5,7.5488601708576e-18,3.5846093960017e-07,-1.2974955066417e-11,-1.3566223766482e-18,0,3.7e-11,1,0.000181,8.6115268839381e-20,9688.1323755071,1.6642339920006e+15
6,0,0,6,8.8293207782495e-18,4.301458134354e-07,-1.2974962164177e-11,-1.2804606073919e-18,0,3.7e-11,1,0.000181,8.8957631296557e-20,11625.561206882,4.4666103383408e+15
7,0,0,7,1.0034776190898e-17,5.0183073442178e-07,-1.2974970698534e-11,-1.2054554126488e-18,0,3.7e-11,1,0.000181,9.1890809586543e-20,13562.991323812,1.0291959301605e+16
8,0,0,8,1.1166827823796e-17,5.7351571049872e-07,-1.2974980669927e-11,-1.1320516328976e-18,0,3.7e-11,1,0.000181,9.4917603448295e-20,15500.422940636,2.1209512360445e+16
9,0,0,9,1.2227463385637e-17,6.4520074960775e-07,-1.2974992078734e-11,-1.060635561841e-18,0,3.7e-11,1,0.000181,9.8040895567272e-20,17437.856271695,4.0135577100866e+16
10,0,0,10,1.3219000836198e-17,7.1688585969217e-07,-1.2975004925279e-11,-9.91537450561e-19,0,3.7e-11,1,0.000181,1.0126365392492e-19,19375.291531325,7.100928923099e+16
11,0,0,11,1.4144035206867e-17,7.8857104869676e-07,-1.2975019209832e-11,-9.250343706688e-19,0,3.7e-11,1,0.000181,1.0458893421133e-19,21312.728933863,1.1897778663783e+17
12,0,0,12,1.5005388563182e-17,8.6025632456753e-07,-1.2975034932609e-11,-8.613533563158e-19,0,3.7e-11,1,0.000181,1.0801988230271e-19,23250.168693644,1.9059017300746e+17
13,0,0,13,1.5806063314237e-17,9.3194169525142e-07,-1.2975052093784e-11,-8.0067475105451e-19,0,3.7e-11,1,0.000181,1.115597368053e-19,25187.611025003,2.9399974273095e+17
14,0,0,14,1.6549199006237e-17,1.0036271686961e-06,-1.2975070693484e-11,-7.4313569199954e-19,0,3.7e-11,1,0.000181,1.1521183166732e-19,27125.056142272,4.3917401758156e+17
15,0,0,15,1.7238032676621e-17,1.0753127528497e-06,-1.2975090731797e-11,-6.8883367038403e-19,0,3.7e-11,1,0.000181,1.1897959886084e-19,29062.504259781,6.3811220687722e+17
16,0,0,16,1.7875862790924e-17,1.1469984556606e-06,-1.2975112208773e-11,-6.37830114303e-19,0,3.7e-11,1,0.000181,1.2286657113517e-19,30999.955591862,9.0506975153935e+17
17,0,0,17,1.8466016736991e-17,1.2186842850773e-06,-1.2975135124431e-11,-5.9015394606702e-19,0,3.7e-11,1,0.000181,1.268763848436e-19,32937.410352841,1.2567896519314e+18
18,0,0,18,1.9011821810048e-17,1.2903702490483e-06,-1.2975159478759e-11,-5.4580507305744e-19,0,3.7e-11,1,0.000181,1.3101278284538e-19,34874.868757045,1.7127403118732e+18
19,0,0,19,1.9516579587245e-17,1.3620563555219e-06,-1.297518527172e-11,-5.047577771965e-19,0,3.7e-11,1,0.000181,1.3527961748478e-19,36812.331018798,2.2953596583775e+18
20,0,0,20,1.9983543561301e-17,1.433742612446e-06,-1.2975212503254e-11,-4.6696397405624e-19,0,3.7e-11,1,0.000181,1.3968085364914e-19,38749.797352424,3.0303053195984e+18
21,0,0,21,2.0415899879477e-17,1.505429027768e-06,-1.297524117328e-11,-4.3235631817599e-19,0,3.7e-11,1,0.000181,1.4422057190789e-19,40687.267972242,3.9467106630742e+18
22,0,0,22,2.081675101578e-17,1.5771156094348e-06,-1.2975271281701e-11,-4.0085113630345e-19,0,3.7e-11,1,0.000181,1.4890297173463e-19,42624.743092572,5.0774465132326e+18
23,0,0,23,2.1189102190771e-17,1.6488023653929e-06,-1.2975302828406e-11,-3.7235117499045e-19,0,3.7e-11,1,0.000181,1.537323748141e-19,44562.22292773,6.4593883817955e+18
24,0,0,24,2.153585034402e-17,1.7204893035877e-06,-1.2975335813272e-11,-3.4674815324914e-19,0,3.7e-11,1,0.000181,1.5871322843647e-19,46499.707692031,8.1336890575636e+18
25,0,0,25,2.185977545882e-17,1.7921764319644e-06,-1.2975370236168e-11,-3.2392511480009e-19,0,3.7e-11,1,0.000181,1.6385010898084e-19,48437.197599787,1.0146056413375e+19
26,0,0,26,2.2163534036645e-17,1.8638637584669e-06,-1.2975406096953e-11,-3.0375857782464e-19,0,3.7e-11,1,0.000181,1.6914772549023e-19,50374.692865308,1.2547036298062e+19
27,0,0,27,2.2449654519725e-17,1.9355512910386e-06,-1.2975443395485e-11,-2.8612048307998e-19,0,3.7e-11,1,0.000181,1.7461092334039e-19,52312.193702902,1.5392300390158e+19
28,0,0,28,2.2720534463486e-17,2.0072390376221e-06,-1.2975482131616e-11,-2.7087994376167e-19,0,3.7e-11,1,0.000181,1.8024468800467e-19,54249.700326873,1.8742938898131e+19
29,0,0,29,2.2978439266112e-17,2.0789270061591e-06,-1.2975522305195e-11,-2.5790480262624e-19,0,3.7e-11,1,0.000181,1.8605414891724e-19,56187.212951525,2.2665757999097e+19
30,0,0,30,2.3225502269752e-17,2.1506152045905e-06,-1.2975563916073e-11,-2.4706300363952e-19,0,3.7e-11,1,0.000181,1.9204458343721e-19,58124.731791156,2.7233581914495e+19
31,0,0,31,2.3463726056573e-17,2.2223036408562e-06,-1.2975606964102e-11,-2.382237868212e-19,0,3.7e-11,1,0.000181,1.9822142091602e-19,60062.257060064,3.2525559527087e+19
32,0,0,32,2.3694984772615e-17,2.2939923228956e-06,-1.2975651449133e-11,-2.3125871604196e-19,0,3.7e-11,1,0.000181,2.0459024687067e-19,61999.788972543,3.8627475449041e+19
