x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-2.63610699006e-13,-4.2256813776147e-17,0,3.7e-11,1,0.000181,7.317322616528e-20,1,4.3037883693406e-07
1,0,0,1,4.2256813776147e-17,1.4934127016906e-09,-2.63610699006e-13,-4.2256813776147e-17,0,3.7e-11,1,0.000181,7.5600759239399e-20,40.356195638677,214.09647645635
2,0,0,2,8.4438284691643e-17,2.9498879364085e-09,-2.6362201748393e-13,-4.2181470915497e-17,0,3.7e-11,1,0.000181,7.810627564736e-20,79.714092609413,8541.954086121
3,0,0,3,1.2654259080365e-16,4.406488663156e-09,-2.636447315413e-13,-4.2104306112011e-17,0,3.7e-11,1,0.000181,8.0692193533236e-20,119.07539277892,75059.003971087
4,0,0,4,1.6856827931759e-16,5.8632778454029e-09,-2.6367884198669e-13,-4.2025688513938e-17,0,3.7e-11,1,0.000181,8.3361003134727e-20,158.44179807953,352516.6298756
5,0,0,5,2.105142629266e-16,7.3203184522901e-09,-2.6372434984658e-13,-4.1945983609009e-17,0,3.7e-11,1,0.000181,8.6115268839381e-20,197.81501054227,1172664.9728159
6,0,0,6,2.5237981609418e-16,8.7776734598333e-09,-2.6378125636533e-13,-4.1865553167582e-17,0,3.7e-11,1,0.000181,8.8957631296557e-20,237.19673232996,3134590.6147149
7,0,0,7,2.9416457128731e-16,1.0235405852126e-08,-2.6384956300506e-13,-4.1784755193131e-17,0,3.7e-11,1,0.000181,9.1890809586543e-20,276.58866577029,7203303.8376262
8,0,0,8,3.3586851516722e-16,1.1693578622544e-08,-2.6392927144557e-13,-4.1703943879909e-17,0,3.7e-11,1,0.000181,9.4917603448295e-20,315.99251338888,14817522.359291
9,0,0,9,3.7749198474483e-16,1.3152254774943e-08,-2.640203835843e-13,-4.162346957761e-17,0,3.7e-11,1,0.000181,9.8040895567272e-20,355.40997794237,28005970.198455
10,0,0,10,4.1903566350767e-16,1.4611497324867e-08,-2.6412290153625e-13,-4.1543678762843e-17,0,3.7e-11,1,0.000181,1.0126365392492e-19,394.84276245147,49511737.929506
11,0,0,11,4.6050057752493e-16,1.6071369300745e-08,-2.6423682763388e-13,-4.1464914017255e-17,0,3.7e-11,1,0.000181,1.0458893421133e-19,434.29257023404,82924404.08978
12,0,0,12,5.0188809153705e-16,1.7531933745094e-08,-2.6436216442711e-13,-4.1387514012119e-17,0,3.7e-11,1,0.000181,1.0801988230271e-19,473.7611049381,132819728.27011
13,0,0,13,5.4319990503626e-16,1.8993253715719e-08,-2.644989146832e-13,-4.1311813499214e-17,0,3.7e-11,1,0.000181,1.115597368053e-19,513.25007057491,204906810.53421
14,0,0,14,5.8443804834409e-16,2.0455392286917e-08,-2.6464708138672e-13,-4.1238143307824e-17,0,3.7e-11,1,0.000181,1.1521183166732e-19,552.76117155197,306182678.33265
15,0,0,15,6.2560487869176e-16,2.1918412550671e-08,-2.6480666773948e-13,-4.1166830347675e-17,0,3.7e-11,1,0.000181,1.1897959886084e-19,592.29611270609,445094316.47125
16,0,0,16,6.6670307630942e-16,2.3382377617856e-08,-2.6497767716046e-13,-4.1098197617657e-17,0,3.7e-11,1,0.000181,1.2286657113517e-19,631.85659933635,631708201.44726
17,0,0,17,7.0773564052955e-16,2.4847350619434e-08,-2.6516011328578e-13,-4.1032564220131e-17,0,3.7e-11,1,0.000181,1.268763848436e-19,671.44433723714,877887440.90223
18,0,0,18,7.4870588591023e-16,2.6313394707659e-08,-2.6535397996862e-13,-4.097024538068e-17,0,3.7e-11,1,0.000181,1.3101278284538e-19,711.06103273113,1197476653.6618
19,0,0,19,7.8961743838334e-16,2.7780573057267e-08,-2.6555928127916e-13,-4.0911552473115e-17,0,3.7e-11,1,0.000181,1.3527961748478e-19,750.70839270226,1606494756.983
20,0,0,20,8.3047423143293e-16,2.9248948866685e-08,-2.6577602150453e-13,-4.0856793049585e-17,0,3.7e-11,1,0.000181,1.3968085364914e-19,790.38812462872,2123335856.046
21,0,0,21,8.7128050230854e-16,3.071858535922e-08,-2.6600420514878e-13,-4.0806270875611e-17,0,3.7e-11,1,0.000181,1.4422057190789e-19,830.10193661586,2768978457.0332
22,0,0,22,9.1204078827844e-16,3.2189545784263e-08,-2.6624383693279e-13,-4.0760285969898e-17,0,3.7e-11,1,0.000181,1.4890297173463e-19,869.85153742918,3567203249.8207
23,0,0,23,9.5275992292719e-16,3.3661893418485e-08,-2.6649492179421e-13,-4.0719134648747e-17,0,3.7e-11,1,0.000181,1.537323748141e-19,909.63863652722,4544819729.7289
24,0,0,24,9.9344303250211e-16,3.5135691567034e-08,-2.6675746488744e-13,-4.0683109574928e-17,0,3.7e-11,1,0.000181,1.5871322843647e-19,949.46494409447,5731901950.2501
25,0,0,25,1.034095532313e-15,3.6611003564733e-08,-2.6703147158355e-13,-4.0652499810839e-17,0,3.7e-11,1,0.000181,1.6385010898084e-19,989.33217107427,7162033720.4146
26,0,0,26,1.0747231231888e-15,3.8087892777276e-08,-2.6731694747021e-13,-4.0627590875806e-17,0,3.7e-11,1,0.000181,1.6914772549023e-19,1029.2420292017,8872563581.6889
27,0,0,27,1.1153317879961e-15,3.9566422602423e-08,-2.6761389835168e-13,-4.0608664807377e-17,0,3.7e-11,1,0.000181,1.7461092334039e-19,1069.1962310364,10904869920.163
28,0,0,28,1.1559277882226e-15,4.1046656471201e-08,-2.6792233024868e-13,-4.0596000226446e-17,0,3.7e-11,1,0.000181,1.8024468800467e-19,1109.1964899954,13304636590.428
29,0,0,29,1.1965176606287e-15,4.2528657849092e-08,-2.6824224939841e-13,-4.0589872406081e-17,0,3.7e-11,1,0.000181,1.8605414891724e-19,1149.244520386,16122139448.094
30,0,0,30,1.2371082139726e-15,4.4012490237238e-08,-2.6857366225443e-13,-4.0590553343889e-17,0,3.7e-11,1,0.000181,1.9204458343721e-19,1189.3420374386,19412544208.417
31,0,0,31,1.2777065258103e-15,4.5498217173629e-08,-2.6891657548663e-13,-4.0598311837795e-17,0,3.7e-11,1,0.000181,1.9822142091602e-19,1229.4907573393,23236216069.148
32,0,0,32,1.3183199393754e-15,4.6985902234298e-08,-2.6927099598113e-13,-4.061341356509e-17,0,3.7e-11,1,0.000181,2.0459024687067e-19,1269.6923972627,27659041556.493
33,0,0,33,1.35895606054e-15,4.847560903452e-08,-2.6963693084028e-13,-4.06361211646e-17,0,3.7e-11,1,0.000181,2.1115680726525e-19,1309.9486754051,32752763074.084
34,0,0,34,1.3996227548619e-15,4.9967401230004e-08,-2.7001438738254e-13,-4.0666694321872e-17,0,3.7e-11,1,0.000181,2.1792701290364e-19,1350.2613110163,38595326656.206
35,0,0,35,1.4403281447191e-15,5.1461342518084e-08,-2.704033731424e-13,-4.070538985721e-17,0,3.7e-11,1,0.000181,2.2490694393578e-19,1390.6320244331,45271243448.191
36,0,0,36,1.4810806065356e-15,5.2957496638914e-08,-2.7080389587039e-13,-4.0752461816459e-17,0,3.7e-11,1,0.000181,2.3210285448051e-19,1431.0625371117,52871965458.977
37,0,0,37,1.5218887681e-15,5.4455927376665e-08,-2.7121596353291e-13,-4.080816156441e-17,0,3.7e-11,1,0.000181,2.3952117736764e-19,1471.5545716602,61496276153.404
38,0,0,38,1.5627615059807e-15,5.5956698560711e-08,-2.7163958431222e-13,-4.0872737880686e-17,0,3.7e-11,1,0.000181,2.4716852900222e-19,1512.1098518714,71250696474.871
39,0,0,39,1.6037079430387e-15,5.7459874066823e-08,-2.7207476660634e-13,-4.0946437058014e-17,0,3.7e-11,1,0.000181,2.5505171435387e-19,1552.7301027553,82249906912.629
40,0,0,40,1.6447374460414e-15,5.8965517818364e-08,-2.7252151902897e-13,-4.1029503002744e-17,0,3.7e-11,1,0.000181,2.6317773207425e-19,1593.4170505716,94617186252.201
41,0,0,41,1.685859623379e-15,6.0473693787477e-08,-2.7297985040944e-13,-4.1122177337524e-17,0,3.7e-11,1,0.000181,2.7155377974567e-19,1634.1724228625,108484867672.29
42,0,0,42,1.727084322885e-15,6.1984465996276e-08,-2.7344976979255e-13,-4.1224699506e-17,0,3.7e-11,1,0.000181,2.8018725926407e-19,1674.9979484849,123994812877.18
43,0,0,43,1.7684216297644e-15,6.3497898518036e-08,-2.7393128643857e-13,-4.1337306879447e-17,0,3.7e-11,1,0.000181,2.8908578235947e-19,1715.8953576429,141298904979.74
44,0,0,44,1.8098818646296e-15,6.5014055478385e-08,-2.7442440982312e-13,-4.146023486522e-17,0,3.7e-11,1,0.000181,2.9825717625725e-19,1756.8663819207,160559560877.59
45,0,0,45,1.8514755816466e-15,6.653300105649e-08,-2.7492914963702e-13,-4.1593717016933e-17,0,3.7e-11,1,0.000181,3.077094894836e-19,1797.9127543143,181950263892.27
46,0,0,46,1.8932135667928e-15,6.8054799486248e-08,-2.7544551578629e-13,-4.1737985146243e-17,0,3.7e-11,1,0.000181,3.174509978185e-19,1839.0362092645,205656117470.79
47,0,0,47,1.935106836229e-15,6.9579515057475e-08,-2.7597351839199e-13,-4.1893269436179e-17,0,3.7e-11,1,0.000181,3.274902103998e-19,1880.2384826888,231874420777.65
48,0,0,48,1.9771666347849e-15,7.1107212117089e-08,-2.7651316779011e-13,-4.2059798555891e-17,0,3.7e-11,1,0.000181,3.3783587598194e-19,1921.5213120141,260815267036.82
49,0,0,49,2.0194044345616e-15,7.2637955070301e-08,-2.7706447453151e-13,-4.2237799776746e-17,0,3.7e-11,1,0.000181,3.4849698935301e-19,1962.8864362087,292702165514.17
50,0,0,50,2.0618319336513e-15,7.4171808381803e-08,-2.7762744938178e-13,-4.2427499089679e-17,0,3.7e-11,1,0.000181,3.5948279791371e-19,2004.3355958149,327772688063.5
51,0,0,51,2.104461054975e-15,7.5708836576947e-08,-2.7820210332111e-13,-4.2629121323715e-17,0,3.7e-11,1,0.000181,3.7080280842233e-19,2045.8705329808,366279141193.06
52,0,0,52,2.1473039452406e-15,7.7249104242937e-08,-2.7878844754424e-13,-4.284289026558e-17,0,3.7e-11,1,0.000181,3.8246679390926e-19,2087.4929914927,408489264644.11
