time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,3.8950932328265e-12,4.1091248768752e-11,-1.358173402832e-12,-1.4525944004899e-15,2.0756049173503e-18,-1.0229596845148e-16,1.9475466164132e-08,2.0545624384376e-07,1,0.00018099999999999
186.68799962237,2.7949129020521e-11,6.6443817927584e-11,-3.870368471664e-12,-1.1019969361914e-14,8.1701565700797e-19,-1.0306115795443e-16,1.3974564510261e-07,3.3221908963792e-07,1,0.00018099999999999
1181.8815689988,1.7573476685901e-10,2.2320291341904e-10,-1.0312392142992e-11,-6.0566794953977e-14,3.2663156270131e-19,-8.7439390276634e-17,8.7867383429507e-07,1.1160145670952e-06,1,0.00018099999999999
7343.8578398454,1.0310967609824e-09,1.1494061866712e-09,-2.7338134113524e-11,-2.4245495283379e-13,1.2777852295854e-19,-1.9329146786223e-17,5.1554838049118e-06,5.7470309333558e-06,1,0.00018099999999999
45497.190750011,2.8818629713314e-09,3.6295587631121e-09,-5.1185886235276e-11,-7.4451748538691e-13,5.194032475643e-20,-3.3136498323117e-18,1.4409314856657e-05,1.814779381556e-05,1,0.00018099999999999
281732.57176583,2.4289391408318e-09,6.6801080105755e-09,-2.8691251489033e-11,-1.880427820892e-12,1.7773899451919e-16,-1.0959020351445e-18,1.2144695704159e-05,3.3400540052877e-05,1,0.00018099999999999
1744439.784661,1.4933848165938e-09,2.1169517454154e-08,-1.2718047023358e-11,-3.654735979799e-12,5.70612232557e-13,-8.4004137802332e-18,7.4669240829688e-06,0.00010584758727077,1,0.00018099999999999
10801137.310052,2.8663896758688e-10,9.5747469324485e-08,-7.1217912088026e-12,-5.5416573965599e-12,1.402293268587e-13,-6.356973349222e-17,1.4331948379344e-06,0.00047873734662242,1,0.00018099999999999
66877821.244672,2.8082354191875e-11,5.1020355271246e-07,-5.5158157469088e-12,-7.1793982646528e-12,4.7262182586531e-15,-3.8428259266045e-17,1.4041177095938e-07,0.0025510177635623,1,0.00018099999999999
414089867.61007,4.6437153435939e-12,2.8417449907397e-06,-4.4276675130222e-12,-1.0143798289527e-11,-7.7340321507566e-22,-1.3973792134687e-17,2.3218576717969e-08,0.014208724953698,1,0.00018099999999999
2563935341.3868,1.3742398642362e-12,1.3481001294326e-05,-3.2389007885841e-12,-2.0329328388017e-11,-4.6932283936087e-37,1.5715198808019e-15,6.8711993211808e-09,0.06740500647163,1,0.00018099999999999
15875211863.902,7.900907505547e-13,4.3110223693399e-05,-2.7681077441798e-12,-3.0417686679606e-11,5.4340735593688e-67,2.1327875581691e-12,3.9504537527735e-09,0.21555111846699,1,0.00018099999999999
98295127536.995,7.0794172201919e-13,5.8376707604145e-05,-2.6809741160631e-12,-3.3101021646841e-11,-1.9078158373056e-105,4.8141454549739e-12,3.539708610096e-09,0.29188353802073,1,0.00018099999999999
608617521341.22,7.0815757945773e-13,5.8331029439554e-05,-2.6812159931772e-12,-3.3093098744508e-11,2.9117944637807e-148,4.8059902136844e-12,3.5407878972886e-09,0.29165514719777,1,0.00018099999999999
