x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-2.4245495283379e-13,-2.7338134113524e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,1,-nan
1,0,0,1,2.7338134113524e-11,1.3765301261535e-09,-2.4245495283379e-13,-2.7338134113524e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-4044.9428342079,-nan
2,0,0,2,5.4421308203698e-11,1.8707444491146e-09,-8.9452792455947e-14,-2.7083174090175e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-8075.6612600282,-nan
3,0,0,3,8.1251684194321e-11,1.9989222389298e-09,-2.3200179956561e-14,-2.6830375990622e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-12078.524603416,-nan
4,0,0,4,1.0783142171077e-10,2.0169942983928e-09,-3.2710427627999e-15,-2.657973751645e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-16046.938292185,-nan
5,0,0,5,1.341626602249e-10,2.0164230018209e-09,1.0340467951177e-16,-2.6331238514125e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-19978.749837474,-nan
6,0,0,6,1.602475291563e-10,2.01545304945e-09,1.7556137912445e-16,-2.6084868931405e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-23873.784105473,-nan
7,0,0,7,1.8608815427286e-10,2.0147637536074e-09,1.2476254751821e-16,-2.584062511656e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-27732.340157303,-nan
8,0,0,8,2.1168665885536e-10,2.01405589795e-09,1.2812187398713e-16,-2.5598504582497e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-31554.743129435,-nan
9,0,0,9,2.3704516358967e-10,2.0134204977247e-09,1.1500744078025e-16,-2.5358504734314e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-35341.307224068,-nan
10,0,0,10,2.6216578651915e-10,2.0129176858405e-09,9.1008951042901e-17,-2.5120622929482e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-39092.347083473,-nan
11,0,0,11,2.8705064303071e-10,2.01252891655e-09,7.0367241586532e-17,-2.4884856511557e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-42808.17907971,-nan
12,0,0,12,3.1170184579066e-10,2.0121897122152e-09,6.1395984585636e-17,-2.465120275995e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-46489.120420001,-nan
13,0,0,13,3.3612150462297e-10,2.0118216068981e-09,6.6627062408332e-17,-2.4419658832314e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-50135.488265212,-nan
14,0,0,14,3.6031172634909e-10,2.0113648464993e-09,8.2673632176093e-17,-2.4190221726119e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-53747.598822141,-nan
15,0,0,15,3.8427461462428e-10,2.010800317888e-09,1.0217967863965e-16,-2.3962888275189e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-57325.766726406,-nan
16,0,0,16,4.0801226980773e-10,2.0101541146604e-09,1.1696278420976e-16,-2.3737655183444e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-60870.304899652,-nan
17,0,0,17,4.3152678889552e-10,2.0095067736424e-09,1.1716872424949e-16,-2.3514519087792e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-64381.524289904,-nan
18,0,0,18,4.5482026556732e-10,2.009066547624e-09,7.968090933558e-17,-2.3293476671798e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-67859.731898193,-nan
19,0,0,19,4.7789479051954e-10,2.0093842230329e-09,-5.749924901549e-17,-2.3074524952227e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-71305.225022424,-nan
20,0,0,20,5.0075245253705e-10,2.0117429451988e-09,-4.2692871202104e-16,-2.2857662017503e-11,0,3.7e-11,1,0.000181,2.570339014688e-13,-74718.280881584,-nan
21,0,0,21,5.2339515099269e-10,2.0175208026571e-09,-1.0457921999601e-15,-2.264269845564e-11,0,3.7e-11,1,0.000181,2.5817273943156e-13,-78099.145845514,-nan
22,0,0,22,5.4582402832314e-10,2.0251662808231e-09,-1.3838315480531e-15,-2.2428877330458e-11,0,3.7e-11,1,0.000181,2.5931271737225e-13,-81448.032436362,-nan
23,0,0,23,5.6804003744044e-10,2.0333674144871e-09,-1.4844051931688e-15,-2.2216009117293e-11,0,3.7e-11,1,0.000181,2.6045269531294e-13,-84765.118402033,-nan
24,0,0,24,5.9004412996418e-10,2.0416753718576e-09,-1.5037402840633e-15,-2.2004092523743e-11,0,3.7e-11,1,0.000181,2.6159267325364e-13,-88050.55796952,-nan
25,0,0,25,6.1183725532655e-10,2.0499876871633e-09,-1.5045290703398e-15,-2.1793125362369e-11,0,3.7e-11,1,0.000181,2.6273265119433e-13,-91304.495677941,-nan
26,0,0,26,6.3342036037706e-10,2.058276213406e-09,-1.5002232499312e-15,-2.1583105050509e-11,0,3.7e-11,1,0.000181,2.6387262913503e-13,-94527.073672156,-nan
27,0,0,27,6.5479438919997e-10,2.0665449684953e-09,-1.4966446711658e-15,-2.137402882291e-11,0,3.7e-11,1,0.000181,2.6501260707572e-13,-97718.432814793,-nan
28,0,0,28,6.759602830123e-10,2.0748233336408e-09,-1.4983840913199e-15,-2.1165893812335e-11,0,3.7e-11,1,0.000181,2.6615258501641e-13,-100878.71285485,-nan
29,0,0,29,6.9691898011249e-10,2.0831263383121e-09,-1.5028438455153e-15,-2.0958697100186e-11,0,3.7e-11,1,0.000181,2.6729256295711e-13,-104008.05349339,-nan
30,0,0,30,7.176714158113e-10,2.0914421688318e-09,-1.5051653240669e-15,-2.0752435698813e-11,0,3.7e-11,1,0.000181,2.684325408978e-13,-107106.59471088,-nan
31,0,0,31,7.3821852231395e-10,2.0997586893975e-09,-1.5052902223899e-15,-2.0547106502652e-11,0,3.7e-11,1,0.000181,2.695725188385e-13,-110174.47603273,-nan
32,0,0,32,7.5856122859513e-10,2.1080792681928e-09,-1.5060247619532e-15,-2.0342706281181e-11,0,3.7e-11,1,0.000181,2.7071249677919e-13,-113211.83608296,-nan
33,0,0,33,7.7870046030161e-10,2.1164096533226e-09,-1.5077997084906e-15,-2.0139231706478e-11,0,3.7e-11,1,0.000181,2.7185247471988e-13,-116218.81292435,-nan
34,0,0,34,7.9863713966146e-10,2.1247426206776e-09,-1.508267091259e-15,-1.9936679359851e-11,0,3.7e-11,1,0.000181,2.7299245266058e-13,-119195.54445978,-nan
35,0,0,35,8.1837218536454e-10,2.1330583551227e-09,-1.5051479345576e-15,-1.9735045703077e-11,0,3.7e-11,1,0.000181,2.7413243060127e-13,-122142.1684041,-nan
36,0,0,36,8.3790651240857e-10,2.1413342346028e-09,-1.4979341858951e-15,-1.9534327044029e-11,0,3.7e-11,1,0.000181,2.7527240854197e-13,-125058.82199673,-nan
37,0,0,37,8.5724103192901e-10,2.149548297832e-09,-1.4867454444932e-15,-1.9334519520441e-11,0,3.7e-11,1,0.000181,2.7641238648266e-13,-127945.6418825,-nan
38,0,0,38,8.7637665099789e-10,2.1576303418049e-09,-1.4628499590807e-15,-1.9135619068876e-11,0,3.7e-11,1,0.000181,2.7755236442335e-13,-130802.76540332,-nan
39,0,0,39,8.9531427218905e-10,2.1652830881737e-09,-1.3851470927635e-15,-1.893762119116e-11,0,3.7e-11,1,0.000181,2.7869234236405e-13,-133630.3353666,-nan
40,0,0,40,9.1405479228607e-10,2.1716538249234e-09,-1.1531033517015e-15,-1.8740520097018e-11,0,3.7e-11,1,0.000181,2.7983232030474e-13,-136428.50872686,-nan
41,0,0,41,9.3259923013649e-10,2.1757475796337e-09,-7.4096960255814e-16,-1.8544437850423e-11,0,3.7e-11,1,0.000181,2.8018816261353e-13,-139197.46451016,-nan
