time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.344271988053e-14,3.7021081005792e-11,-4.7770268846416e-15,1.4137344151517e-16,4.7771211908114e-15,-9.6671997544768e-17,1.1721359940265e-10,1.8510540502896e-07,1,0.00018099999999999
186.68799962237,1.6803402126104e-13,3.717358229061e-11,-1.3509823922781e-14,9.8968867676484e-17,1.350980518826e-14,-6.3830353282899e-17,8.4017010630518e-10,1.8586791145305e-07,1,0.00018099999999999
1181.8815689988,1.0569366059591e-12,3.8117697965698e-11,-3.4653511314872e-14,-1.1693660624945e-16,3.4653511882171e-14,1.2584836174943e-16,5.2846830297957e-09,1.9058848982849e-07,1,0.00018099999999999
7343.8578398454,6.4610829753608e-12,4.3958955994828e-11,-8.7011843144567e-14,-8.2219347158756e-16,8.7011860167427e-14,8.3351695136281e-16,3.2305414876804e-08,2.1979477997414e-07,1,0.00018099999999999
45497.190750011,3.8233372048448e-11,7.9916859664308e-11,-2.1639255155172e-13,-2.6347042318694e-15,2.1639325030056e-13,2.6369465991937e-15,1.9116686024224e-07,3.9958429832154e-07,1,0.00018099999999999
281732.57176583,1.9218164842591e-10,2.8177147030985e-10,-5.0139310842558e-13,-7.1856031938124e-15,5.0139456439514e-13,7.186350335508e-15,9.6090824212956e-07,1.4088573515492e-06,1,0.00018099999999999
1744439.784661,2.8516757679979e-10,7.8673954250102e-10,-5.185225134802e-13,-1.8172052351172e-14,5.1852284595456e-13,1.817193270822e-14,1.4258378839989e-06,3.9336977125051e-06,1,0.00018099999999999
10801137.310052,1.2061527467985e-10,2.2170595330429e-09,-2.5325310634576e-13,-4.0201613425516e-14,2.5325321563873e-13,4.020159567904e-14,6.0307637339925e-07,1.1085297665215e-05,1,0.00018099999999999
66877821.244672,3.6958987977953e-11,7.2025134122672e-09,-1.2862979403519e-13,-6.7795448526548e-14,1.2862979568471e-13,6.7795447480426e-14,1.8479493988976e-07,3.6012567061336e-05,1,0.00018099999999999
414089867.61007,9.4145914509232e-12,2.5439186270763e-08,-8.977547415324e-14,-9.1310577987777e-14,8.9775474163318e-14,9.131057797713e-14,4.7072957254616e-08,0.00012719593135382,1,0.00018099999999999
2563935341.3868,2.4428226494447e-12,1.0195646521416e-07,-7.6285406243823e-14,-1.1105020766874e-13,7.6285406244139e-14,1.1105020766808e-13,1.2214113247224e-08,0.00050978232607078,1,0.00018099999999999
15875211863.902,9.1664807481101e-13,3.4589421068603e-07,-6.4958392522771e-14,-1.458243457303e-13,6.4958392522766e-14,1.4582434573032e-13,4.5832403740551e-09,0.0017294710534302,1,0.00018099999999999
98295127536.995,7.1226452661826e-13,4.7265941658391e-07,-6.1166985787526e-14,-1.6479042743789e-13,6.1166985787526e-14,1.6479042743789e-13,3.5613226330913e-09,0.0023632970829195,1,0.00018099999999999
608617521341.22,7.1272968363025e-13,4.7228200331873e-07,-6.1177096177628e-14,-1.6473283382383e-13,6.1177096177628e-14,1.6473283382383e-13,3.5636484181513e-09,0.0023614100165937,1,0.00018099999999999
