x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,-3.3893100930968e-318,3.7e-11,-1.1693660624945e-16,-3.4653511314872e-14,0,3.7e-11,1,0.000181,1.0453318023611e-22,1,-nan
1,0,0,1,3.4653511314872e-14,3.7646058598063e-11,-1.1693660624945e-16,-3.4653511314872e-14,0,3.7e-11,1,0.000181,1.0800108462771e-22,-4.1570217572977,-nan
2,0,0,2,6.8418040632666e-14,3.7704140451139e-11,-1.0512815406627e-17,-3.3764529317794e-14,0,3.7e-11,1,0.000181,1.1158039378194e-22,-9.1971914605062,-nan
3,0,0,3,1.0130829995669e-13,3.7904840196508e-11,-3.632665391184e-17,-3.2890259324026e-14,0,3.7e-11,1,0.000181,1.1527456219034e-22,-14.102960113652,-nan
4,0,0,4,1.3333898938576e-13,3.8049586346816e-11,-2.6199053205719e-17,-3.2030689429063e-14,0,3.7e-11,1,0.000181,1.1908714733532e-22,-18.881889541135,-nan
5,0,0,5,1.6452479124711e-13,3.8444017878662e-11,-7.1392107264203e-17,-3.1185801861354e-14,0,3.7e-11,1,0.000181,1.2302181262769e-22,-23.527911603863,-nan
6,0,0,6,1.9488036426182e-13,3.8263442136288e-11,3.2684209369728e-17,-3.0355573014707e-14,0,3.7e-11,1,0.000181,1.2708233042365e-22,-28.065504141429,-nan
7,0,0,7,2.2442033742151e-13,3.7883780178838e-11,6.8718814298484e-17,-2.9539973159696e-14,0,3.7e-11,1,0.000181,1.3127258512363e-22,-32.486691534888,-nan
8,0,0,8,2.5315930422511e-13,3.7711281679175e-11,3.1222228438971e-17,-2.8738966803599e-14,0,3.7e-11,1,0.000181,1.3559657635471e-22,-36.782673173239,-nan
9,0,0,9,2.8111181710706e-13,3.7402509224718e-11,5.5887814256756e-17,-2.7952512881953e-14,0,3.7e-11,1,0.000181,1.4005842223896e-22,-40.964904126831,-nan
10,0,0,10,3.0829238167427e-13,3.7486154414913e-11,-1.513977942528e-17,-2.7180564567206e-14,0,3.7e-11,1,0.000181,1.4466236274988e-22,-45.021261419318,-nan
11,0,0,11,3.3471545136725e-13,3.7890599637897e-11,-7.3204585360261e-17,-2.6423069692985e-14,0,3.7e-11,1,0.000181,1.4941276315904e-22,-48.955838858115,-nan
12,0,0,12,3.6039542185982e-13,3.8036529843708e-11,-2.6413367251714e-17,-2.5679970492564e-14,0,3.7e-11,1,0.000181,1.543141175753e-22,-52.78644317726,-nan
13,0,0,13,3.8534662514318e-13,3.8316744536275e-11,-5.07188593547e-17,-2.4951203283362e-14,0,3.7e-11,1,0.000181,1.5937105257899e-22,-56.504598235347,-nan
14,0,0,14,4.0958332417692e-13,3.8399198645944e-11,-1.4924193850083e-17,-2.423669903374e-14,0,3.7e-11,1,0.000181,1.6458833095331e-22,-60.121407977005,-nan
15,0,0,15,4.3311970727528e-13,3.8379451925212e-11,3.5741564525514e-18,-2.353638309836e-14,0,3.7e-11,1,0.000181,1.6997085551549e-22,-63.636408313695,-nan
16,0,0,16,4.5596988269317e-13,3.7991382628903e-11,7.0240542631912e-17,-2.2850175417883e-14,0,3.7e-11,1,0.000181,1.7552367305025e-22,-67.05889837798,-nan
17,0,0,17,4.7814787322703e-13,3.7762045423692e-11,4.151003414322e-17,-2.2177990533865e-14,0,3.7e-11,1,0.000181,1.8125197834801e-22,-70.376727341398,-nan
18,0,0,18,4.9966761154879e-13,3.7682114840177e-11,1.4467435616214e-17,-2.1519738321763e-14,0,3.7e-11,1,0.000181,1.8716111835055e-22,-73.592227678471,-nan
19,0,0,19,5.2054293521196e-13,3.7403712033319e-11,5.0390908041265e-17,-2.0875323663171e-14,0,3.7e-11,1,0.000181,1.9325659640683e-22,-76.716867751819,-nan
20,0,0,20,5.4078758154803e-13,3.7749844692436e-11,-6.2650011300063e-17,-2.0244646336062e-14,0,3.7e-11,1,0.000181,1.9954407664162e-22,-79.73045537684,-nan
21,0,0,21,5.6041518372947e-13,3.8509124927336e-11,-1.3742972251705e-16,-1.9627602181447e-14,0,3.7e-11,1,0.000181,2.0602938843985e-22,-82.640739453132,-nan
22,0,0,22,5.7943926571401e-13,3.8499504325991e-11,1.7413288435032e-18,-1.9024081984539e-14,0,3.7e-11,1,0.000181,2.1271853104947e-22,-85.481686640437,-nan
23,0,0,23,5.9787323610828e-13,3.8205210979977e-11,5.3267095628489e-17,-1.8433970394263e-14,0,3.7e-11,1,0.000181,2.1961767830586e-22,-88.242211874108,-nan
24,0,0,24,6.1573038406644e-13,3.8196775857392e-11,1.5267571879441e-18,-1.7857147958163e-14,0,3.7e-11,1,0.000181,2.2673318348068e-22,-90.908879742609,-nan
25,0,0,25,6.3302387595528e-13,3.8600486477457e-11,-7.3071622231687e-17,-1.7293491888839e-14,0,3.7e-11,1,0.000181,2.3407158425834e-22,-93.480243079417,-nan
26,0,0,26,6.4976675128357e-13,3.8685578555154e-11,-1.5401666063264e-17,-1.6742875328288e-14,0,3.7e-11,1,0.000181,2.4163960784318e-22,-95.977999337776,-nan
27,0,0,27,6.6597191743571e-13,3.8205410321584e-11,8.6910450276169e-17,-1.620516615214e-14,0,3.7e-11,1,0.000181,2.4944417620056e-22,-98.410741849709,-nan
28,0,0,28,6.8165214538487e-13,3.8181835547442e-11,4.2670341196383e-18,-1.5680227949161e-14,0,3.7e-11,1,0.000181,2.5749241143525e-22,-100.752759915,-nan
29,0,0,29,6.9682006739891e-13,3.8600707511275e-11,-7.5815825453616e-17,-1.5167922014039e-14,0,3.7e-11,1,0.000181,2.6579164131034e-22,-103.00632213519,-nan
30,0,0,30,7.1148817342764e-13,3.8571364774804e-11,5.3110353011512e-18,-1.4668106028729e-14,0,3.7e-11,1,0.000181,2.743494049103e-22,-105.19736544772,-nan
31,0,0,31,7.2566880612632e-13,3.824965031405e-11,5.8230317396511e-17,-1.4180632698682e-14,0,3.7e-11,1,0.000181,2.8317345845146e-22,-107.32352089286,-nan
32,0,0,32,7.3937415768448e-13,3.8473442710184e-11,-4.0506423700174e-17,-1.3705351558159e-14,0,3.7e-11,1,0.000181,2.9227178124381e-22,-109.36396364849,-nan
33,0,0,33,7.526162679078e-13,3.8716397764367e-11,-4.3974864807178e-17,-1.3242110223328e-14,0,3.7e-11,1,0.000181,3.0165258180751e-22,-111.33471702441,-nan
34,0,0,34,7.6540702036053e-13,3.8466701125047e-11,4.5195091716813e-17,-1.2790752452721e-14,0,3.7e-11,1,0.000181,3.1132430414806e-22,-113.25138830176,-nan
35,0,0,35,7.7775813861845e-13,3.8521830255378e-11,-9.9783725898609e-18,-1.2351118257927e-14,0,3.7e-11,1,0.000181,3.2129563419397e-22,-115.09417460687,-nan
36,0,0,36,7.8968118469395e-13,3.8782463624883e-11,-4.7174639880307e-17,-1.1923046075498e-14,0,3.7e-11,1,0.000181,3.3157550640072e-22,-116.86748675196,-nan
37,0,0,37,8.0118755634399e-13,3.8633996177374e-11,2.6872607999119e-17,-1.1506371650043e-14,0,3.7e-11,1,0.000181,3.4217311052519e-22,-118.58963760428,-nan
38,0,0,38,8.1228848343187e-13,3.8159436109666e-11,8.5895372255047e-17,-1.1100927087878e-14,0,3.7e-11,1,0.000181,3.530978985746e-22,-120.26006054891,-nan
39,0,0,39,8.2299502589916e-13,3.8209383977335e-11,-9.0405640481231e-18,-1.0706542467285e-14,0,3.7e-11,1,0.000181,3.643595919341e-22,-121.85741785863,-nan
40,0,0,40,8.3331807306372e-13,3.8155932431114e-11,9.6747298660394e-18,-1.0323047164562e-14,0,3.7e-11,1,0.000181,3.7596818867749e-22,-123.40030600175,-nan
41,0,0,41,8.432683408066e-13,3.7906027307936e-11,4.523282729524e-17,-9.9502677428831e-15,0,3.7e-11,1,0.000181,3.8793397106524e-22,-124.89284005732,-nan
42,0,0,42,8.5285636953067e-13,3.7955680827321e-11,-8.9872870085849e-18,-9.5880287240681e-15,0,3.7e-11,1,0.000181,4.0026751323438e-22,-126.32318818888,-nan
43,0,0,43,8.6209252342074e-13,3.8117700377151e-11,-2.9325538519318e-17,-9.2361538900728e-15,0,3.7e-11,1,0.000181,4.1297968908495e-22,-127.69795724242,-nan
44,0,0,44,8.709869886641e-13,3.7991241298545e-11,2.2889093227598e-17,-8.8944652433605e-15,0,3.7e-11,1,0.000181,4.260816803675e-22,-129.02950186487,-nan
45,0,0,45,8.7954977123074e-13,3.7598715448185e-11,7.1047178915334e-17,-8.562782566638e-15,0,3.7e-11,1,0.000181,4.3958498497658e-22,-130.31871042775,-nan
46,0,0,46,8.8779069602288e-13,3.7787897047035e-11,-3.4241869391951e-17,-8.2409247921387e-15,0,3.7e-11,1,0.000181,4.53501425455e-22,-131.54413717446,-nan
47,0,0,47,8.9571940755429e-13,3.8182890598969e-11,-7.1493832900079e-17,-7.9287115314146e-15,0,3.7e-11,1,0.000181,4.6784315771399e-22,-132.71738156725,-nan
48,0,0,48,9.0334536855947e-13,3.8293059380726e-11,-1.9940549498025e-17,-7.6259610051723e-15,0,3.7e-11,1,0.000181,4.826226799742e-22,-133.8531170392,-nan
49,0,0,49,9.1067785820099e-13,3.8323489309129e-11,-5.5078170409224e-18,-7.3324896415197e-15,0,3.7e-11,1,0.000181,4.9785284193286e-22,-134.94718629775,-nan
50,0,0,50,9.1772597176778e-13,3.8271762362108e-11,9.3625774109014e-18,-7.0481135667966e-15,0,3.7e-11,1,0.000181,5.1354685416245e-22,-136.00101280876,-nan
51,0,0,51,9.244986203149e-13,3.7874804260863e-11,7.1849416325183e-17,-6.7726485471171e-15,0,3.7e-11,1,0.000181,5.2971829774619e-22,-137.02303729187,-nan
52,0,0,52,9.3100453049894e-13,3.8183619659479e-11,-5.5895587149383e-17,-6.5059101840379e-15,0,3.7e-11,1,0.000181,5.4638113415608e-22,-137.98615728544,-nan
53,0,0,53,9.372522463593e-13,3.8404286645369e-11,-3.9940724446136e-17,-6.2477158603635e-15,0,3.7e-11,1,0.000181,5.6354971537905e-22,-138.91310593945,-nan
54,0,0,54,9.432501278139e-13,3.7727904242729e-11,1.224252148779e-16,-5.9978814545939e-15,0,3.7e-11,1,0.000181,5.8123879429699e-22,-139.82699375033,-nan
55,0,0,55,9.4900634941709e-13,3.7510657392031e-11,3.9321679976217e-17,-5.756221603197e-15,0,3.7e-11,1,0.000181,5.9946353532679e-22,-140.69238770033,-nan
56,0,0,56,9.5452890336103e-13,3.7592874859239e-11,-1.4881361564528e-17,-5.5225539439362e-15,0,3.7e-11,1,0.000181,6.1823952532609e-22,-141.51479662707,-nan
57,0,0,57,9.5982560038492e-13,3.7780800256222e-11,-3.4014496853993e-17,-5.2966970238935e-15,0,3.7e-11,1,0.000181,6.3758278477133e-22,-142.30062349388,-nan
58,0,0,58,9.6490406991922e-13,3.7973286125303e-11,-3.4839942303546e-17,-5.0784695343002e-15,0,3.7e-11,1,0.000181,6.5750977921403e-22,-143.05374124691,-nan
59,0,0,59,9.6977176035974e-13,3.7744637513391e-11,4.1385398756072e-17,-4.8676904405211e-15,0,3.7e-11,1,0.000181,6.7803743102197e-22,-143.78676735401,-nan
60,0,0,60,9.7443593924591e-13,3.7507104243233e-11,4.2993521898433e-17,-4.6641788861677e-15,0,3.7e-11,1,0.000181,6.9918313141183e-22,-144.48964512138,-nan
61,0,0,61,9.7890369520211e-13,3.7413233596413e-11,1.6990587074508e-17,-4.4677559561952e-15,0,3.7e-11,1,0.000181,7.2096475277986e-22,-145.1593101271,-nan
62,0,0,62,9.8318194002071e-13,3.7816963629339e-11,-7.3075135959632e-17,-4.2782448186069e-15,0,3.7e-11,1,0.000181,7.4340066133756e-22,-145.78722855066,-nan
63,0,0,63,9.8727741080037e-13,3.8390668695673e-11,-1.0384061700641e-16,-4.0954707796528e-15,0,3.7e-11,1,0.000181,7.6650973005941e-22,-146.38326112684,-nan
64,0,0,64,9.9119667040956e-13,3.8342738001258e-11,8.6754556891851e-18,-3.9192596091958e-15,0,3.7e-11,1,0.000181,7.9031135194958e-22,-146.96978271335,-nan
65,0,0,65,9.9494610735272e-13,3.827108165739e-11,1.2969798239956e-17,-3.7494369431608e-15,0,3.7e-11,1,0.000181,8.148254536352e-22,-147.53158751273,-nan
66,0,0,66,9.9853193840299e-13,3.8093353332196e-11,3.216882686014e-17,-3.585831050266e-15,0,3.7e-11,1,0.000181,8.4007250929337e-22,-148.07182939374,-nan
67,0,0,67,1.0019602110195e-12,3.8512270562201e-11,-7.5824018630784e-17,-3.4282726165549e-15,0,3.7e-11,1,0.000181,8.6607355491965e-22,-148.57241900071,-nan
68,0,0,68,1.005236806343e-12,3.8538036232144e-11,-4.6635862597901e-18,-3.2765953234314e-15,0,3.7e-11,1,0.000181,8.9285020294579e-22,-149.06098578243,-nan
69,0,0,69,1.0083674391839e-12,3.8095887798799e-11,8.0028866435479e-17,-3.1306328409316e-15,0,3.7e-11,1,0.000181,9.2042465721454e-22,-149.54040368707,-nan
70,0,0,70,1.0113576596934e-12,3.77641270684e-11,6.0048692202159e-17,-2.990220509528e-15,0,3.7e-11,1,0.000181,9.488197283196e-22,-149.99587168793,-nan
71,0,0,71,1.0142128571345e-12,3.7862981276325e-11,-1.7892611634386e-17,-2.8551974410351e-15,0,3.7e-11,1,0.000181,9.7805884931911e-22,-150.41953972278,-nan
72,0,0,72,1.0169382631512e-12,3.8123816459241e-11,-4.7211168107789e-17,-2.7254060167198e-15,0,3.7e-11,1,0.000181,1.0081660918309e-21,-150.81944936122,-nan
73,0,0,73,1.0195389537858e-12,3.8736431655037e-11,-1.108833504391e-16,-2.6006906345898e-15,0,3.7e-11,1,0.000181,1.039166182518e-21,-151.19122885713,-nan
74,0,0,74,1.0220198517329e-12,3.8920343406638e-11,-3.3288027039777e-17,-2.4808979471133e-15,0,3.7e-11,1,0.000181,1.0710845199738e-21,-151.55670741769,-nan
75,0,0,75,1.0243857268113e-12,3.8363548804784e-11,1.0077982293566e-16,-2.365875078426e-15,0,3.7e-11,1,0.000181,1.1039471920146e-21,-151.92502978612,-nan
76,0,0,76,1.0266411976592e-12,3.7736870998671e-11,1.1342868290634e-16,-2.2554708479239e-15,0,3.7e-11,1,0.000181,1.13778099339e-21,-152.27875526482,-nan
