x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-2.1326390989625e-13,-5.4546980235214e-14,0,3.7e-11,1,0.000181,1.0453318023611e-22,1,4.3037883693406e-07
1,0,0,1,5.4546980235214e-14,1.2152536458356e-09,-2.1326390989625e-13,-5.4546980235214e-14,0,3.7e-11,1,0.000181,1.0800108462771e-22,24.699705787821,14.994481830583
2,0,0,2,1.0819054409107e-13,2.3882664472197e-09,-2.1231531705051e-13,-5.3643563855856e-14,0,3.7e-11,1,0.000181,1.1158039378194e-22,48.392665798968,572.43212599956
3,0,0,3,1.6093139701164e-13,3.5560423471324e-09,-2.113674378842e-13,-5.274085292057e-14,0,3.7e-11,1,0.000181,1.1527456219034e-22,72.078881263151,4951.7031303888
4,0,0,4,2.1277069120362e-13,4.7185877568447e-09,-2.1042071915793e-13,-5.1839294191982e-14,0,3.7e-11,1,0.000181,1.1908714733532e-22,95.758353409775,23059.703920355
5,0,0,5,2.6371001102167e-13,5.875911475174e-09,-2.0947559301761e-13,-5.0939319818053e-14,0,3.7e-11,1,0.000181,1.2302181262769e-22,119.43108346794,76281.236319617
6,0,0,6,3.1375135849371e-13,7.0280246085136e-09,-2.0853247713447e-13,-5.004134747204e-14,0,3.7e-11,1,0.000181,1.2708233042365e-22,143.09707266645,203050.73344651
7,0,0,7,3.628971389966e-13,8.1749404916928e-09,-2.0759177485543e-13,-4.9145780502887e-14,0,3.7e-11,1,0.000181,1.3127258512363e-22,166.7563222338,465019.30823395
8,0,0,8,4.1115014709196e-13,9.3166746097217e-09,-2.0665387536324e-13,-4.8253008095356e-14,0,3.7e-11,1,0.000181,1.3559657635471e-22,190.40883339819,953735.53617282
9,0,0,9,4.5851355253118e-13,1.0453244520471e-08,-2.0571915384568e-13,-4.7363405439227e-14,0,3.7e-11,1,0.000181,1.4005842223896e-22,214.05460738751,1797781.287953
10,0,0,10,5.0499088643811e-13,1.1584669778334e-08,-2.0478797167317e-13,-4.6477333906922e-14,0,3.7e-11,1,0.000181,1.4466236274988e-22,237.69364542935,3170317.6941068
11,0,0,11,5.5058602767703e-13,1.271097185891e-08,-2.0386067658421e-13,-4.5595141238919e-14,0,3.7e-11,1,0.000181,1.4941276315904e-22,261.32594875103,5297005.3876378
12,0,0,12,5.9530318941337e-13,1.3832174084755e-08,-2.0293760287794e-13,-4.471716173634e-14,0,3.7e-11,1,0.000181,1.543141175753e-22,284.95151857955,8464269.5207769
13,0,0,13,6.391469058735e-13,1.4948301552232e-08,-2.0201907161336e-13,-4.384371646013e-14,0,3.7e-11,1,0.000181,1.5937105257899e-22,308.57035614163,13027884.708121
14,0,0,14,6.8212201930974e-13,1.6059381059494e-08,-2.0110539081447e-13,-4.2975113436243e-14,0,3.7e-11,1,0.000181,1.6458833095331e-22,332.18246266369,19421858.58389
15,0,0,15,7.2423366717603e-13,1.7165441035632e-08,-2.0019685568097e-13,-4.2111647866292e-14,0,3.7e-11,1,0.000181,1.6997085551549e-22,355.78783937187,28167595.421226
