x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-2.6711141251198e-14,-5.7250695131529e-12,0,3.7e-11,1,0.000181,1.2197909109621e-15,1,-nan
1,0,0,1,5.7250695131529e-12,1.8457536602872e-10,-2.6711141251198e-14,-5.7250695131529e-12,0,3.7e-11,1,0.000181,1.2246773966001e-15,-849.88224158604,-nan
2,0,0,2,1.1448914630574e-11,3.2529714745971e-10,-2.547064243901e-14,-5.7238451174215e-12,0,3.7e-11,1,0.000181,1.2295785391886e-15,-1700.7668876936,-nan
3,0,0,3,1.7171530789054e-11,4.5938778209604e-10,-2.4270404869174e-14,-5.7226161584796e-12,0,3.7e-11,1,0.000181,1.234494358097e-15,-2551.6472451089,-nan
4,0,0,4,2.2892913465625e-11,5.870692494781e-10,-2.3110345596153e-14,-5.7213826765706e-12,0,3.7e-11,1,0.000181,1.2394248725956e-15,-3402.5166390129,-nan
5,0,0,5,2.8613058173535e-11,7.0856271465906e-10,-2.1990317197754e-14,-5.7201447079101e-12,0,3.7e-11,1,0.000181,1.2443701018553e-15,-4253.3684220071,-nan
6,0,0,6,3.4331960458407e-11,8.240881777218e-10,-2.0910108814357e-14,-5.7189022848724e-12,0,3.7e-11,1,0.000181,1.2493300649463e-15,-5104.1959830132,-nan
7,0,0,7,4.0049615894584e-11,9.338641303322e-10,-1.9869447422481e-14,-5.7176554361768e-12,0,3.7e-11,1,0.000181,1.2543047808379e-15,-5954.9927560092,-nan
8,0,0,8,4.5766020081655e-11,1.0381072205879e-09,-1.8867999336276e-14,-5.7164041870715e-12,0,3.7e-11,1,0.000181,1.2592942683973e-15,-6805.7522285694,-nan
9,0,0,9,5.1481168641171e-11,1.1370319273792e-09,-1.7905371929232e-14,-5.7151485595155e-12,0,3.7e-11,1,0.000181,1.2642985463896e-15,-7656.467950174,-nan
10,0,0,10,5.7195057213529e-11,1.23085024543e-09,-1.6981115567196e-14,-5.7138885723576e-12,0,3.7e-11,1,0.000181,1.2693176334763e-15,-8507.1335402577,-nan
11,0,0,11,6.2907681455041e-11,1.3197713821294e-09,-1.6094725742598e-14,-5.7126242415128e-12,0,3.7e-11,1,0.000181,1.2743515482152e-15,-9357.7426959648,-nan
12,0,0,12,6.8619037035176e-11,1.404001467205e-09,-1.5245645398669e-14,-5.7113555801347e-12,0,3.7e-11,1,0.000181,1.2794003090593e-15,-10208.289199584,-nan
13,0,0,13,7.4329119633961e-11,1.4837432762181e-09,-1.443326743137e-14,-5.7100825987849e-12,0,3.7e-11,1,0.000181,1.2844639343562e-15,-11058.766925633,-nan
14,0,0,14,8.0037924939559e-11,1.5591959687913e-09,-1.3656937355748e-14,-5.7088053055979e-12,0,3.7e-11,1,0.000181,1.2895424423477e-15,-11909.169847575,-nan
15,0,0,15,8.5745448646e-11,1.6305548423963e-09,-1.2915956122516e-14,-5.7075237064415e-12,0,3.7e-11,1,0.000181,1.2946358511685e-15,-12759.492044128,-nan
16,0,0,16,9.1451686451073e-11,1.6980111024505e-09,-1.2209583069813e-14,-5.7062378050728e-12,0,3.7e-11,1,0.000181,1.2997441788459e-15,-13609.727705171,-nan
