time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.0546447491233e-14,3.7018044853129e-11,-1.9858662226681e-18,1.4699740605137e-16,1.9203142543583e-21,-2.5485447484601e-16,1.0273223745616e-10,1.8509022426564e-07,1,0.00018099999999999
186.68799962237,1.4764108296533e-13,3.7151500469721e-11,-8.5304272459039e-19,1.3819962798829e-16,1.1416197852063e-21,-2.1279751266416e-16,7.3820541482665e-10,1.8575750234861e-07,1,0.00018099999999999
1181.8815689988,9.3457677017407e-13,3.7977814047013e-11,-4.4173415624025e-19,9.6350903082749e-17,-2.5282719075705e-23,-7.2103674595807e-17,4.6728838508704e-09,1.8988907023507e-07,1,0.00018099999999999
7343.8578398454,5.807016416804e-12,4.309396942509e-11,-1.12646481986e-17,3.0651670905113e-17,-6.9604906269166e-24,5.3446703456467e-18,2.903508208402e-08,2.1546984712545e-07,1,0.00018099999999999
45497.190750011,3.5935153883726e-11,7.47656818185e-11,-1.6443280281435e-14,5.5530989626721e-18,1.7255052251631e-24,2.109704784522e-19,1.7967576941863e-07,3.738284090925e-07,1,0.00018099999999999
281732.57176583,2.0427988965061e-10,2.7009887763572e-10,-7.6674027963841e-13,1.8567336157532e-18,1.018039766147e-20,4.2521915130638e-20,1.0213994482531e-06,1.3504943881786e-06,1,0.00018099999999999
1744439.784661,7.7918114810014e-10,1.411521942501e-09,-2.1819471762701e-12,3.6063314010566e-19,7.780926358243e-17,1.2127519572927e-20,3.8959057405007e-06,7.0576097125048e-06,1,0.00018099999999999
10801137.310052,1.5482440890861e-09,6.4219186350899e-09,-1.9144331873911e-12,5.0116662432547e-18,2.8907313156021e-17,-5.8979537862389e-22,7.7412204454303e-06,3.2109593175449e-05,1,0.00018099999999999
66877821.244672,7.9715661120214e-10,2.1754033554104e-08,-8.7535595349755e-13,-2.813034037786e-17,-3.6690343634268e-18,-2.7343669380821e-24,3.9857830560107e-06,0.00010877016777052,1,0.00018099999999999
414089867.61007,2.5912951014291e-10,6.78001457121e-08,-3.0305433933188e-13,-9.3660790168594e-15,-1.8317423526498e-19,3.7901264257162e-27,1.2956475507146e-06,0.0003390007285605,1,0.00018099999999999
2563935341.3868,4.6114953006621e-11,1.8779941345302e-07,-8.5825761950128e-14,-1.0515634519216e-13,-5.3760568273095e-21,8.6384027910517e-22,2.3057476503311e-07,0.0009389970672651,1,0.00018099999999999
15875211863.902,1.9646794363919e-11,4.2783026624568e-07,-4.7745824037362e-14,-1.844161182229e-13,4.5497907135938e-21,7.0724423050188e-18,9.8233971819595e-08,0.0021391513312284,1,0.00018099999999999
98295127536.995,1.6465578840362e-11,9.2390968087173e-07,-3.7022097601992e-14,-2.2176286832564e-13,1.0704579708403e-24,2.0761763777897e-18,8.2327894201809e-08,0.0046195484043586,1,0.00018099999999999
608617521341.22,1.5803710294172e-11,1.0631547945314e-06,-3.4668377704489e-14,-2.319721022901e-13,1.730212552544e-25,4.1851526076371e-20,7.901855147086e-08,0.0053157739726569,1,0.00018099999999999
