x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.844161182229e-13,-4.7745824037362e-14,0,3.7e-11,1,0.000181,7.317322616528e-22,1,4.3037883693406e-07
1,0,0,1,4.7745824037362e-14,1.055873581342e-09,-1.844161182229e-13,-4.7745824037362e-14,0,3.7e-11,1,0.000181,7.5600759239399e-22,21.407689142233,6.9105352593186
2,0,0,2,9.5491649486126e-14,2.0747472088521e-09,-1.8441612657933e-13,-4.7745825448763e-14,0,3.7e-11,1,0.000181,7.810627564736e-22,41.815379321503,259.50611516279
3,0,0,3,1.4323748176053e-13,3.0936209509991e-09,-1.8441614732861e-13,-4.77458322744e-14,0,3.7e-11,1,0.000181,8.0692193533236e-22,62.22307157986,2233.2695467162
4,0,0,4,1.9098332984319e-13,4.1124948959665e-09,-1.8441618403909e-13,-4.774584808266e-14,0,3.7e-11,1,0.000181,8.3361003134727e-22,82.630766959348,10377.069453281
5,0,0,5,2.387292062851e-13,5.131369151652e-09,-1.8441624027908e-13,-4.774587644191e-14,0,3.7e-11,1,0.000181,8.6115268839381e-22,103.038466502,34291.674720235
6,0,0,6,2.8647512720559e-13,6.1502438456679e-09,-1.8441631961687e-13,-4.7745920920495e-14,0,3.7e-11,1,0.000181,8.8957631296557e-22,123.44617124986,91239.992152414
7,0,0,7,3.3422111229234e-13,7.1691191253405e-09,-1.8441642562074e-13,-4.7745985086745e-14,0,3.7e-11,1,0.000181,9.1890809586543e-22,143.85388224493,208934.67583477
8,0,0,8,3.8196718480131e-13,8.1879951577103e-09,-1.8441656185894e-13,-4.7746072508978e-14,0,3.7e-11,1,0.000181,9.4917603448295e-22,164.26160052923,428568.17853459
9,0,0,9,4.2971337155682e-13,9.2068721295319e-09,-1.8441673189971e-13,-4.7746186755502e-14,0,3.7e-11,1,0.000181,9.8040895567272e-22,184.66932714476,808060.30927751
10,0,0,10,4.7745970295144e-13,1.0225750247274e-08,-1.8441693931129e-13,-4.7746331394623e-14,0,3.7e-11,1,0.000181,1.0126365392492e-21,205.07706313351,1425504.3520633
11,0,0,11,5.2520621294609e-13,1.1244629737119e-08,-1.8441718766191e-13,-4.7746509994649e-14,0,3.7e-11,1,0.000181,1.0458893421133e-21,225.48480953746,2382796.7338339
12,0,0,12,5.7295293906999e-13,1.2263510844963e-08,-1.8441748051982e-13,-4.7746726123901e-14,0,3.7e-11,1,0.000181,1.0801988230271e-21,245.89256739858,3809437.9772038
13,0,0,13,6.206999224207e-13,1.3282393836417e-08,-1.8441782145326e-13,-4.7746983350715e-14,0,3.7e-11,1,0.000181,1.115597368053e-21,266.30033775882,5866494.6818206
14,0,0,14,6.6844720766416e-13,1.4301278996807e-08,-1.8441821403052e-13,-4.7747285243455e-14,0,3.7e-11,1,0.000181,1.1521183166732e-21,286.70812166013,8750713.7984989
15,0,0,15,7.1619484303468e-13,1.5320166631171e-08,-1.8441866181989e-13,-4.774763537052e-14,0,3.7e-11,1,0.000181,1.1897959886084e-21,307.11592014444,12698781.64347
16,0,0,16,7.6394288033504e-13,1.6339057064263e-08,-1.8441916838973e-13,-4.7748037300357e-14,0,3.7e-11,1,0.000181,1.2286657113517e-21,327.52373425364,17991721.042
17,0,0,17,8.116913749365e-13,1.7357950640553e-08,-1.8441973730843e-13,-4.7748494601468e-14,0,3.7e-11,1,0.000181,1.268763848436e-21,347.93156502966,24959420.754708
18,0,0,18,8.5944038577893e-13,1.8376847724224e-08,-1.8442037214446e-13,-4.7749010842425e-14,0,3.7e-11,1,0.000181,1.3101278284538e-21,368.33941351436,33985291.969678
19,0,0,19,9.0718997537081e-13,1.9395748699176e-08,-1.8442107646636e-13,-4.7749589591883e-14,0,3.7e-11,1,0.000181,1.3527961748478e-21,388.74728074961,45511047.169614
20,0,0,20,9.549402097894e-13,2.0414653969026e-08,-1.8442185384276e-13,-4.775023441859e-14,0,3.7e-11,1,0.000181,1.3968085364914e-21,409.15516777726,60041597.128167
21,0,0,21,1.0026911586808e-12,2.1433563957105e-08,-1.844227078424e-13,-4.7750948891405e-14,0,3.7e-11,1,0.000181,1.4422057190789e-21,429.56307563913,78150062.169542
22,0,0,22,1.0504428952601e-12,2.2452479106465e-08,-1.8442364203412e-13,-4.7751736579311e-14,0,3.7e-11,1,0.000181,1.4890297173463e-21,449.97100537705,100482894.15314
23,0,0,23,1.0981954963116e-12,2.3471399879874e-08,-1.8442465998692e-13,-4.7752601051431e-14,0,3.7e-11,1,0.000181,1.537323748141e-21,470.37895803279,127765105.92969
24,0,0,24,1.1459490421886e-12,2.4490326759818e-08,-1.8442576526993e-13,-4.7753545877045e-14,0,3.7e-11,1,0.000181,1.5871322843647e-21,490.78693464812,160805605.26462
25,0,0,25,1.1937036168142e-12,2.5509260248506e-08,-1.8442696145247e-13,-4.775457462561e-14,0,3.7e-11,1,0.000181,1.6385010898084e-21,511.19493626479,200502630.44407
26,0,0,26,1.241459307681e-12,2.6528200867865e-08,-1.8442825210403e-13,-4.7755690866772e-14,0,3.7e-11,1,0.000181,1.6914772549023e-21,531.60296392453,247849284.97372
27,0,0,27,1.2892162058514e-12,2.7547149159546e-08,-1.8442964079431e-13,-4.7756898170393e-14,0,3.7e-11,1,0.000181,1.7461092334039e-21,552.01101866903,303939168.95418
28,0,0,28,1.3369744059579e-12,2.8566105684923e-08,-1.8443113109325e-13,-4.7758200106564e-14,0,3.7e-11,1,0.000181,1.8024468800467e-21,572.41910153997,369972104.87209
29,0,0,29,1.3847340062036e-12,2.9585071025095e-08,-1.8443272657101e-13,-4.7759600245631e-14,0,3.7e-11,1,0.000181,1.8605414891724e-21,592.827213579,447259955.68602
30,0,0,30,1.4324951083618e-12,3.0604045780885e-08,-1.8443443079803e-13,-4.7761102158212e-14,0,3.7e-11,1,0.000181,1.9204458343721e-21,613.23535582774,537232533.21272
31,0,0,31,1.480257817777e-12,3.1623030572846e-08,-1.8443624734506e-13,-4.7762709415223e-14,0,3.7e-11,1,0.000181,1.9822142091602e-21,633.64352932779,641443594.9338
