time,average_xi,average_xv,left_jix,left_jvx,right_jix,right_jvx,total_ci,total_cv,xDi,xDv
0,0,0,0,0,0,0,0,0,0,0
25.958682112,2.5415161915194e-16,3.6996698424226e-11,-4.9731829738137e-17,1.4694117099725e-16,4.9826149496197e-17,-1.0223972700204e-16,1.2707580957597e-12,1.8498349212113e-07,1,0.00018099999999999
186.68799962237,1.7000175891161e-15,3.6998232731719e-11,-1.3592708739521e-16,1.378073521957e-16,1.3590846693269e-16,-1.0266883751853e-16,8.5000879455804e-12,1.849911636586e-07,1,0.00018099999999999
1181.8815689988,1.058995571405e-14,3.7007727031136e-11,-3.4688332607823e-16,9.4218197163975e-17,3.4688352756681e-16,-8.5306440990094e-17,5.2949778570248e-11,1.8503863515568e-07,1,0.00018099999999999
7343.8578398454,6.4675965876155e-14,3.7066317923431e-11,-8.7066884501291e-16,2.2123823380764e-17,8.7066416084397e-16,-1.0800311505832e-17,3.2337982938078e-10,1.8533158961716e-07,1,0.00018099999999999
45497.190750011,3.8480369509737e-13,3.7428114364649e-11,-2.1734906493645e-15,-2.0849596500308e-17,2.1734902054416e-15,2.3092179070567e-17,1.9240184754868e-09,1.8714057182325e-07,1,0.00018099999999999
281732.57176583,2.1393561311775e-12,3.9664165655168e-11,-5.414391865677e-15,-7.0129926884345e-17,5.4143921197773e-15,7.0878835990426e-17,1.0696780655888e-08,1.9832082827584e-07,1,0.00018099999999999
1744439.784661,9.5015366756264e-12,5.3445012899343e-11,-1.3383650583324e-14,-1.8608361319251e-16,1.3383649159246e-14,1.859596826312e-16,4.7507683378132e-08,2.6722506449672e-07,1,0.00018099999999999
10801137.310052,1.8445146196447e-11,1.3757322412805e-10,-2.2207684948607e-14,-4.6925174092665e-16,2.2207681103196e-14,4.69201053631e-16,9.2225730982234e-08,6.8786612064023e-07,1,0.00018099999999999
66877821.244672,1.7780325992787e-11,6.3530709762839e-10,-2.1540538383844e-14,-1.1723345045538e-15,2.1540534817168e-14,1.1722660684066e-15,8.8901629963934e-08,3.1765354881419e-06,1,0.00018099999999999
414089867.61007,1.4356582307018e-11,3.2229431402249e-09,-1.8118450478472e-14,-2.8589502354762e-15,1.8118448336041e-14,2.8589492484836e-15,7.1782911535091e-08,1.6114715701124e-05,1,0.00018099999999999
2563935341.3868,8.3339675856487e-12,1.2373435336132e-08,-1.2196857971832e-14,-6.0447729226357e-15,1.2196857706479e-14,6.0447734060924e-15,4.1669837928244e-08,6.186717668066e-05,1,0.00018099999999999
15875211863.902,4.8723584779225e-12,2.7192861094614e-08,-8.9220076461403e-15,-9.1627421021184e-15,8.9220076464636e-15,9.162742101207e-15,2.4361792389612e-08,0.00013596430547307,1,0.00018099999999999
98295127536.995,4.5073581487078e-12,3.0137102973046e-08,-8.5718375164615e-15,-9.700635963697e-15,8.5718375164718e-15,9.7006359636747e-15,2.2536790743539e-08,0.00015068551486523,1,0.00018099999999999
