x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-9.700635963697e-15,-8.5718375164615e-15,0,3.7e-11,1,0.000181,6.2231870855349e-62,1,4.3037883693406e-07
1,0,0,1,8.5718375164615e-15,9.059467383258e-11,-9.700635963697e-15,-8.5718375164615e-15,0,3.7e-11,1,0.000181,6.7524033625671e-62,1.1685528516105,1.0004573272417e-06
2,0,0,2,1.7134638068e-14,1.4413692329148e-10,-9.6911471520614e-15,-8.5628005515386e-15,0,3.7e-11,1,0.000181,7.326384656884e-62,1.3370382332027,2.0748132581686e-06
3,0,0,3,2.5688401720505e-14,1.9762674874252e-10,-9.6816584066371e-15,-8.5537636525053e-15,0,3.7e-11,1,0.000181,7.948897096987e-62,1.5054561448246,3.9446385991694e-06
4,0,0,4,3.4233128573386e-14,2.5106415073668e-10,-9.6721697609427e-15,-8.5447268528804e-15,0,3.7e-11,1,0.000181,8.6240219246846e-62,1.6738065865242,7.0035800934054e-06
5,0,0,5,4.2768818759466e-14,3.0444913000957e-10,-9.6626812483941e-15,-8.5356901860801e-15,0,3.7e-11,1,0.000181,9.3561817141313e-62,1.8420895583495,1.1766119778016e-05
6,0,0,6,5.1295472444884e-14,3.5778168748087e-10,-9.653192902305e-15,-8.5266536854181e-15,0,3.7e-11,1,0.000181,1.0150168760104e-61,2.0103050603484,1.8886739309008e-05
7,0,0,7,5.981308982899e-14,4.1106182425372e-10,-9.6437047558867e-15,-8.517617384106e-15,0,3.7e-11,1,0.000181,1.101117581396e-61,2.1784530925689,2.9179806682642e-05
8,0,0,8,6.8321671144243e-14,4.6428954161421e-10,-9.6342168422481e-15,-8.508581315253e-15,0,3.7e-11,1,0.000181,1.1944829360306e-61,2.3465336550589,4.3640132665484e-05
9,0,0,9,7.6821216656109e-14,5.1746484103076e-10,-9.6247291943961e-15,-8.4995455118662e-15,0,3.7e-11,1,0.000181,1.2957225643201e-61,2.5145467478661,6.3464151042398e-05
10,0,0,10,8.531172666296e-14,5.7058772415361e-10,-9.6152418452357e-15,-8.4905100068507e-15,0,3.7e-11,1,0.000181,1.4054969667771e-61,2.6824923710384,9.0071682213967e-05
11,0,0,11,9.3793201495969e-14,6.2365819281422e-10,-9.60575482757e-15,-8.4814748330097e-15,0,3.7e-11,1,0.000181,1.5245217421546e-61,2.8503705246236,0.0001251282440843
12,0,0,12,1.0226564151901e-13,6.7667624902472e-10,-9.5962681741e-15,-8.4724400230446e-15,0,3.7e-11,1,0.000181,1.6535721579805e-61,3.0181812086695,0.00017056787782469
13,0,0,13,1.1072904712857e-13,7.2964189497734e-10,-9.5867819174254e-15,-8.4634056095553e-15,0,3.7e-11,1,0.000181,1.7934880980757e-61,3.1859244232238,0.00022861645915315
14,0,0,14,1.1918341875361e-13,7.8255513304389e-10,-9.5772960900441e-15,-8.4543716250398e-15,0,3.7e-11,1,0.000181,1.9451794179699e-61,3.3536001683342,0.0003018154683606
15,0,0,15,1.276287568555e-13,8.3541596577512e-10,-9.5678107243527e-15,-8.4453381018948e-15,0,3.7e-11,1,0.000181,2.1096317416505e-61,3.5212084440484,0.00039304619453555
16,0,0,16,1.3606506192792e-13,8.8822439590023e-10,-9.5583258526463e-15,-8.4363050724158e-15,0,3.7e-11,1,0.000181,2.2879127358046e-61,3.688749250414,0.00050555435136074
17,0,0,17,1.4449233449672e-13,9.409804263263e-10,-9.5488415071187e-15,-8.4272725687968e-15,0,3.7e-11,1,0.000181,2.4811789006569e-61,3.8562225874787,0.00064297508353114
18,0,0,18,1.5291057511985e-13,9.936840601377e-10,-9.5393577198631e-15,-8.418240623131e-15,0,3.7e-11,1,0.000181,2.6906829196941e-61,4.0236284552899,0.00080935834431658
19,0,0,19,1.6131978438726e-13,1.0463353005956e-09,-9.5298745228709e-15,-8.4092092674104e-15,0,3.7e-11,1,0.000181,2.9177816140037e-61,4.1909668538953,0.0010091946260947
20,0,0,20,1.6971996292078e-13,1.0989341511372e-09,-9.5203919480333e-15,-8.4001785335259e-15,0,3.7e-11,1,0.000181,3.1639445506775e-61,4.3582377833425,0.0012474410268411
21,0,0,21,1.7811111137405e-13,1.1514806153755e-09,-9.5109100271403e-15,-8.3911484532682e-15,0,3.7e-11,1,0.000181,3.4307633587493e-61,4.5254412436787,0.0015295476366
22,0,0,22,1.8649323043238e-13,1.2039746970986e-09,-9.5014287918816e-15,-8.3821190583268e-15,0,3.7e-11,1,0.000181,3.719961810481e-61,4.6925772349517,0.0018614842288948
23,0,0,23,1.9486632081267e-13,1.256416400269e-09,-9.4919482738461e-15,-8.3730903802909e-15,0,3.7e-11,1,0.000181,4.0334067305108e-61,4.8596457572087,0.0022497672428783
24,0,0,24,2.0323038326332e-13,1.3088057290233e-09,-9.4824685045221e-15,-8.3640624506492e-15,0,3.7e-11,1,0.000181,4.3731198004483e-61,5.0266468104972,0.0027014870427919
25,0,0,25,2.1158541856411e-13,1.3611426876714e-09,-9.4729895152981e-15,-8.3550353007902e-15,0,3.7e-11,1,0.000181,4.7412903319897e-61,5.1935803948645,0.0032243354419958
26,0,0,26,2.1993142752611e-13,1.413427280696e-09,-9.4635113374622e-15,-8.3460089620021e-15,0,3.7e-11,1,0.000181,5.140289087553e-61,5.360446510358,0.0038266334794732
27,0,0,27,2.2826841099158e-13,1.4656595127524e-09,-9.4540340022019e-15,-8.3369834654731e-15,0,3.7e-11,1,0.000181,5.5726832338395e-61,5.527245157025,0.0045173594372946
28,0,0,28,2.3659636983388e-13,1.5178393886673e-09,-9.4445575406057e-15,-8.3279588422914e-15,0,3.7e-11,1,0.000181,6.0412525206476e-61,5.6939763349127,0.0053061770880663
29,0,0,29,2.4491530495732e-13,1.5699669134389e-09,-9.4350819836616e-15,-8.3189351234454e-15,0,3.7e-11,1,0.000181,6.5490067847474e-61,5.8606400440685,0.0062034641618843
30,0,0,30,2.5322521729714e-13,1.6220420922359e-09,-9.4256073622581e-15,-8.3099123398237e-15,0,3.7e-11,1,0.000181,7.0992048867039e-61,6.0272362845395,0.0072203410227722
