x,y,z,id,xi,xv,jvx,jix,xie,xve,Di,Dv,K0_dist,super_saturation,void_nucleation_rate
0,0,0,0,0,3.7e-11,-1.1702568904191e-15,-3.8834984779899e-14,0,3.7e-11,1,0.000181,6.2231870855349e-62,1,-nan
1,0,0,1,3.8834984779899e-14,4.3465507681873e-11,-1.1702568904191e-15,-3.8834984779899e-14,0,3.7e-11,1,0.000181,6.7524033625671e-62,-4.6241194399701,-nan
2,0,0,2,7.7660932557789e-14,4.9878853986372e-11,-1.1608156811142e-15,-3.882594777789e-14,0,3.7e-11,1,0.000181,7.326384656884e-62,-10.248299236413,-nan
3,0,0,3,1.1647784334837e-13,5.6240302187004e-11,-1.1514221243145e-15,-3.8816910790585e-14,0,3.7e-11,1,0.000181,7.948897096987e-62,-15.872532276023,-nan
4,0,0,4,1.5528571718438e-13,6.2550115635448e-11,-1.1420762341683e-15,-3.8807873836011e-14,0,3.7e-11,1,0.000181,8.6240219246846e-62,-21.496811446076,-nan
5,0,0,5,1.9408455411635e-13,6.8808557749591e-11,-1.13277802266e-15,-3.8798836931965e-14,0,3.7e-11,1,0.000181,9.3561817141313e-62,-27.121129634713,-nan
6,0,0,6,2.3287435421237e-13,7.5015892001599e-11,-1.1235274996134e-15,-3.8789800096021e-14,0,3.7e-11,1,0.000181,1.0150168760104e-61,-32.745479731235,-nan
7,0,0,7,2.716551175579e-13,8.1172381905988e-11,-1.1143246726944e-15,-3.878076334553e-14,0,3.7e-11,1,0.000181,1.101117581396e-61,-38.369854626388,-nan
8,0,0,8,3.1042684425552e-13,8.7278291007723e-11,-1.1051695474141e-15,-3.8771726697619e-14,0,3.7e-11,1,0.000181,1.1944829360306e-61,-43.994247212651,-nan
9,0,0,9,3.4918953442472e-13,9.3333882870332e-11,-1.0960621271322e-15,-3.8762690169198e-14,0,3.7e-11,1,0.000181,1.2957225643201e-61,-49.618650384529,-nan
10,0,0,10,3.8794318820167e-13,9.9339421064037e-11,-1.0870024130606e-15,-3.8753653776956e-14,0,3.7e-11,1,0.000181,1.4054969667771e-61,-55.243057038836,-nan
11,0,0,11,4.2668780573904e-13,1.0529516915391e-10,-1.0779904042672e-15,-3.8744617537366e-14,0,3.7e-11,1,0.000181,1.5245217421546e-61,-60.867460074986,-nan
12,0,0,12,4.6542338720573e-13,1.1120139068805e-10,-1.0690260976798e-15,-3.8735581466685e-14,0,3.7e-11,1,0.000181,1.6535721579805e-61,-66.49185239528,-nan
13,0,0,13,5.0414993278668e-13,1.1705834918579e-10,-1.0601094880903e-15,-3.8726545580959e-14,0,3.7e-11,1,0.000181,1.7934880980757e-61,-72.11622690519,-nan
14,0,0,14,5.428674426827e-13,1.228663081259e-10,-1.0512405681592e-15,-3.8717509896017e-14,0,3.7e-11,1,0.000181,1.9451794179699e-61,-77.74057651365,-nan
15,0,0,15,5.8157591711018e-13,1.2862553093485e-10,-1.04241932842e-15,-3.8708474427483e-14,0,3.7e-11,1,0.000181,2.1096317416505e-61,-83.36489413334,-nan
16,0,0,16,6.2027535630095e-13,1.3433628097509e-10,-1.0336457572838e-15,-3.8699439190767e-14,0,3.7e-11,1,0.000181,2.2879127358046e-61,-88.989172680971,-nan
17,0,0,17,6.5896576050203e-13,1.3999882153335e-10,-1.024919841045e-15,-3.8690404201075e-14,0,3.7e-11,1,0.000181,2.4811789006569e-61,-94.613405077571,-nan
18,0,0,18,6.9764712997543e-13,1.4561341580896e-10,-1.0162415638856e-15,-3.8681369473406e-14,0,3.7e-11,1,0.000181,2.6906829196941e-61,-100.23758424877,-nan
19,0,0,19,7.3631946499799e-13,1.5118032690223e-10,-1.0076109078812e-15,-3.8672335022556e-14,0,3.7e-11,1,0.000181,2.9177816140037e-61,-105.86170312508,-nan
20,0,0,20,7.749827658611e-13,1.5669981780281e-10,-9.9902785300618e-16,-3.8663300863116e-14,0,3.7e-11,1,0.000181,3.1639445506775e-61,-111.4857546422,-nan
21,0,0,21,8.1363703287058e-13,1.6217215137817e-10,-9.9049237713977e-16,-3.8654267009478e-14,0,3.7e-11,1,0.000181,3.4307633587493e-61,-117.10973174125,-nan
22,0,0,22,8.5228226634642e-13,1.6759759036199e-10,-9.8200445607185e-16,-3.8645233475835e-14,0,3.7e-11,1,0.000181,3.719961810481e-61,-122.73362736911,-nan
23,0,0,23,8.909184666226e-13,1.7297639734271e-10,-9.7356406350915e-16,-3.8636200276179e-14,0,3.7e-11,1,0.000181,4.0334067305108e-61,-128.35743447866,-nan
24,0,0,24,9.2954563404691e-13,1.78308834752e-10,-9.6517117108163e-16,-3.8627167424311e-14,0,3.7e-11,1,0.000181,4.3731198004483e-61,-133.98114602909,-nan
25,0,0,25,9.6816376898074e-13,1.8359516485337e-10,-9.56825748349e-16,-3.8618134933831e-14,0,3.7e-11,1,0.000181,4.7412903319897e-61,-139.60475498615,-nan
26,0,0,26,1.0067728717989e-12,1.8883564973076e-10,-9.4852776280749e-16,-3.8609102818152e-14,0,3.7e-11,1,0.000181,5.140289087553e-61,-145.22825432248,-nan
27,0,0,27,1.0453729428894e-12,1.9403055127715e-10,-9.4027717989679e-16,-3.860007109049e-14,0,3.7e-11,1,0.000181,5.5726832338395e-61,-150.8516370178,-nan
28,0,0,28,1.0839639826533e-12,1.9918013118327e-10,-9.3207396300717e-16,-3.8591039763877e-14,0,3.7e-11,1,0.000181,6.0412525206476e-61,-156.47489605929,-nan
29,0,0,29,1.1225459915044e-12,2.0428465092629e-10,-9.2391807348682e-16,-3.858200885115e-14,0,3.7e-11,1,0.000181,6.5490067847474e-61,-162.0980244418,-nan
30,0,0,30,1.1611189698694e-12,2.0934437175861e-10,-9.1580947064931e-16,-3.8572978364964e-14,0,3.7e-11,1,0.000181,7.0992048867039e-61,-167.72101516814,-nan
31,0,0,31,1.1996829181872e-12,2.1435955469663e-10,-9.0774811178134e-16,-3.8563948317788e-14,0,3.7e-11,1,0.000181,7.6953751972709e-61,-173.34386124938,-nan
32,0,0,32,1.2382378369091e-12,2.1933046050961e-10,-8.9973395215065e-16,-3.8554918721905e-14,0,3.7e-11,1,0.000181,8.341337759411e-61,-178.96655570507,-nan
33,0,0,33,1.2767837264985e-12,2.2425734970858e-10,-8.9176694501402e-16,-3.8545889589419e-14,0,3.7e-11,1,0.000181,9.0412282621911e-61,-184.58909156357,-nan
34,0,0,34,1.3153205874307e-12,2.2914048253525e-10,-8.8384704162555e-16,-3.853686093225e-14,0,3.7e-11,1,0.000181,9.7995239738151e-61,-190.2114618623,-nan
35,0,0,35,1.3538484201929e-12,2.3398011895096e-10,-8.7597419124516e-16,-3.8527832762141e-14,0,3.7e-11,1,0.000181,1.0621071792955e-60,-195.83365964801,-nan
36,0,0,36,1.3923672252835e-12,2.3877651862581e-10,-8.6814834114716e-16,-3.8518805090658e-14,0,3.7e-11,1,0.000181,1.1511118590388e-60,-201.45567797704,-nan
37,0,0,37,1.4308770032127e-12,2.4352994092763e-10,-8.6036943662905e-16,-3.850977792919e-14,0,3.7e-11,1,0.000181,1.2475344026846e-60,-207.07750991561,-nan
38,0,0,38,1.4693777545017e-12,2.4824064491117e-10,-8.5263742102058e-16,-3.8500751288951e-14,0,3.7e-11,1,0.000181,1.3519896047961e-60,-212.69914854006,-nan
39,0,0,39,1.5078694796827e-12,2.5290888930726e-10,-8.4495223569284e-16,-3.8491725180984e-14,0,3.7e-11,1,0.000181,1.4651429273408e-60,-218.32058693714,-nan
40,0,0,40,1.5463521792988e-12,2.5753493251205e-10,-8.3731382006763e-16,-3.8482699616159e-14,0,3.7e-11,1,0.000181,1.5877146514848e-60,-223.94181820429,-nan
41,0,0,41,1.584825853904e-12,2.6211903257629e-10,-8.2972211162705e-16,-3.8473674605177e-14,0,3.7e-11,1,0.000181,1.7204843676152e-60,-229.56283544986,-nan
42,0,0,42,1.6232905040626e-12,2.6666144719465e-10,-8.2217704592307e-16,-3.846465015857e-14,0,3.7e-11,1,0.000181,1.8642958309838e-60,-235.18363179339,-nan
43,0,0,43,1.6617461303493e-12,2.7116243369514e-10,-8.1467855658757e-16,-3.8455626286703e-14,0,3.7e-11,1,0.000181,2.0200622125668e-60,-240.8042003659,-nan
44,0,0,44,1.700192733349e-12,2.7562224902852e-10,-8.0722657534222e-16,-3.8446602999778e-14,0,3.7e-11,1,0.000181,2.1887717771187e-60,-246.42453431012,-nan
45,0,0,45,1.7386303136569e-12,2.8004114975785e-10,-7.9982103200884e-16,-3.8437580307829e-14,0,3.7e-11,1,0.000181,2.3714940229702e-60,-252.04462678075,-nan
46,0,0,46,1.7770588718776e-12,2.8441939204801e-10,-7.924618545197e-16,-3.8428558220733e-14,0,3.7e-11,1,0.000181,2.5693863208956e-60,-257.66447094474,-nan
47,0,0,47,1.8154784086258e-12,2.8875723165535e-10,-7.8514896892813e-16,-3.8419536748202e-14,0,3.7e-11,1,0.000181,2.7837010923763e-60,-263.28405998151,-nan
48,0,0,48,1.8538889245256e-12,2.9305492391734e-10,-7.7788229941922e-16,-3.8410515899791e-14,0,3.7e-11,1,0.000181,3.0157935708261e-60,-268.90338708326,-nan
49,0,0,49,1.8922904202105e-12,2.9731272374231e-10,-7.7066176832074e-16,-3.8401495684896e-14,0,3.7e-11,1,0.000181,3.2671301928377e-60,-274.52244545515,-nan
50,0,0,50,1.9306828963233e-12,3.015308855993e-10,-7.6348729611418e-16,-3.8392476112757e-14,0,3.7e-11,1,0.000181,3.5392976702917e-60,-280.14122831563,-nan
51,0,0,51,1.9690663535157e-12,3.0570966350784e-10,-7.5635880144597e-16,-3.838345719246e-14,0,3.7e-11,1,0.000181,3.8340127982409e-60,-285.75972889664,-nan
52,0,0,52,2.0074407924487e-12,3.0984931102794e-10,-7.4927620113887e-16,-3.8374438932937e-14,0,3.7e-11,1,0.000181,4.153133057891e-60,-291.37794044387,-nan
53,0,0,53,2.0458062137916e-12,3.1395008125006e-10,-7.4223941020352e-16,-3.8365421342969e-14,0,3.7e-11,1,0.000181,4.4986680787466e-60,-296.99585621702,-nan
54,0,0,54,2.0841626182228e-12,3.1801222678514e-10,-7.3524834185015e-16,-3.8356404431184e-14,0,3.7e-11,1,0.000181,4.8727920291273e-60,-302.61346949002,-nan
55,0,0,55,2.1225100064289e-12,3.2203599975476e-10,-7.2830290750041e-16,-3.8347388206066e-14,0,3.7e-11,1,0.000181,5.2778570097972e-60,-308.23077355133,-nan
56,0,0,56,2.1608483791048e-12,3.2602165178128e-10,-7.2140301679941e-16,-3.8338372675946e-14,0,3.7e-11,1,0.000181,5.7164075314312e-60,-313.84776170411,-nan
57,0,0,57,2.1991777369538e-12,3.2996943397811e-10,-7.1454857762786e-16,-3.8329357849013e-14,0,3.7e-11,1,0.000181,6.1911961631014e-60,-319.46442726651,-nan
58,0,0,58,2.2374980806871e-12,3.3387959694007e-10,-7.0773949611445e-16,-3.832034373331e-14,0,3.7e-11,1,0.000181,6.705200445933e-60,-325.0807635719,-nan
59,0,0,59,2.2758094110239e-12,3.3775239073371e-10,-7.0097567664826e-16,-3.8311330336736e-14,0,3.7e-11,1,0.000181,7.2616411736056e-60,-330.6967639691,-nan
60,0,0,60,2.3141117286909e-12,3.4158806488781e-10,-6.9425702189141e-16,-3.8302317667052e-14,0,3.7e-11,1,0.000181,7.8640021494964e-60,-336.31242182264,-nan
61,0,0,61,2.3524050344228e-12,3.4538686838389e-10,-6.875834327918e-16,-3.8293305731873e-14,0,3.7e-11,1,0.000181,8.5160515390262e-60,-341.92773051296,-nan
62,0,0,62,2.3906893289615e-12,3.4914904964685e-10,-6.8095480859606e-16,-3.8284294538681e-14,0,3.7e-11,1,0.000181,9.2218649452339e-60,-347.54268343667,-nan
63,0,0,63,2.4289646130563e-12,3.528748565356e-10,-6.7437104686258e-16,-3.8275284094817e-14,0,3.7e-11,1,0.000181,9.9858503458124e-60,-353.15727400677,-nan
64,0,0,64,2.4672308874638e-12,3.565645363338e-10,-6.6783204347473e-16,-3.8266274407488e-14,0,3.7e-11,1,0.000181,1.0812775040865e-59,-358.77149565288,-nan
65,0,0,65,2.5054881529475e-12,3.6021833574073e-10,-6.6133769265414e-16,-3.8257265483764e-14,0,3.7e-11,1,0.000181,1.1707794772531e-59,-364.38534182148,-nan
66,0,0,66,2.5437364102781e-12,3.6383650086213e-10,-6.5488788697424e-16,-3.8248257330585e-14,0,3.7e-11,1,0.000181,1.2676485190468e-59,-369.99880597612,-nan
67,0,0,67,2.5819756602329e-12,3.6741927720122e-10,-6.4848251737384e-16,-3.8239249954757e-14,0,3.7e-11,1,0.000181,1.3724875851039e-59,-375.61188159765,-nan
68,0,0,68,2.6202059035958e-12,3.7096690964967e-10,-6.421214731709e-16,-3.8230243362957e-14,0,3.7e-11,1,0.000181,1.4859486952973e-59,-381.22456218445,-nan
69,0,0,69,2.6584271411576e-12,3.7447964247883e-10,-6.3580464207632e-16,-3.8221237561733e-14,0,3.7e-11,1,0.000181,1.6087369028444e-59,-386.83684125264,-nan
70,0,0,70,2.6966393737151e-12,3.779577193308e-10,-6.295319102081e-16,-3.8212232557504e-14,0,3.7e-11,1,0.000181,1.7416145825875e-59,-392.4487123363,-nan
71,0,0,71,2.7348426020716e-12,3.8140138320984e-10,-6.2330316210532e-16,-3.8203228356565e-14,0,3.7e-11,1,0.000181,1.885406063958e-59,-398.06016898771,-nan
72,0,0,72,2.7730368270367e-12,3.8481087647361e-10,-6.171182807425e-16,-3.8194224965084e-14,0,3.7e-11,1,0.000181,2.0410026361615e-59,-403.67120477751,-nan
73,0,0,73,2.8112220494258e-12,3.8818644082468e-10,-6.1097714754396e-16,-3.8185222389107e-14,0,3.7e-11,1,0.000181,2.2093679553074e-59,-409.28181329499,-nan
74,0,0,74,2.8493982700604e-12,3.9152831730202e-10,-6.0487964239833e-16,-3.8176220634558e-14,0,3.7e-11,1,0.000181,2.3915438855643e-59,-414.89198814824,-nan
75,0,0,75,2.8875654897676e-12,3.9483674627259e-10,-5.9882564367315e-16,-3.8167219707241e-14,0,3.7e-11,1,0.000181,2.5886568089707e-59,-420.50172296436,-nan
76,0,0,76,2.9257237093805e-12,3.9811196742303e-10,-5.9281502822969e-16,-3.8158219612837e-14,0,3.7e-11,1,0.000181,2.8019244412712e-59,-426.11101138971,-nan
77,0,0,77,2.9638729297374e-12,4.0135421975142e-10,-5.8684767143772e-16,-3.8149220356913e-14,0,3.7e-11,1,0.000181,3.0326631941144e-59,-431.7198470901,-nan
78,0,0,78,3.0020131516823e-12,4.045637415591e-10,-5.8092344719059e-16,-3.8140221944918e-14,0,3.7e-11,1,0.000181,3.2822961271429e-59,-437.32822375095,-nan
79,0,0,79,3.0401443760645e-12,4.0774077044264e-10,-5.7504222792024e-16,-3.8131224382185e-14,0,3.7e-11,1,0.000181,3.5523615369497e-59,-442.93613507755,-nan
80,0,0,80,3.0782666037384e-12,4.108855432858e-10,-5.6920388461246e-16,-3.8122227673934e-14,0,3.7e-11,1,0.000181,3.8445222335968e-59,-448.54357479524,-nan
81,0,0,81,3.1163798355637e-12,4.1399829625167e-10,-5.6340828682213e-16,-3.811323182527e-14,0,3.7e-11,1,0.000181,4.1605755594004e-59,-454.15053664957,-nan
82,0,0,82,3.1544840724049e-12,4.1707926477481e-10,-5.5765530268876e-16,-3.8104236841191e-14,0,3.7e-11,1,0.000181,4.5024642090111e-59,-459.75701440655,-nan
83,0,0,83,3.1925793151315e-12,4.2012868355355e-10,-5.5194479895182e-16,-3.8095242726579e-14,0,3.7e-11,1,0.000181,4.8722879144852e-59,-465.36300185281,-nan
84,0,0,84,3.2306655646177e-12,4.2314678654231e-10,-5.4627664096659e-16,-3.8086249486212e-14,0,3.7e-11,1,0.000181,5.2723160640735e-59,-470.96849279581,-nan
85,0,0,85,3.2687428217424e-12,4.2613380694408e-10,-5.4065069271968e-16,-3.8077257124759e-14,0,3.7e-11,1,0.000181,5.7050013288799e-59,-476.57348106399,-nan
86,0,0,86,3.3068110873892e-12,4.2908997720289e-10,-5.3506681684498e-16,-3.8068265646783e-14,0,3.7e-11,1,0.000181,6.1729943773953e-59,-482.17796050702,-nan
87,0,0,87,3.344870362446e-12,4.3201552899648e-10,-5.2952487463951e-16,-3.8059275056739e-14,0,3.7e-11,1,0.000181,6.6791597642246e-59,-487.78192499591,-nan
88,0,0,88,3.3829206478049e-12,4.3491069322896e-10,-5.2402472607945e-16,-3.8050285358983e-14,0,3.7e-11,1,0.000181,7.226593086127e-59,-493.38536842325,-nan
89,0,0,89,3.4209619443627e-12,4.3777570002364e-10,-5.1856622983622e-16,-3.8041296557766e-14,0,3.7e-11,1,0.000181,7.818639505833e-59,-498.98828470336,-nan
90,0,0,90,3.4589942530199e-12,4.4061077871586e-10,-5.1314924329271e-16,-3.8032308657238e-14,0,3.7e-11,1,0.000181,8.4589137520121e-59,-504.59066777249,-nan
91,0,0,91,3.4970175746814e-12,4.4341615784603e-10,-5.0777362255949e-16,-3.8023321661448e-14,0,3.7e-11,1,0.000181,9.1513217123018e-59,-510.19251158896,-nan
92,0,0,92,3.5350319102557e-12,4.4619206515261e-10,-5.0243922249124e-16,-3.801433557435e-14,0,3.7e-11,1,0.000181,9.9000837455054e-59,-515.79381013336,-nan
93,0,0,93,3.5730372606555e-12,4.4893872756533e-10,-4.9714589670309e-16,-3.8005350399795e-14,0,3.7e-11,1,0.000181,1.0709759848989e-58,-521.39455740872,-nan
94,0,0,94,3.6110336267971e-12,4.5165637119841e-10,-4.9189349758728e-16,-3.7996366141542e-14,0,3.7e-11,1,0.000181,1.1585276828008e-58,-526.99474744067,-nan
95,0,0,95,3.6490210096003e-12,4.5434522134388e-10,-4.8668187632957e-16,-3.7987382803254e-14,0,3.7e-11,1,0.000181,1.2531957625207e-58,-532.5943742776,-nan
96,0,0,96,3.6869994099888e-12,4.5700550246502e-10,-4.8151088292612e-16,-3.7978400388499e-14,0,3.7e-11,1,0.000181,1.3555552981007e-58,-538.19343199084,-nan
