x,y,z,id,cv,ci,jvx,jix,jvy,jiy
0,16,0,0,3.7e-11,0,-4.7212225575158e-09,-2.0909000635455e-10,-1.0521290124898e-13,4.0291488802699e-15
1,16,0,1,2.0906689783005e-05,1.2816043055028e-11,-3.8208334691917e-09,1.5780598371359e-11,-7.5985252108809e-13,3.0109711815822e-15
2,16,0,2,3.7660809629364e-05,7.1657973680977e-12,-3.0848512535164e-09,3.2587453625569e-12,-1.6286776225435e-12,1.720011427844e-15
3,16,0,3,5.1153436939176e-05,5.2699211725215e-12,-2.5512012017931e-09,1.5044571350858e-12,-4.6888859551308e-12,2.7571724104402e-15
4,16,0,4,6.199845624121e-05,4.3548567245334e-12,-2.0499862065554e-09,7.8179842137119e-13,-6.2692589875229e-12,2.3988773790922e-15
5,16,0,5,7.070587344967e-05,3.8205401882895e-12,-1.645408237947e-09,4.7061719700758e-13,-7.7440652327276e-12,2.2208485017125e-15
6,16,0,6,7.7689697431071e-05,3.4778976119392e-12,-1.3193159342079e-09,3.0781732828973e-13,-9.0982721436027e-12,2.1265311616682e-15
7,16,0,7,8.3285584283567e-05,3.2445949596447e-12,-1.0568220715786e-09,2.1234490278929e-13,-1.0323681737103e-11,2.0767431069943e-15
8,16,0,8,8.7765243235433e-05,3.079175966038e-12,-8.4579272291967e-10,1.5191997046649e-13,-1.1420099754086e-11,2.0527307214007e-15
9,16,0,9,9.1348582681526e-05,2.958482361471e-12,-6.7639142337526e-10,1.1157226101001e-13,-1.243691538217e-11,2.0505355189471e-15
10,16,0,10,9.4230697463082e-05,2.8679200149193e-12,-4.5758250648676e-10,6.808529271881e-14,-2.7541971156834e-11,4.1083282621461e-15
11,16,0,11,9.6519217904194e-05,2.7998930957332e-12,-4.5758250648676e-10,6.808529271881e-14,-2.7541971156834e-11,4.1083282621461e-15
12,16,0,12,9.834537403943e-05,2.7480336035004e-12,-3.6426037668788e-10,5.1818919610189e-14,-2.8634403251791e-11,4.090527352006e-15
