x,y,z,id,cv,ci,jvx,jix,jvy,jiy
128,0,0,0,3.7e-11,0,-9.0539690545191e-20,1.2421906968028e-20,-2.1803161777564e-09,-3.9998724909469e-10
128,1,0,1,7.4662510390874e-06,3.6185420915587e-11,-5.6173268415797e-19,1.8632753823291e-20,-1.1213084073103e-09,3.3440131607507e-11
128,2,0,2,1.1312518697099e-05,2.3833232830769e-11,-7.3417359973578e-19,8.8857583169779e-21,-6.4238735880004e-10,7.9034476621773e-12
128,3,0,3,1.3175509609314e-05,2.0502178203396e-11,-9.6948142771375e-19,8.3695237016334e-21,-1.5677551142681e-10,1.1474897572153e-12
128,4,0,4,1.395938716681e-05,1.9354688448192e-11,-9.6948142771375e-19,8.3695237016334e-21,-1.5677551142681e-10,1.1474897572153e-12
128,5,0,5,1.4236697622742e-05,1.8983460477196e-11,-1.0788261814242e-18,7.0160437697886e-21,-5.5462091149478e-11,3.7122797033758e-13
128,6,0,6,1.4314863987573e-05,1.8878720405864e-11,-1.1349660852122e-18,7.5905865403823e-21,-1.5633272947092e-11,1.0474007141554e-13
128,7,0,7,1.4329772669157e-05,1.8859260649376e-11,-1.1665601176833e-18,7.721968913388e-21,-2.9817363044504e-12,1.9459756273054e-14
128,8,0,8,1.4329905465701e-05,1.8858992117216e-11,-1.1782260483559e-18,7.5307023798839e-21,-2.6559309386209e-14,2.6853256660427e-16
128,9,0,9,1.4328255350843e-05,1.8861179603681e-11,-1.1628189002102e-18,8.5398037582682e-21,3.3002295695296e-13,-2.1874878805933e-15
128,10,0,10,1.4327075110515e-05,1.8862728828734e-11,-1.1122686938961e-18,2.7287976741992e-20,2.3604802962684e-13,-1.549242385826e-15
128,11,0,11,1.4326383419883e-05,1.8863641281685e-11,-1.0337913877945e-18,4.4721762559646e-20,1.3833808386274e-13,-9.1245305231993e-16
128,12,0,12,1.4325985159557e-05,1.8864165636418e-11,-9.2395467734825e-19,2.5271178738236e-20,7.9651997932449e-14,-5.2433518158335e-16
128,13,0,13,1.432575483978e-05,1.8864469145453e-11,-7.1975201677583e-19,3.8376842571006e-21,4.6063818429317e-14,-3.0350715288472e-16
128,14,0,14,1.432562454687e-05,1.8864640766515e-11,-3.7202834773052e-19,8.2525725607013e-22,2.6058371201132e-14,-1.7161993166983e-16
128,15,0,15,1.4325558165698e-05,1.8864728221936e-11,1.7298310136735e-19,-2.5735111547398e-21,1.3275900172471e-14,-8.7453151995145e-17
128,16,0,16,1.4325537878438e-05,1.8864754945936e-11,1.0196288698615e-18,-8.1982246134139e-21,4.0569395488251e-15,-2.6720644129982e-17
128,17,0,17,1.4325558295865e-05,1.8864728050492e-11,2.3412216396389e-18,-1.688855222105e-20,-4.084294456935e-15,2.6900778543138e-17
128,18,0,18,1.4325624821742e-05,1.8864640404589e-11,4.561780852491e-18,-3.1521165211302e-20,-1.3306586791802e-14,8.7655201681367e-17
128,19,0,19,1.4325755301486e-05,1.8864468536964e-11,8.8534447615751e-18,-5.9799449610446e-20,-2.6098829160016e-14,1.7188660445205e-16
128,20,0,20,1.4325985920592e-05,1.8864164634999e-11,1.8744961730757e-17,-1.2502329239576e-19,-4.6130832324225e-14,3.0394820874217e-16
128,21,0,21,1.4326384784099e-05,1.8863639515174e-11,4.5172628929547e-17,-2.9923729077689e-19,-7.979211802766e-14,5.252477948741e-16
128,22,0,22,1.4327077861857e-05,1.8862725234049e-11,1.1929915546446e-16,-7.8805249732706e-19,-1.3867026163197e-13,9.1464197041774e-16
128,23,0,23,1.4328261281378e-05,1.8861171787959e-11,3.1139713758649e-16,-2.0527199661196e-18,-2.3682129210078e-13,1.5543499122633e-15
128,24,0,24,1.4329918039382e-05,1.8858975523332e-11,7.3569051991256e-16,-4.8248666817077e-18,-3.3163850614265e-13,2.1981329517658e-15
128,25,0,25,1.4329797512149e-05,1.8859227901183e-11,1.5501751336655e-15,-1.0166466402739e-17,2.3577867434029e-14,-2.4890457577887e-16
128,26,0,26,1.431490881406e-05,1.8878661290258e-11,3.05976057513e-15,-2.0140199487685e-17,2.9767576114896e-12,-1.9426888617166e-14
128,27,0,27,1.4236770688842e-05,1.8983363128133e-11,5.8341577893501e-15,-3.8714113346851e-17,1.5625832652703e-11,-1.0468976441873e-13
128,28,0,28,1.3959492337133e-05,1.9354543209326e-11,1.0178904052697e-14,-6.9253022970313e-17,5.5453117986316e-11,-3.7116161573956e-13
128,29,0,29,1.3175637602032e-05,2.0501979713751e-11,1.4865676863762e-14,-1.0963841488264e-16,1.5676881260275e-10,-1.1474145844874e-12
128,30,0,30,1.1312642201915e-05,2.3832972525699e-11,1.449655798802e-14,-1.7793659039993e-16,6.4239593054804e-10,-7.9033528198368e-12
128,31,0,31,7.4663271044315e-06,3.6185049843657e-11,8.2609368467087e-15,-2.4676759698018e-16,1.1213238470507e-09,-3.3439868202685e-11
128,32,0,32,3.7e-11,0,1.1139179465384e-15,-1.6774753305812e-16,2.1803317485783e-09,3.9998489676019e-10
