x,y,z,id,cv,ci,jvx,jix,jvy,jiy
0,16,0,0,3.7e-11,0,-1.5186610426692e-12,-1.1727215887281e-11,2.3504574971173e-20,-9.7318291925569e-16
1,16,0,1,5.9242443458002e-09,1.1362946769038e-11,-8.6409438472434e-13,-1.1000641472535e-11,1.7725300189908e-19,-6.8040568160202e-15
2,16,0,2,8.4816287014787e-09,2.1788358132101e-11,-3.4476630404033e-13,-1.0086467211898e-11,4.2544132746205e-19,-1.460385955692e-14
3,16,0,3,9.3935327278034e-09,3.1341184147884e-11,-1.3124140026489e-13,-9.335774967044e-12,1.3039822889237e-18,-4.2575379300336e-14
4,16,0,4,9.6561830118576e-09,4.0092142881475e-11,-1.2003536454647e-14,-7.9693907530109e-12,4.3066906093623e-18,-1.356478115808e-13
5,16,0,5,9.7161983929935e-09,4.8075695298437e-11,-1.2003536454647e-14,-7.9693907530109e-12,4.3066906093623e-18,-1.356478115808e-13
6,16,0,6,9.7235041057831e-09,5.5359965651515e-11,-1.4615758935071e-15,-7.2707249100078e-12,5.2002536639957e-18,-1.6335491860172e-13
7,16,0,7,9.7228331513685e-09,6.1999339592022e-11,1.3378141948189e-16,-6.6265125104481e-12,6.043052684555e-18,-1.8976179173126e-13
8,16,0,8,9.7218455280154e-09,6.8045467206921e-11,1.9713877969715e-16,-6.0339963878235e-12,6.838407062714e-18,-2.1475444886604e-13
9,16,0,9,9.7209692599498e-09,7.3547080367605e-11,1.7489185814986e-16,-5.4902382219107e-12,7.5860529550717e-18,-2.3826061471428e-13
10,16,0,10,9.7201732932854e-09,7.8549887497204e-11,1.5885595557626e-16,-4.9921968395614e-12,8.2851852121852e-18,-2.6024584352452e-13
11,16,0,11,9.7194495510918e-09,8.3096538177247e-11,1.4443521840187e-16,-4.5367985398511e-12,8.9357828357852e-18,-2.8070827375438e-13
12,16,0,12,9.7187922039983e-09,8.7226646861776e-11,1.3117975892351e-16,-4.120996343665e-12,9.538662938166e-18,-2.9967275481061e-13
13,16,0,13,9.7181953492405e-09,9.0976864031499e-11,1.1910397328324e-16,-3.7418173155718e-12,1.009530100258e-17,-3.1718494982603e-13
14,16,0,14,9.7176536003937e-09,9.4380983458249e-11,1.081043932955e-16,-3.3963983863158e-12,1.0607655346205e-17,-3.3330584441112e-13
15,16,0,15,9.7171620053589e-09,9.7470075295821e-11,9.8094024113161e-17,-3.0820118027415e-12,1.1078014260767e-17,-3.4810691967592e-13
16,16,0,16,9.7167160226332e-09,1.0027263613672e-10,8.8990674400224e-17,-2.796081691124e-12,1.1508867839579e-17,-3.6166610428072e-13
17,16,0,17,9.7163114965871e-09,1.0281474872887e-10,8.0717142923009e-17,-2.5361933307033e-12,1.1902804872686e-17,-3.7406451550676e-13
18,16,0,18,9.715944630854e-09,1.0512024556005e-10,7.3201584840921e-17,-2.3000966754283e-12,1.2262432963567e-17,-3.8538393270379e-13
19,16,0,19,9.7156119621773e-09,1.0721087188683e-10,6.6377411178984e-17,-2.0857055040834e-12,1.2590318901661e-17,-3.9570491115157e-13
20,16,0,20,9.7153103348612e-09,1.0910644496064e-10,6.0183160117213e-17,-1.8910933760644e-12,1.2888946149952e-17,-4.051054315965e-13
21,16,0,21,9.7150368762443e-09,1.1082500717219e-10,5.4562286939927e-17,-1.7144873585309e-12,1.3160685682618e-17,-4.1365998235755e-13
22,16,0,22,9.7147889734175e-09,1.123829716096e-10,4.9462914359676e-17,-1.5542602922441e-12,1.3407773123678e-17,-4.2143898054688e-13
23,16,0,23,9.7145642510679e-09,1.1379525912516e-10,4.4837579216464e-17,-1.4089221890845e-12,1.3632314841703e-17,-4.2850845218541e-13
24,16,0,24,9.7143605513644e-09,1.1507542645926e-10,4.0642879577022e-17,-1.2771112077605e-12,1.3836266666537e-17,-4.3492990499567e-13
25,16,0,25,9.7141759150122e-09,1.1623578508686e-10,3.683916157068e-17,-1.1575843483026e-12,1.4021436650599e-17,-4.4076031063425e-13
26,16,0,26,9.7140085633945e-09,1.1728751138069e-10,3.3390358932128e-17,-1.0492085961634e-12,1.4189510132903e-17,-4.4605228759849e-13
27,16,0,27,9.7138568827006e-09,1.1824074921539e-10,3.026360231963e-17,-9.5095357359507e-13,1.434201120109e-17,-4.5085424637293e-13
28,16,0,28,9.7137194085228e-09,1.1910470161319e-10,2.7429031226556e-17,-8.618803558745e-13,1.4480351989116e-17,-4.5521054940482e-13
29,16,0,29,9.713594812695e-09,1.1988771674523e-10,2.4859480581472e-17,-7.8113591074901e-13,1.4605841311073e-17,-4.5916181261544e-13
30,16,0,30,9.7134818902218e-09,1.2059736602977e-10,2.2530373418886e-17,-7.0794517692274e-13,1.4719647523595e-17,-4.6274514152339e-13
31,16,0,31,9.7133795482961e-09,1.2124051543091e-10,2.0419313658111e-17,-6.4160426549032e-13,1.4822840225641e-17,-4.6599438478971e-13
32,16,0,32,9.713286796289e-09,1.2182339046264e-10,1.8505910092922e-17,-5.8147416906157e-13,1.4916403038193e-17,-4.6894038310855e-13
33,16,0,33,9.7132027362653e-09,1.2235163538956e-10,1.6771665485822e-17,-5.2697496365001e-13,1.5001233602597e-17,-4.7161120905508e-13
34,16,0,34,9.7131265542721e-09,1.2283036709387e-10,1.5199828012779e-17,-4.7758048149917e-13,1.5078143478965e-17,-4.7403239513675e-13
35,16,0,35,9.7130575124092e-09,1.2326422405353e-10,1.3775224134934e-17,-4.3281342914501e-13,1.5147862559952e-17,-4.7622714846143e-13
36,16,0,36,9.7129949417443e-09,1.2365741084858e-10,1.2484089278539e-17,-3.9224092276654e-13,1.5211054692534e-17,-4.7821655125626e-13
