x,y,z,id,cv,ci,jvx,jix,jvy,jiy
128,0,0,0,3.7e-11,-1.3964084009866e-225,-1.2089554733621e-17,-1.6406837472294e-19,-2.0892638955101e-13,-1.5378508529512e-11
128,1,0,1,3.9635361444871e-10,1.5004304801514e-11,-2.3651615117994e-17,-3.0752608358945e-19,5.4823696613411e-17,-1.4257719517046e-11
128,2,0,2,3.9527326113243e-10,2.9014376703532e-11,-9.9206742266075e-19,3.4104816760246e-19,-1.4365236780055e-16,-1.3020380875564e-11
128,3,0,3,3.9614066319142e-10,4.2034757639504e-11,-9.9206742266075e-19,3.4104816760246e-19,-1.4365236780055e-16,-1.3020380875564e-11
128,4,0,4,3.9639587968471e-10,5.406921184641e-11,-7.0494454505291e-17,2.8618895726526e-19,-1.136895557106e-17,-1.2034454212455e-11
128,5,0,5,3.9612836859583e-10,6.5122233814139e-11,-1.3595664840838e-16,2.9639290220535e-19,7.9290068593729e-17,-1.1053021972384e-11
128,6,0,6,3.9557246110415e-10,7.5198134966529e-11,-4.9283270986162e-17,2.6948508604066e-19,-1.2797299057639e-18,-1.0075901120828e-11
128,7,0,7,3.9585242072999e-10,8.4301002980954e-11,5.3670452879598e-17,2.1486306247397e-19,-4.6484420793564e-17,-9.102867991366e-12
128,8,0,8,3.9578259770743e-10,9.2434663332846e-11,-4.7344416418586e-17,1.8037557305998e-19,1.0547196943632e-16,-8.1336603404631e-12
128,9,0,9,3.9537819855605e-10,9.9602643018381e-11,-8.9922156911805e-17,1.2741689015169e-19,3.1950205844918e-17,-7.1679796440047e-12
128,10,0,10,3.9529062325721e-10,1.0580813726837e-10,7.2542164944696e-17,4.0049944606865e-20,-9.6019637657709e-17,-6.2054942041521e-12
128,11,0,11,3.9591613636254e-10,1.1105397944379e-10,1.3797197119462e-16,-1.0357050901594e-20,-7.6997729888758e-17,-5.2458421708504e-12
128,12,0,12,3.9572598759228e-10,1.1534261414471e-10,4.5496421891798e-17,-2.2577943287249e-21,8.2400412177221e-17,-4.2886347135938e-12
128,13,0,13,3.9548101798458e-10,1.1867607377901e-10,7.5588169641861e-17,1.9548085716631e-20,-2.546848433625e-17,-3.3334596434354e-12
128,14,0,14,3.9545598180776e-10,1.2105595947468e-10,1.4438377664946e-16,6.2444767554836e-20,1.0674034232888e-17,-2.3798857294307e-12
128,15,0,15,3.9518663043283e-10,1.224834258706e-10,7.8053576031212e-17,1.2639182434904e-19,1.1453367673614e-16,-1.4274664261014e-12
128,16,0,16,3.9552547890629e-10,1.2295917011479e-10,5.0733935650928e-17,1.5302975264404e-19,-1.0111345606076e-16,-4.7574424064193e-13
128,17,0,17,3.9523567982717e-10,1.2248342542888e-10,5.391050029611e-17,1.5471732872504e-19,8.8127012547509e-17,4.7574468067566e-13
128,18,0,18,3.954468377499e-10,1.2105595863976e-10,9.1168619584851e-18,1.7624251989292e-19,-2.7605142932076e-17,1.4274667728263e-12
128,19,0,19,3.9609474039065e-10,1.186760726131e-10,-3.4200428224844e-18,1.9620160289848e-19,-1.3167006498286e-16,2.3798860229953e-12
128,20,0,20,3.9588568183342e-10,1.1534261279405e-10,-1.0331474430561e-17,1.9506530715284e-19,5.081267988633e-17,3.3334598238488e-12
128,21,0,21,3.9638417133942e-10,1.1105397795288e-10,-4.2520132172718e-17,2.0001564223008e-19,-7.6510211898323e-17,4.2886348314139e-12
128,22,0,22,3.9646225523083e-10,1.0580813568546e-10,-6.4235868099348e-17,2.1805878591327e-19,-1.7088731656679e-17,5.2458422591389e-12
128,23,0,23,3.9643518032056e-10,9.9602641513857e-11,-6.892147435179e-17,2.3085835576089e-19,1.1572541680065e-17,6.2054941670881e-12
128,24,0,24,3.9647536044471e-10,9.2434662089784e-11,-4.1137079732218e-17,2.3685282541573e-19,-4.1977979075754e-17,7.1679794225922e-12
128,25,0,25,3.9639721435585e-10,8.4301002085915e-11,-4.7798671118877e-17,2.5809132579995e-19,5.6232763404674e-17,8.1336599841117e-12
128,26,0,26,3.9641504676783e-10,7.5198134392371e-11,-8.8717773295765e-17,2.9375200612295e-19,-3.2509258515777e-18,9.1028676776402e-12
128,27,0,27,3.9646228975692e-10,6.5122233527967e-11,-6.7136787194648e-17,3.0896770995532e-19,-3.1345140463072e-17,1.0075900865092e-11
128,28,0,28,3.9639813024035e-10,5.4069211769962e-11,-5.2329107839539e-17,3.0023408259301e-19,1.9920766603761e-17,1.1053021766051e-11
128,29,0,29,3.9639697199345e-10,4.2034757665297e-11,-8.8254911403656e-17,2.909829721704e-19,2.906858965441e-17,1.203445410587e-11
128,30,0,30,3.961203529973e-10,2.9014376749071e-11,-6.5586495461246e-17,3.4540375214524e-19,3.8184430138758e-18,1.30203808606e-11
128,31,0,31,3.9706555181554e-10,1.5004304829071e-11,-5.0594053305327e-17,-3.2106224404006e-19,-2.9454669581423e-17,1.4257719538958e-11
128,32,0,32,3.7e-11,-1.4882111780035e-225,-1.5338487708151e-17,-1.6825495249369e-19,2.0928834589519e-13,1.5378508549461e-11
