x,y,z,id,cv,ci,jvx,jix,jvy,jiy
0,16,0,0,3.7e-11,0,-1.5528482481273e-09,-5.3047328303327e-10,7.9155813647335e-18,-2.5588146271031e-18
1,16,0,1,3.957448143721e-06,6.761449800561e-11,-4.7407819504922e-10,6.1591821864982e-11,1.3883815376853e-16,-1.6510684449466e-17
2,16,0,2,4.942851672097e-06,5.4679280506287e-11,-3.2902860398667e-11,1.7684610705625e-12,8.7002822721487e-16,-4.6555681586379e-17
3,16,0,3,5.1073652547975e-06,5.2910825549766e-11,-3.2902860398667e-11,1.7684610705625e-12,8.7002822721487e-16,-4.6555681586379e-17
4,16,0,4,5.0879726880752e-06,5.3105880572328e-11,3.8783844365176e-12,-1.9504814583377e-13,1.1427947371464e-15,-5.9546451052309e-17
5,16,0,5,5.066919549541e-06,5.3326757176265e-11,4.2105052097227e-12,-2.2086985924326e-13,1.3941997975132e-15,-7.3167873478175e-17
6,16,0,6,5.0586901331882e-06,5.3414199416212e-11,1.6457695203508e-12,-8.7436096633089e-14,1.6304471317675e-15,-8.6055880744432e-17
7,16,0,7,5.0549543744716e-06,5.3453731699792e-11,7.4705132480392e-13,-3.9526899664512e-14,1.8446158473085e-15,-9.7583109302075e-17
8,16,0,8,5.052909248876e-06,5.34754122512e-11,4.0894026519043e-13,-2.1676015209376e-14,2.0298882824263e-15,-1.0750322342173e-16
9,16,0,9,5.0517369937774e-06,5.3487837167001e-11,2.3438207310221e-13,-1.2421236159097e-14,2.1836888405437e-15,-1.1571906444006e-16
10,16,0,10,5.051044470523e-06,5.349518012792e-11,1.3845068611003e-13,-7.3400840663619e-15,2.3066002319203e-15,-1.2227555885209e-16
11,16,0,11,5.0506291858349e-06,5.349958355103e-11,8.3016195768244e-14,-4.4012528099917e-15,2.4013068510111e-15,-1.2732271156605e-16
12,16,0,12,5.0503794636221e-06,5.3502231826038e-11,4.9914739546784e-14,-2.6466936096028e-15,2.4717517142606e-15,-1.3107441057538e-16
13,16,0,13,5.0502300856177e-06,5.3503816084041e-11,2.9854668315498e-14,-1.5831439941044e-15,2.522387296456e-15,-1.3376981796113e-16
14,16,0,14,5.0501416831315e-06,5.3504753751036e-11,1.7666224127443e-14,-9.3690762251501e-16,2.557592980323e-15,-1.3564319888945e-16
15,16,0,15,5.0500901192337e-06,5.3505300732939e-11,1.0303354100809e-14,-5.4648055099625e-16,2.5812915361013e-15,-1.3690392314868e-16
16,16,0,16,5.0500605492162e-06,5.3505614441726e-11,5.9079695582089e-15,-3.1338788550369e-16,2.596750931018e-15,-1.3772617668657e-16
17,16,0,17,5.050043903043e-06,5.3505791061505e-11,3.3254861442598e-15,-1.7642043949727e-16,2.6065333777992e-15,-1.38246417771e-16
18,16,0,18,5.0500347117956e-06,5.3505888594512e-11,1.8359874877461e-15,-9.7412751691603e-17,2.6125438696581e-15,-1.3856601323883e-16
19,16,0,19,5.0500297355423e-06,5.3505941406719e-11,9.9392405990223e-16,-5.2741583735098e-17,2.6161324608997e-15,-1.3875689186946e-16
20,16,0,20,5.0500270934556e-06,5.3505969449832e-11,5.2766112107966e-16,-2.8003241199801e-17,2.6182152704795e-15,-1.3886738597997e-16
21,16,0,21,5.0500257171824e-06,5.3505984061259e-11,2.7483886348255e-16,-1.4587995670957e-17,2.6193872690887e-15,-1.389306894341e-16
22,16,0,22,5.0500250132157e-06,5.3505991528778e-11,1.405676420515e-16,-7.4607071682822e-18,2.6200287459756e-15,-1.3896093290456e-16
23,16,0,23,5.0500246594633e-06,5.3505995309885e-11,7.0665874198991e-17,-3.7562328436232e-18,2.6203390390363e-15,-1.3899261893115e-16
24,16,0,24,5.0500244838531e-06,5.3505997076847e-11,3.4951499973315e-17,-1.8376726729941e-18,2.6205941959591e-15,-1.3894678296155e-16
25,16,0,25,5.0500244020578e-06,5.3505998332715e-11,1.6859232376141e-17,-9.678036205143e-19,2.6202645776828e-15,-1.3916413648471e-16
26,16,0,26,5.0500243583596e-06,5.350599841729e-11,8.3746239186349e-18,-3.5141664474406e-19,2.6201294162649e-15,-1.3918535912649e-16
27,16,0,27,5.0500243419409e-06,5.3505998674609e-11,3.2566016542314e-18,-2.2536203381954e-19,2.6205215566158e-15,-1.389504743237e-16
28,16,0,28,5.0500243347029e-06,5.350599873761e-11,1.4107076662021e-18,-5.1439123042469e-20,2.6205855925184e-15,-1.3899399273274e-16
29,16,0,29,5.050024330625e-06,5.3505998782936e-11,7.2640870047753e-19,-4.6984181910439e-20,2.620711656559e-15,-1.3900389642243e-16
30,16,0,30,5.0500243272201e-06,5.3505998818376e-11,6.2272562086562e-19,-3.0627766932789e-20,2.6208590768201e-15,-1.3900705096374e-16
31,16,0,31,5.0500243258685e-06,5.3505998832871e-11,3.0786712663532e-19,-1.6883760389611e-20,2.6208797894968e-15,-1.3900947468856e-16
32,16,0,32,5.0500243260347e-06,5.3505998831189e-11,-4.0513585867173e-21,2.5864499881984e-22,2.6208130459157e-15,-1.3900566262671e-16
33,16,0,33,5.050024326441e-06,5.3505998826892e-11,-8.5287323942562e-20,4.4653342040629e-21,2.6207878935477e-15,-1.3900440690919e-16
34,16,0,34,5.0500243268369e-06,5.3505998822692e-11,-8.3275281879654e-20,4.4261869122216e-21,2.6207960206488e-15,-1.3900480055992e-16
35,16,0,35,5.0500243272515e-06,5.3505998818303e-11,-8.4112108079894e-20,4.4504788803668e-21,2.6208013047685e-15,-1.3900508817886e-16
36,16,0,36,5.0500243276544e-06,5.3505998814036e-11,-8.0962818406179e-20,4.2869055298215e-21,2.6208028772958e-15,-1.3900517007378e-16
37,16,0,37,5.0500243280116e-06,5.3505998810253e-11,-7.1361107025988e-20,3.7789843219713e-21,2.6208031758855e-15,-1.3900518624903e-16
38,16,0,38,5.0500243283107e-06,5.3505998807085e-11,-5.9612675344276e-20,3.1574477567236e-21,2.6208028935271e-15,-1.3900517118288e-16
39,16,0,39,5.0500243285514e-06,5.3505998804535e-11,-4.7900475496883e-20,2.5371341909363e-21,2.6208024528158e-15,-1.3900514782552e-16
40,16,0,40,5.0500243287372e-06,5.3505998802566e-11,-3.6927798939914e-20,1.956181174492e-21,2.6208019855395e-15,-1.3900512301818e-16
41,16,0,41,5.0500243288742e-06,5.3505998801114e-11,-2.7189715255216e-20,1.440497878257e-21,2.6208015352886e-15,-1.3900509915112e-16
42,16,0,42,5.0500243289703e-06,5.3505998800096e-11,-1.9030839797378e-20,1.0084018291553e-21,2.6208011253034e-15,-1.3900507743035e-16
43,16,0,43,5.0500243290337e-06,5.3505998799424e-11,-1.2501443971821e-20,6.6251512510529e-22,2.6208007612487e-15,-1.3900505812974e-16
44,16,0,44,5.0500243290714e-06,5.3505998799024e-11,-7.3863178824706e-21,3.9148907428486e-22,2.620800429847e-15,-1.3900504052631e-16
45,16,0,45,5.0500243290887e-06,5.3505998798841e-11,-3.2923111868591e-21,1.7451006764811e-22,2.6208001012406e-15,-1.3900502310785e-16
46,16,0,46,5.0500243290884e-06,5.3505998798845e-11,2.7638685068908e-22,-1.4629141497398e-23,2.6207997287579e-15,-1.390050033678e-16
47,16,0,47,5.0500243290705e-06,5.3505998799034e-11,3.855333986899e-21,-2.0438146596022e-22,2.6207992473679e-15,-1.3900497782375e-16
48,16,0,48,5.0500243290325e-06,5.3505998799437e-11,7.9856783959478e-21,-4.2314811976062e-22,2.6207985748025e-15,-1.3900494223237e-16
49,16,0,49,5.0500243289695e-06,5.3505998800105e-11,1.3182860802063e-20,-6.9901850860203e-22,2.6207976107308e-15,-1.3900489097625e-16
50,16,0,50,5.0500243288739e-06,5.3505998801118e-11,1.9927191237986e-20,-1.0545543068092e-21,2.6207962347046e-15,-1.3900481871023e-16
51,16,0,51,5.0500243287362e-06,5.3505998802579e-11,2.8641699133399e-20,-1.5232732928556e-21,2.6207943117492e-15,-1.3900471430372e-16
52,16,0,52,5.0500243285448e-06,5.3505998804599e-11,3.9814444872509e-20,-2.0877077386494e-21,2.6207916650254e-15,-1.3900458400823e-16
53,16,0,53,5.0500243282852e-06,5.3505998807383e-11,5.3862549830193e-20,-2.9401916768934e-21,2.6207881866846e-15,-1.3900436076075e-16
54,16,0,54,5.0500243279413e-06,5.3505998810894e-11,7.1389800267076e-20,-3.4424518674265e-21,2.620783645148e-15,-1.3900427333164e-16
55,16,0,55,5.0500243275124e-06,5.3505998815964e-11,8.7302288269138e-20,-5.956946028062e-21,2.6207795178106e-15,-1.390034547209e-16
56,16,0,56,5.0500243270054e-06,5.350599881925e-11,1.0429118574057e-19,-2.74990701647e-22,2.6207750949857e-15,-1.3900557857014e-16
57,16,0,57,5.0500243265189e-06,5.3505998832634e-11,8.6647891789913e-20,-2.5241152243559e-20,2.6207828624472e-15,-1.3899673260615e-16
58,16,0,58,5.0500243255231e-06,5.3505998811009e-11,2.4058759609644e-19,6.8151281421273e-20,2.6207520853145e-15,-1.3903140230471e-16
59,16,0,59,5.0500243274523e-06,5.3505998919659e-11,-4.4487404940316e-19,-2.0411914388508e-19,2.6207696916567e-15,-1.3898245960145e-16
60,16,0,60,5.050024325656e-06,5.3505998746045e-11,3.1498573975481e-19,2.2164095779501e-19,2.6208730086275e-15,-1.3893501754034e-16
61,16,0,61,5.0500243287915e-06,5.3505998817335e-11,-5.3905420285236e-19,-6.2871890018946e-20,2.6208292308519e-15,-1.389914623097e-16
62,16,0,62,5.050024329114e-06,5.3505998794913e-11,-5.1386884283606e-20,2.3077239683185e-20,2.620728065133e-15,-1.3900053501406e-16
63,16,0,63,5.050024327392e-06,5.3505998817696e-11,4.5612251988776e-19,-2.9016450603485e-20,2.6206032238268e-15,-1.3899495623902e-16
64,16,0,64,5.0500243256339e-06,5.3505998834867e-11,4.0123518724633e-19,-1.970726870914e-20,2.6204418803346e-15,-1.3898618672058e-16
65,16,0,65,5.0500243260611e-06,5.3505998830945e-11,-1.4818894351773e-19,7.1901309575044e-21,2.6204550162909e-15,-1.3898691881097e-16
