x,y,z,id,cv,ci,jvx,jix,jvy,jiy
128,0,0,0,3.7e-11,0,-1.806035200982e-18,3.8886053469753e-18,-5.8543663022239e-10,-1.3154142657336e-09
128,1,0,1,3.9321868056889e-07,6.5513085147112e-10,-2.3084362222403e-18,2.4187649593501e-17,1.6643850908449e-11,-2.0162786693637e-10
128,2,0,2,3.099994252076e-07,8.5675871371821e-10,-2.3084362222403e-18,2.4187649593501e-17,1.6643850908449e-11,-2.0162786693637e-10
128,3,0,3,2.83734605316e-07,9.4512421324348e-10,-2.1004138374755e-18,3.1265223377332e-17,5.2529639341067e-12,-8.8365501913561e-11
128,4,0,4,2.7146080888167e-07,9.895156247797e-10,-2.0362271544376e-18,3.4926226618342e-17,2.454759266893e-12,-4.439141280893e-11
128,5,0,5,2.6523216503677e-07,1.0138180940218e-09,-2.0077115619664e-18,3.6941986878782e-17,1.2457287604375e-12,-2.4302469985148e-11
128,6,0,6,2.6170724138083e-07,1.0278433434917e-09,-1.998054839105e-18,3.8187111249176e-17,7.0498473007246e-13,-1.4025249971973e-11
128,7,0,7,2.5964528099269e-07,1.0362235074983e-09,-1.999768058532e-18,3.9069800346647e-17,4.1239208045632e-13,-8.3801643871802e-12
128,8,0,8,2.5840039163292e-07,1.0413249471156e-09,-2.0082081707659e-18,3.9755430930572e-17,2.4897787756624e-13,-5.1014399223636e-12
128,9,0,9,2.5764277497012e-07,1.0444525575294e-09,-2.0204028359479e-18,4.0288440914142e-17,1.5152333914354e-13,-3.1276106417505e-12
128,10,0,10,2.5718139009873e-07,1.0463654438774e-09,-2.0320338298202e-18,4.0628448916665e-17,9.2276979326046e-14,-1.9128864600552e-12
128,11,0,11,2.5690297074008e-07,1.0475240829634e-09,-2.0280441703045e-18,4.0664643832879e-17,5.5683862691569e-14,-1.1586390102151e-12
128,12,0,12,2.567375393289e-07,1.0482145930986e-09,-1.998101648925e-18,4.0124455136513e-17,3.3086261330786e-14,-6.905096707908e-13
128,13,0,13,2.5664160323619e-07,1.0486161427841e-09,-1.9167376690976e-18,3.836854965885e-17,1.9187158083271e-14,-4.0154839391896e-13
128,14,0,14,2.5658834417723e-07,1.0488396061655e-09,-1.7117084168652e-18,3.4151953304948e-17,1.065166722158e-14,-2.234604564255e-13
128,15,0,15,2.5656190856514e-07,1.0489507418859e-09,-1.283779605679e-18,2.5396908149242e-17,5.286839060584e-15,-1.1112989038376e-13
128,16,0,16,2.565539958957e-07,1.0489840481702e-09,-5.0713185644048e-19,9.2490067989153e-18,1.5820405982833e-15,-3.3295966377979e-14
128,17,0,17,2.5656203566889e-07,1.0489502218191e-09,7.7957479599569e-19,-1.7756397349171e-17,-1.6087480547655e-15,3.3843038595938e-14
128,18,0,18,2.5658860831319e-07,1.0488385243869e-09,2.9183586416614e-18,-6.0913176838136e-17,-5.3158742274154e-15,1.1172390148161e-13
128,19,0,19,2.5664202359243e-07,1.0486144171416e-09,6.2866880616568e-18,-1.2410699421653e-16,-1.0685078809809e-14,2.2414396983493e-13
128,20,0,20,2.5673814828135e-07,1.0482121111556e-09,1.0348472279952e-17,-2.0755909367333e-16,-1.9226976606001e-14,4.0235271356219e-13
128,21,0,21,2.5690379322108e-07,1.047520736832e-09,1.558780420159e-17,-3.1962627144075e-16,-3.3132188456577e-14,6.9143966321786e-13
128,22,0,22,2.5718245316059e-07,1.0463611259391e-09,2.3758965108013e-17,-4.7250372994936e-16,-5.5736958553501e-14,1.1596984307139e-12
128,23,0,23,2.5764411788447e-07,1.0444471388227e-09,3.202615591645e-17,-7.1127849997993e-16,-9.2336241316589e-14,1.9141383533427e-12
128,24,0,24,2.5840204107599e-07,1.041318140056e-09,6.4814988807318e-17,-1.1548448898198e-15,-1.5161413059482e-13,3.1292910961496e-12
128,25,0,25,2.5964756146572e-07,1.0362145448405e-09,6.9443057157272e-17,-2.2628715264118e-15,-2.4907921372331e-13,5.1044109126486e-12
128,26,0,26,2.6171008676467e-07,1.0278299809655e-09,3.71439204055e-16,-4.8517288818182e-15,-4.1283192015957e-13,8.3863370352205e-12
128,27,0,27,2.652390343896e-07,1.0137956719405e-09,2.5547694343269e-17,-1.2640835517708e-14,-7.0511677310659e-13,1.4040324971478e-11
128,28,0,28,2.7146663051154e-07,9.8946878369224e-10,3.442406308548e-15,-2.4475751863034e-14,-1.2496088348825e-12,2.4332707218152e-11
128,29,0,29,2.8379168639746e-07,9.4499482269666e-10,-5.7215985497249e-15,-6.3794326337709e-14,-2.4517575618312e-12,4.4507460600139e-11
128,30,0,30,3.0990108503469e-07,8.5679324070799e-10,7.2506799414095e-14,-6.0158251796689e-13,-5.3133617407614e-12,8.8705870575741e-11
128,31,0,31,3.9322774609772e-07,6.5504882441461e-10,1.7668113516979e-14,2.5429291354182e-13,-1.6519011513392e-11,2.003842522748e-10
128,32,0,32,3.7e-11,0,-1.3317119672039e-14,4.6420426415707e-14,5.8537593417749e-10,1.315602539684e-09
