x,y,z,id,cv,ci,jvx,jix,jvy,jiy
0,16,0,0,3.7e-11,0,-1.0169467010219e-12,-1.1739545921225e-11,5.5635781597111e-21,-9.7479698201002e-16
1,16,0,1,3.5642938702548e-09,1.1375286318989e-11,-4.3242907712495e-13,-1.1012987050702e-11,4.3739462539443e-20,-6.816155220647e-15
2,16,0,2,4.5204940164878e-09,2.1815074513329e-11,-4.9888508071738e-14,-9.7704310019906e-12,2.3684967113307e-19,-3.2728883751185e-14
3,16,0,3,4.6919869039927e-09,3.1389409581264e-11,-3.6065941188603e-15,-8.7366935456373e-12,7.9627864698668e-19,-1.0697804348689e-13
4,16,0,4,4.7100193201865e-09,4.0140819049317e-11,-3.6065941188603e-15,-8.7366935456373e-12,7.9627864698668e-19,-1.0697804348689e-13
5,16,0,5,4.7084986813237e-09,4.8135777541116e-11,3.040220543043e-16,-7.9807698175049e-12,1.0128769913818e-18,-1.3588264019618e-13
6,16,0,6,4.7081270866505e-09,5.5431092315479e-11,7.4217850406654e-17,-7.2817431635756e-12,1.2196794671571e-18,-1.6364292527712e-13
7,16,0,7,4.7079207066611e-09,6.2081116045157e-11,4.1180005905941e-17,-6.6371370854656e-12,1.4167556903086e-18,-1.9010118027678e-13
8,16,0,8,4.7076879725607e-09,6.8137476449987e-11,4.6456291982707e-17,-6.0442049678196e-12,1.603275772965e-18,-2.151432614996e-13
9,16,0,9,4.7074834079601e-09,7.3648890394756e-11,4.0828043938158e-17,-5.5000158146704e-12,1.7786800552498e-18,-2.3869682860876e-13
10,16,0,10,4.7072966459803e-09,7.8661057364679e-11,3.7273232019864e-17,-5.0015345037253e-12,1.9427201717585e-18,-2.6072742490528e-13
11,16,0,11,4.7071269403332e-09,8.3216623204574e-11,3.3867627486814e-17,-4.5456925291884e-12,2.0953860432024e-18,-2.8123320180981e-13
12,16,0,12,4.7069727953714e-09,8.7355203068948e-11,3.0761013966746e-17,-4.1294473485316e-12,2.2368663745117e-18,-3.0023902835868e-13
13,16,0,13,4.7068328272426e-09,9.1113451876974e-11,2.7930965958452e-17,-3.7498297647891e-12,2.3675045655302e-18,-3.1779058743807e-13
14,16,0,14,4.7067057783555e-09,9.4525170934806e-11,2.5352184075587e-17,-3.4039798038551e-12,2.4877577058315e-18,-3.3394888465231e-13
15,16,0,15,4.7065904880399e-09,9.7621440441604e-11,2.3005253475966e-17,-3.0891722211933e-12,2.5981606963703e-18,-3.4878542423418e-13
16,16,0,16,4.7064858925024e-09,1.0043076902175e-10,2.0870781697315e-17,-2.8028331258508e-12,2.6992961465289e-18,-3.6237816413755e-13
