x,y,z,id,cv,ci,jvx,jix,jvy,jiy
128,0,0,0,3.7e-11,-1.3432946078137e-44,-3.6086547653406e-17,8.1768717381825e-16,-1.2125594872047e-15,-1.8875994701283e-12
128,1,0,1,4.1596176486097e-11,1.6853815375468e-12,-1.0784071463727e-16,1.9590598234244e-15,-5.541569402503e-16,-1.484304977615e-12
128,2,0,2,4.0239712623513e-11,2.6678549778012e-12,3.7939796713524e-17,-4.4638662559279e-16,-1.4037847566211e-16,-5.1933343499216e-13
128,3,0,3,4.1485940676937e-11,3.1884272155955e-12,3.7939796713524e-17,-4.4638662559279e-16,-1.4037847566211e-16,-5.1933343499216e-13
128,4,0,4,4.1883958119186e-11,3.4390673954488e-12,-1.2962769770458e-16,-1.2051043461487e-15,-2.0903129054436e-17,-2.5112026493492e-13
128,5,0,5,4.1456992991831e-11,3.5525481123633e-12,-2.2387269577197e-16,4.5295415645924e-16,1.2093766414297e-16,-1.1465869033557e-13
128,6,0,6,4.0517280357566e-11,3.6036113611156e-12,-7.8001662937973e-17,6.805009207289e-16,6.5268553470275e-18,-5.011282209544e-14
128,7,0,7,4.0838768269553e-11,3.6250614386193e-12,1.2278814484939e-16,-2.3359793157661e-16,-8.3671718678826e-17,-2.1486405308233e-14
128,8,0,8,4.1026136751467e-11,3.6339064242148e-12,-2.9244060231468e-17,-9.0278248257648e-17,1.3393264497956e-16,-8.9519774743727e-15
128,9,0,9,4.0582356013619e-11,3.6375805442053e-12,-1.4881426691582e-16,9.7395129109687e-18,3.6920012891729e-17,-3.6671458727635e-15
128,10,0,10,4.0077344758759e-11,3.6390356987484e-12,1.3337035384405e-16,9.1258774979393e-18,-1.2934623510998e-16,-1.4615150254011e-15
128,11,0,11,4.1085955957307e-11,3.639611770145e-12,1.1255072677407e-17,-5.9716233695918e-19,1.3325052571853e-16,-2.3242824886422e-16
128,12,0,12,4.0960618494258e-11,3.6398452208882e-12,1.1255072677407e-17,-5.9716233695918e-19,1.3325052571853e-16,-2.3242824886422e-16
128,13,0,13,4.0313494476777e-11,3.6399322698892e-12,8.1768968665992e-17,-1.225130802428e-18,-4.9272125601155e-17,-8.7443526906189e-17
128,14,0,14,4.0464565191855e-11,3.6399657313899e-12,-1.3704820951788e-16,-1.1155820910536e-18,3.7948244020729e-17,-1.2584712390376e-17
128,15,0,15,4.0115193332349e-11,3.6399787656247e-12,-1.3704820951788e-16,-1.1155820910536e-18,3.7948244020729e-17,-1.2584712390376e-17
128,16,0,16,4.0742779896018e-11,3.6399818430065e-12,-9.5529888356394e-17,-8.0103552436387e-19,-5.2072863691883e-17,-3.2123576739796e-18
128,17,0,17,4.0444041703047e-11,3.6399787714966e-12,4.4316194494613e-17,-9.0082536006247e-19,1.6626202279873e-16,3.1972930648037e-18
128,18,0,18,4.0387091444132e-11,3.6399652147031e-12,-3.2929673972959e-17,-1.5996073492324e-18,-1.7878463954051e-17,1.4129792326339e-17
128,19,0,19,4.1308243307062e-11,3.6399279221906e-12,2.0430591762971e-17,-4.4886871993778e-18,-2.0832212258478e-16,3.9608593604162e-17
128,20,0,20,4.0905802535663e-11,3.6398337158805e-12,-3.9895463750523e-17,-5.6729755220447e-18,1.0856908108419e-16,9.1997725750205e-17
128,21,0,21,4.1693386893505e-11,3.6395752649814e-12,-3.3299904001406e-18,-2.0485444738565e-17,-1.4903232502245e-16,2.4584701419247e-16
128,22,0,22,4.1643304222476e-11,3.6389616672201e-12,1.5269487574159e-18,-6.7928057778635e-17,-4.6571621509497e-19,1.5009343916021e-15
128,23,0,23,4.1638603869672e-11,3.6374476768873e-12,1.5269487574159e-18,-6.7928057778635e-17,-4.6571621509497e-19,1.5009343916021e-15
128,24,0,24,4.1638817164645e-11,3.6336779187874e-12,9.4207901871502e-20,-1.2453935813215e-16,-6.9613074295462e-20,3.7262027407685e-15
128,25,0,25,4.1637638571683e-11,3.6245598301868e-12,-1.1810161136415e-19,-2.2252045770161e-16,5.0363158871403e-20,9.0636628602524e-15
128,26,0,26,4.1629876479253e-11,3.6027868176658e-12,-9.0114550210847e-19,-3.7617871194211e-16,9.547300288168e-19,2.167378000708e-14
128,27,0,27,4.1635760436147e-11,3.5522430619506e-12,-1.4476701250895e-18,-5.4013675755349e-16,-1.125627544621e-18,5.0479030183435e-14
128,28,0,28,4.1617127272431e-11,3.4392590349441e-12,-1.3327942910993e-18,5.0975556272941e-16,3.7903447429805e-18,1.1409864485851e-13
128,29,0,29,4.1612082405263e-11,3.1875277465097e-12,-1.0952504031148e-17,1.4551804343544e-15,-8.6744483061623e-18,2.5156209545402e-13
128,30,0,30,4.141100383948e-11,2.6698950868913e-12,-7.5639166256165e-17,2.0205641462304e-16,-9.3628416671108e-17,5.1506860807579e-13
128,31,0,31,4.2186878469152e-11,1.6948854537425e-12,-2.0275749137643e-17,-1.9747309966557e-15,-1.2183752296765e-16,1.116682381793e-12
128,32,0,32,3.7e-11,-1.4316055837986e-44,-8.042221763449e-17,2.2200661625703e-15,1.5547986452422e-15,1.9165727821905e-12
