time,center_ci,center_cs,center_cv,center_xi,center_xv
0,0,0,0,0,0
1e-08,9.9999792510617e-11,1,9.9999992508758e-11,0.00027367807581395,0.00027367862316615
2e-08,1.9999943670855e-10,1,1.9999997003673e-10,0.00054735574572775,0.00054735720533308
3e-08,2.9999887316991e-10,1,2.9999991760371e-10,0.00082103284711094,0.0008210357055032
4e-08,3.9999807210052e-10,1,3.9999982022977e-10,0.0010947092984232,0.0010947140826796
5e-08,4.9999701358283e-10,1,4.999996629351e-10,0.0013683850451544,0.0013683922958658
6e-08,5.9999568099156e-10,1,5.9999943073997e-10,0.0016420600418048,0.0016420703040654
7e-08,6.9999405879899e-10,1,6.9999910866478e-10,0.0019157342458782,0.0019157480662824
8e-08,7.9999213184329e-10,1,7.9999868173001e-10,0.0021894076158801,0.0021894255415212
9e-08,8.9998988508471e-10,1,8.9999813495626e-10,0.0024630801106497,0.0024631026887863
1e-07,9.999873035243e-10,1,9.9999745336423e-10,0.0027367516891383,0.0027367794670826
1.1e-07,1.0999843721768e-09,1,1.0999966219748e-09,0.0030104223103343,0.0030104558354153
1.2e-07,1.1999810760617e-09,1,1.1999956258089e-09,0.0032840919332392,0.00328413175279
1.3e-07,1.2999774002e-09,1,1.2999944498876e-09,0.0035577605168588,0.0035578071782127
1.4e-07,1.3999733296135e-09,1,1.3999930792322e-09,0.0038314280202011,0.0038314820706898
1.5e-07,1.4999688493245e-09,1,1.4999914988642e-09,0.0041050944022749,0.0041051563892282
1.6e-07,1.5999639443552e-09,1,1.5999896938052e-09,0.0043787596220897,0.0043788300928351
1.7e-07,1.6999585997284e-09,1,1.6999876490769e-09,0.0046524236386556,0.0046525031405185
1.8e-07,1.7999528004669e-09,1,1.7999853497013e-09,0.0049260864109834,0.0049261754912866
1.9e-07,1.8999465315938e-09,1,1.8999827807005e-09,0.0051997478980846,0.0051998471041483
2e-07,1.9999397781324e-09,1,1.999979927097e-09,0.0054734080589711,0.0054735179381131
2.1e-07,2.0999325251063e-09,1,2.0999767739134e-09,0.0057470668526557,0.0057471879521908
2.2e-07,2.1999247575393e-09,1,2.1999733061724e-09,0.0060207242381517,0.0060208571053923
2.3e-07,2.2999164604555e-09,1,2.299969508897e-09,0.0062943801744734,0.0062945253567288
2.4e-07,2.3999076188792e-09,1,2.3999653671107e-09,0.0065680346206356,0.0065681926652121
2.5e-07,2.4998982178352e-09,1,2.4999608658368e-09,0.0068416875356539,0.006841858989855
2.6e-07,2.5998882423483e-09,1,2.5999559900993e-09,0.0071153388785448,0.0071155242896708
2.7e-07,2.6998776774438e-09,1,2.6999507249222e-09,0.0073889886083256,0.0073891885236735
