x,y,z,id,cv,ci,jvx,jix,D,jx,jy,mat_therm_cond
0,225,0,0,7.7454100796788e-06,7.4520308549972e-06,0,0,15,0.021365881061494,-4.0357969124716e-05,1
0.45,225,0,0.45,7.745441460453e-06,7.4520552932369e-06,0,0,14.990403514608,0.021365881061494,-4.0357969124716e-05,1
0.9,225,0,0.9,7.7454728412272e-06,7.4520797314766e-06,0,0,14.980807029217,0.021365881061494,-4.0357969124716e-05,1
1.35,225,0,1.35,7.7455042220014e-06,7.4521041697162e-06,0,0,14.971210543825,0.021365881061494,-4.0357969124716e-05,1
1.8,225,0,1.8,7.7455356027756e-06,7.4521286079559e-06,0,0,14.961614058434,0.021365881061494,-4.0357969124716e-05,1
2.25,225,0,2.25,7.7455671709106e-06,7.4521921712007e-06,0,0,14.952027135848,0.021355597256883,-0.00013204078133627,1
2.7,225,0,2.7,7.7455987390455e-06,7.4522557344454e-06,0,0,14.942440213261,0.021355597256883,-0.00013204078133627,1
3.15,225,0,3.15,7.7456303071805e-06,7.4523192976902e-06,0,0,14.932853290675,0.021355597256883,-0.00013204078133627,1
3.6,225,0,3.6,7.7456618753154e-06,7.4523828609349e-06,0,0,14.923266368089,0.021355597256883,-0.00013204078133627,1
4.05,225,0,4.05,7.7457496561304e-06,7.4524787784267e-06,0,0,14.913693219816,0.021294964826843,-0.00020466762241123,1
4.5,225,0,4.5,7.7458374369454e-06,7.4525746959184e-06,0,0,14.904120071543,0.021294964826843,-0.00020466762241123,1
4.95,225,0,4.95,7.7459252177604e-06,7.4526706134101e-06,0,0,14.89454692327,0.021294964826843,-0.00020466762241123,1
5.4,225,0,5.4,7.7460129985754e-06,7.4527665309018e-06,0,0,14.884973774997,0.021294964826843,-0.00020466762241123,1
5.85,225,0,5.85,7.7461009477268e-06,7.4528802527394e-06,0,0,14.875423841596,0.021252849734779,-0.00025674513114948,1
6.3,225,0,6.3,7.7461888968782e-06,7.452993974577e-06,0,0,14.865873908195,0.021252849734779,-0.00025674513114948,1
6.75,225,0,6.75,7.7462768460296e-06,7.4531076964145e-06,0,0,14.856323974795,0.021252849734779,-0.00025674513114948,1
7.2,225,0,7.2,7.7463647951811e-06,7.4532214182521e-06,0,0,14.846774041394,0.021252849734779,-0.00025674513114948,1
7.65,225,0,7.65,7.7464285344852e-06,7.4533314869941e-06,0,0,14.837244839519,0.021191816433811,-0.00030333290998119,1
8.1,225,0,8.1,7.7464922737894e-06,7.453441555736e-06,0,0,14.827715637645,0.021191816433811,-0.00030333290998119,1
8.55,225,0,8.55,7.7465560130935e-06,7.453551624478e-06,0,0,14.81818643577,0.021191816433811,-0.00030333290998119,1
9,225,0,9,7.7466197523977e-06,7.4536616932199e-06,0,0,14.808657233895,0.021191816433811,-0.00030333290998119,1
9.45,225,0,9.45,7.7466833521561e-06,7.4536671386241e-06,0,0,14.799144552038,0.021131305644747,-0.00031115780530211,1
9.9,225,0,9.9,7.7467469519146e-06,7.4536725840284e-06,0,0,14.78963187018,0.021131305644747,-0.00031115780530211,1
10.35,225,0,10.35,7.746810551673e-06,7.4536780294326e-06,0,0,14.780119188322,0.021131305644747,-0.00031115780530211,1
10.8,225,0,10.8,7.7468741514315e-06,7.4536834748368e-06,0,0,14.770606506464,0.021131305644747,-0.00031115780530211,1
11.25,225,0,11.25,7.7469311317329e-06,7.4537811676595e-06,0,0,14.761143244737,0.021029470318756,-0.0002995829409963,1
11.7,225,0,11.7,7.7469881120352e-06,7.4538788604822e-06,0,0,14.751679983094,0.021029470318756,-0.0002995829409963,1
12.15,225,0,12.15,7.7470450923375e-06,7.4539765533049e-06,0,0,14.742216721451,0.021029470318756,-0.0002995829409963,1
12.6,225,0,12.6,7.7471020726398e-06,7.4540742461275e-06,0,0,14.732753459807,0.021029470318756,-0.0002995829409963,1
13.05,225,0,13.05,7.7471590529421e-06,7.4541719389502e-06,0,0,14.723290198164,0.021029470318756,-0.0002995829409963,1
13.5,225,0,13.5,7.7472160332444e-06,7.4542696317729e-06,0,0,14.71382693652,0.021029470318756,-0.0002995829409963,1
13.95,225,0,13.95,7.7472730135467e-06,7.4543673245956e-06,0,0,14.704363674877,0.021029470318756,-0.0002995829409963,1
14.4,225,0,14.4,7.7473299938489e-06,7.4544650174183e-06,0,0,14.694900413233,0.021029470318756,-0.0002995829409963,1
14.85,225,0,14.85,7.7473496002709e-06,7.4545210741956e-06,0,0,14.685477875436,0.020938972882633,-0.00027031615996981,1
15.3,225,0,15.3,7.7473692066928e-06,7.4545771309729e-06,0,0,14.676055337639,0.020938972882633,-0.00027031615996981,1
15.75,225,0,15.75,7.7473888131147e-06,7.4546331877503e-06,0,0,14.666632799842,0.020938972882633,-0.00027031615996981,1
16.2,225,0,16.2,7.7474084195366e-06,7.4546892445276e-06,0,0,14.657210262045,0.020938972882633,-0.00027031615996981,1
16.65,225,0,16.65,7.7474280259586e-06,7.4547453013049e-06,0,0,14.647787724247,0.020938972882633,-0.00027031615996981,1
17.1,225,0,17.1,7.7474476323805e-06,7.4548013580823e-06,0,0,14.63836518645,0.020938972882633,-0.00027031615996981,1
17.55,225,0,17.55,7.7474672388024e-06,7.4548574148596e-06,0,0,14.628942648653,0.020938972882633,-0.00027031615996981,1
18,225,0,18,7.7474868452243e-06,7.4549134716369e-06,0,0,14.619520110856,0.020938972882633,-0.00027031615996981,1
18.45,225,0,18.45,7.7474956472594e-06,7.454952552193e-06,0,0,14.610117714734,0.020894213604676,-0.00021326773077049,1
18.9,225,0,18.9,7.7475044492945e-06,7.4549916327491e-06,0,0,14.600715318612,0.020894213604676,-0.00021326773077049,1
19.35,225,0,19.35,7.7475132513296e-06,7.4550307133052e-06,0,0,14.59131292249,0.020894213604676,-0.00021326773077049,1
19.8,225,0,19.8,7.7475220533647e-06,7.4550697938612e-06,0,0,14.581910526367,0.020894213604676,-0.00021326773077049,1
20.25,225,0,20.25,7.7475308553998e-06,7.4551088744173e-06,0,0,14.572508130245,0.020894213604676,-0.00021326773077049,1
20.7,225,0,20.7,7.7475396574348e-06,7.4551479549734e-06,0,0,14.563105734123,0.020894213604676,-0.00021326773077049,1
21.15,225,0,21.15,7.7475484594699e-06,7.4551870355295e-06,0,0,14.553703338001,0.020894213604676,-0.00021326773077049,1
21.6,225,0,21.6,7.747557261505e-06,7.4552261160855e-06,0,0,14.544300941879,0.020894213604676,-0.00021326773077049,1
22.05,225,0,22.05,7.7475597108208e-06,7.455235416621e-06,0,0,14.534897854584,0.020895749543496,-0.0001573391486018,1
22.5,225,0,22.5,7.7475621601366e-06,7.4552447171565e-06,0,0,14.52549476729,0.020895749543496,-0.0001573391486018,1
22.95,225,0,22.95,7.7475646094524e-06,7.455254017692e-06,0,0,14.516091679995,0.020895749543496,-0.0001573391486018,1
23.4,225,0,23.4,7.7475670587682e-06,7.4552633182275e-06,0,0,14.506688592701,0.020895749543496,-0.0001573391486018,1
23.85,225,0,23.85,7.747569508084e-06,7.4552726187629e-06,0,0,14.497285505406,0.020895749543496,-0.0001573391486018,1
24.3,225,0,24.3,7.7475719573998e-06,7.4552819192984e-06,0,0,14.487882418112,0.020895749543496,-0.0001573391486018,1
24.75,225,0,24.75,7.7475744067156e-06,7.4552912198339e-06,0,0,14.478479330817,0.020895749543496,-0.0001573391486018,1
25.2,225,0,25.2,7.7475768560313e-06,7.4553005203694e-06,0,0,14.469076243522,0.020895749543496,-0.0001573391486018,1
25.65,225,0,25.65,7.7475756654659e-06,7.455295083638e-06,0,0,14.459656754292,0.020932198289028,-0.00012280587414421,1
26.1,225,0,26.1,7.7475744749005e-06,7.4552896469066e-06,0,0,14.450237265062,0.020932198289028,-0.00012280587414421,1
26.55,225,0,26.55,7.7475732843351e-06,7.4552842101752e-06,0,0,14.440817775832,0.020932198289028,-0.00012280587414421,1
27,225,0,27,7.7475720937697e-06,7.4552787734438e-06,0,0,14.431398286602,0.020932198289028,-0.00012280587414421,1
27.45,225,0,27.45,7.7475709032043e-06,7.4552733367125e-06,0,0,14.421978797372,0.020932198289028,-0.00012280587414421,1
27.9,225,0,27.9,7.7475697126388e-06,7.4552678999811e-06,0,0,14.412559308142,0.020932198289028,-0.00012280587414421,1
28.35,225,0,28.35,7.7475685220734e-06,7.4552624632497e-06,0,0,14.403139818912,0.020932198289028,-0.00012280587414421,1
28.8,225,0,28.8,7.747567331508e-06,7.4552570265183e-06,0,0,14.393720329682,0.020932198289028,-0.00012280587414421,1
29.25,225,0,29.25,7.7475614177254e-06,7.4552270951539e-06,0,0,14.384275932038,0.02098755031872,-0.00012048684503996,1
29.7,225,0,29.7,7.7475555039428e-06,7.4551971637896e-06,0,0,14.374831534395,0.02098755031872,-0.00012048684503996,1
